{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.028210102, '\n': -5.269108, 'No': -3.8925326, ' Yes': -6.257152, ' The': -8.927017}
{' No': -0.065042466, 'No': -3.4295785, '\n': -3.5731237, ' Yes': -6.6062293, ' ': -7.904466}
{' No': -0.25492603, '\n': -1.7456564, ' Yes': -3.4503698, 'No': -4.2419443, ' ': -6.594186}
{' No': -0.053938925, '\n': -3.4847803, 'No': -3.918574, ' Yes': -7.1365037, ' no': -7.9286075}
{' No': -0.07769621, '\n': -3.0617676, 'No': -3.6368523, ' ': -7.428016, ' no': -8.16068}
{' No': -0.2812144, '\n': -1.686587, ' ': -6.417483, 'No': -2.9303155, ' Yes': -5.6267}
{' No': -0.049478274, '\n': -4.836656, ' ': -8.788716, 'No': -3.3144548, ' Yes': -5.6410475}
{' No': -0.059038073, '\n': -4.4362926, ' ': -8.632111, 'No': -3.0986953, ' Yes': -9.2376995}
{' No': -0.6217643, '\n': -1.1519786, 'No': -2.4470494, ' Unfortunately': -3.070241, ' ': -5.1673403}
{' No': -0.27668244, 'No': -2.1195588, '\n': -2.483828, ' Unfortunately': -3.4634538, ' The': -6.0539455}
{' No': -0.96188843, '\n': -0.8222743, ' ': -4.804696, 'No': -2.3161306, ' Unfortunately': -2.8419046}
{' No': -0.4033823, '\n': -1.8110228, 'No': -2.1343641, ' Unfortunately': -3.244496, ' ': -5.0550985}
{' No': -0.20517708, 'No': -2.5195138, '\n': -2.6483037, ' Unfortunately': -3.777017, ' Yes': -5.864581}
{' No': -0.22542317, '\n': -2.3864014, ' ': -6.2526884, 'No': -2.3887706, ' Unfortunately': -4.334012}
{' No': -0.060813308, ' Not': -5.72047, '\n': -3.581857, 'No': -3.902446, ' Yes': -5.0062075}
{' No': -0.017098548, ' Not': -9.157521, '\n': -7.116597, 'No': -4.1442347, ' Yes': -9.319642}
{' No': -0.048895616, 'No': -3.4517674, '\n': -4.2067823, ' Not': -7.6243825, ' Yes': -8.096147}
{' No': -0.06820133, ' Not': -7.0884395, '\n': -4.343252, 'No': -3.0347118, ' Yes': -5.833349}
{' No': -0.038679324, 'No': -3.620039, '\n': -5.1455555, ' Yes': -5.4719677, ' Not': -7.196114}
{' No': -0.04089946, '\n': -5.777227, ' ': -9.350533, 'No': -3.3056736, ' Yes': -8.979979}
{' No': -0.1212529, ' Not': -6.670886, '\n': -3.2608442, 'No': -4.341414, ' Yes': -2.8234353}
{' No': -0.024117058, ' Not': -9.107882, '\n': -5.9664993, 'No': -3.881449, ' Yes': -7.78244}
{' No': -0.04149735, 'No': -3.6074932, '\n': -4.3693857, ' Not': -7.946025, ' ': -8.624331}
{' No': -0.07201468, ' Not': -7.1598825, '\n': -4.102605, 'No': -3.0399559, ' Yes': -5.6940165}
{' No': -0.022648817, 'No': -4.217025, '\n': -5.614573, ' Yes': -5.6902966, ' Not': -7.94957}
{' No': -0.026839785, 'No': -3.7762942, '\n': -5.7174582, ' ': -9.250953, ' Yes': -9.583652}
{' No': -0.041029368, 'No': -3.818659, '\n': -4.1967316, ' Yes': -5.9614277, ' Not': -8.367172}
{' No': -0.045050185, ' Not': -9.687986, '\n': -6.267756, ' ': -9.4764805, 'No': -3.1718755}
{' No': -0.077270806, ' Not': -9.325176, '\n': -5.1141605, ' ': -8.557333, 'No': -2.6884575}
{' No': -0.05388325, 'No': -3.0592062, '\n': -5.4177423, ' Yes': -7.3516374, ' ': -8.725037}
{' No': -0.028081542, '\n': -5.2353606, ' ': -8.601521, 'No': -3.9234824, ' Yes': -6.0969734}
{' No': -0.03308327, '\n': -5.0834928, ' ': -8.795097, 'No': -3.6486113, ' Yes': -9.0654335}
{' No': -0.05271699, '\n': -3.642643, ' ': -7.6430674, 'No': -4.177564, ' Yes': -4.7785892}
{' No': -0.027172912, 'No': -3.7267845, '\n': -6.0003533, ' Yes': -9.325138, ' ': -9.51321}
{' No': -0.080929205, '\n': -3.4445593, ' ': -7.606591, 'No': -3.105837, ' Yes': -8.539556}
{' No': -0.025227664, 'No': -3.7959735, '\n': -6.2407823, ' Yes': -8.091966, ' ': -9.529388}
{' No': -0.029774595, 'No': -4.1355977, '\n': -4.8697195, ' Yes': -5.283232, ' ': -8.144029}
{' No': -0.023103999, '\n': -4.965216, ' ': -8.4445, 'No': -4.2204723, ' Yes': -7.098208}
{' No': -0.29130474, '\n': -2.118459, ' ': -5.847159, 'No': -2.092143, ' Yes': -6.024016}
{' No': -0.11261584, 'No': -2.367081, '\n': -4.4890842, ' ': -7.5836964, ' Unfortunately': -7.8845177}
{' No': -0.21069285, 'No': -2.373632, '\n': -2.428434, ' Unfortunately': -5.6735506, ' ': -6.096928}
{' No': -0.1634324, 'No': -2.1254914, '\n': -3.597644, ' Yes': -6.3506155, ' ': -7.0510373}
{' No': -0.13711388, '\n': -3.4106317, ' ': -6.470901, 'No': -2.4006445, ' Yes': -6.615183}
{' No': -0.1694746, 'No': -2.345416, '\n': -2.861949, ' ': -6.348437, ' Unfortunately': -7.674834}
{'\n': -0.9960601, ' No': -1.0675741, ' Yes': -1.9099909, 'No': -2.37398, 'Yes': -3.8456962}
{' No': -0.29304954, '\n': -2.612698, 'No': -1.8864332, ' Yes': -4.5558763, ' Unfortunately': -4.3521256}
{' No': -0.6889663, '\n': -1.3098902, 'No': -2.0826602, ' Yes': -2.8834682, ' Unfortunately': -3.6475902}
{' No': -0.40555578, 'No': -1.8050822, '\n': -2.2977962, ' Yes': -3.3713932, ' Unfortunately': -3.7795103}
{' No': -0.40110767, 'No': -2.0712738, '\n': -2.2712402, ' Yes': -2.5731812, ' Unfortunately': -4.729759}
{' No': -0.46548843, '\n': -1.7856444, 'No': -1.8814182, ' Yes': -3.3645647, ' Unfortunately': -5.0277348}
{'\n': -0.77957666, ' No': -0.9138139, ' Yes': -2.7883275, 'No': -2.943696, ' Not': -4.488834}
{' No': -0.22022226, ' Not': -6.103212, '\n': -2.3530824, ' ': -6.697716, 'No': -2.337608}
{' No': -0.7886707, '\n': -0.8258316, 'No': -2.4057493, ' Unfortunately': -4.9975653, ' ': -5.401864}
{' No': -0.30174485, '\n': -1.9938567, 'No': -2.1912215, ' Unfortunately': -5.439411, ' Yes': -5.9047966}
{' No': -0.31991854, ' Not': -5.5689244, '\n': -1.8113983, 'No': -3.163781, ' Yes': -2.893605}
{' No': -0.5198812, ' Not': -5.3258443, '\n': -1.1568117, 'No': -2.8604763, ' Yes': -3.8567305}
{'\n': -0.691723, ' No': -0.9908849, 'No': -2.9378529, ' Yes': -3.5000706, ' Unfortunately': -3.9076653}
{' No': -0.258123, '\n': -2.1171374, 'No': -2.4545286, ' Unfortunately': -4.297649, ' Not': -5.532102}
{' No': -0.95539355, ' Not': -5.2228975, '\n': -0.7193382, 'No': -2.5596569, ' Unfortunately': -3.3734903}
{' No': -0.57608414, '\n': -1.1842403, 'No': -2.4117908, ' Unfortunately': -3.652605, ' Yes': -4.990158}
{' No': -0.3392098, '\n': -1.8911793, 'No': -2.332641, ' Yes': -4.7646875, ' Unfortunately': -3.9097815}
{' No': -0.6850917, '\n': -0.9258428, 'No': -2.5683045, ' ': -4.958365, ' Unfortunately': -5.267252}
{' No': -0.051540956, '\n': -3.9520838, ' ': -7.5293674, 'No': -3.5863483, ' Yes': -6.297346}
{' No': -0.03742928, '\n': -5.4874473, ' ': -9.128443, 'No': -3.4377837, ' Yes': -8.63704}
{' No': -0.11021484, '\n': -3.1131594, ' ': -7.215323, 'No': -2.8398194, ' Yes': -8.411628}
{' No': -0.09539357, '\n': -3.8994346, 'No': -2.6827958, ' Yes': -6.9652343, ' Unfortunately': -7.5872717}
{' No': -0.061253384, 'No': -3.5084312, '\n': -4.1139092, ' Yes': -4.433554, ' ': -7.633745}
{' No': -0.051683616, 'No': -3.4240513, '\n': -4.2142277, ' Yes': -6.048399, ' ': -7.783914}
{' No': -0.29058906, '\n': -2.0375218, ' Yes': -2.3151424, 'No': -4.130621, 'Yes': -5.7838955}
{' No': -0.02396534, 'No': -4.110585, '\n': -5.0342627, ' Yes': -7.548112, ' ': -9.226735}
{' No': -0.25223237, '\n': -1.8288049, 'No': -2.889693, ' Yes': -5.7813554, ' ': -6.378957}
{' No': -0.0988063, '\n': -3.5128932, 'No': -2.8094118, ' Yes': -6.007377, ' Unfortunately': -7.479858}
{' No': -0.021651426, 'No': -4.4361334, '\n': -5.2094526, ' Yes': -5.5657187, ' ': -9.005099}
{' No': -0.06549026, '\n': -3.3879807, ' ': -7.53793, 'No': -3.873033, ' Yes': -4.873651}
{' No': -0.3200801, '\n': -2.2222273, 'No': -4.091501, ' Yes': -1.9646227, 'Yes': -5.0771427}
{' No': -0.025757534, 'No': -3.8001463, '\n': -5.975897, ' Yes': -7.8716054, ' ': -9.928172}
{' No': -0.043348126, 'No': -3.439632, '\n': -4.6128974, ' ': -8.671582, ' Yes': -9.137234}
{' No': -0.04046006, 'No': -3.6026528, '\n': -4.723977, ' Yes': -5.8466716, ' Not': -8.158524}
{' No': -0.02616714, '\n': -5.642079, ' ': -8.719524, 'No': -4.115055, ' Yes': -5.1803746}
{' No': -0.019546002, 'No': -4.151723, '\n': -5.7299623, ' Yes': -8.392816, ' ': -9.127082}
{' No': -0.60412467, '\n': -1.2697455, 'No': -2.302279, ' Unfortunately': -3.2527468, ' Not': -4.4029756}
{' No': -0.14651518, 'No': -2.3297484, '\n': -3.8011875, ' Unfortunately': -4.3337083, ' Not': -6.7099285}
{' No': -0.49988052, '\n': -1.5697391, 'No': -2.1436832, ' Unfortunately': -2.9505584, ' Not': -5.0029993}
{' No': -0.15371373, 'No': -2.5413725, '\n': -3.1363544, ' Unfortunately': -4.1973286, ' Not': -6.298178}
{' No': -0.21174647, '\n': -2.4560225, 'No': -2.8139706, ' Yes': -4.9392076, ' Unfortunately': -3.6038094}
{' No': -0.2845575, '\n': -1.9951802, 'No': -2.4291801, ' Unfortunately': -4.307604, ' Not': -5.786276}
{' No': -0.07426961, ' Not': -6.3416038, '\n': -2.983037, 'No': -4.201745, ' Yes': -5.787887}
{' No': -0.017308297, 'No': -4.3296785, '\n': -5.5932355, ' The': -9.672265, ' ': -9.760349}
{' No': -0.06387827, '\n': -3.265397, ' ': -7.5684347, 'No': -3.7957888, ' Yes': -8.275074}
{' No': -0.14519598, '\n': -2.575343, 'No': -2.9074717, ' Yes': -5.8482027, ' ': -7.079647}
{' No': -0.039333418, '\n': -5.005743, ' ': -8.85984, 'No': -3.5650272, ' Yes': -5.7592087}
{' No': -0.06440443, 'No': -2.8800132, '\n': -5.1194005, ' ': -8.97196, ' Not': -10.067597}
{' No': -0.05772099, '\n': -3.5172868, 'No': -4.1632643, ' Yes': -4.7769175, ' Not': -6.633328}
{' No': -0.034577303, 'No': -3.5047119, '\n': -5.8227234, ' Yes': -7.5353928, ' Not': -8.543755}
{' No': -0.07795038, 'No': -3.2665203, '\n': -3.3522763, ' Unfortunately': -7.4862885, ' Not': -7.5661416}
{' No': -0.08603736, '\n': -4.039454, 'No': -2.8401437, ' Yes': -5.797043, ' Unfortunately': -6.1337533}
{' No': -0.05265126, 'No': -3.3893325, '\n': -4.4467072, ' Yes': -5.278817, ' ': -8.614214}
{' No': -0.046220943, 'No': -3.219896, '\n': -5.3239226, ' ': -8.957211, ' Yes': -9.725865}
{' No': -0.0493487, 'No': -3.5540102, '\n': -4.0298023, ' Yes': -6.871158, ' Not': -8.036117}
{' No': -0.063171476, 'No': -2.8580856, '\n': -5.662561, ' ': -9.159479, ' Yes': -9.291454}
{' No': -0.04922115, '\n': -4.884138, ' ': -8.703091, 'No': -3.217419, ' Yes': -9.523499}
{' No': -0.05745063, '\n': -5.1141257, 'No': -3.0317912, ' Yes': -6.9754233, ' Unfortunately': -8.26532}
{' No': -0.034018505, '\n': -5.259564, ' ': -8.873289, 'No': -3.8227413, ' Yes': -5.108607}
{' No': -0.038009558, '\n': -4.8548717, ' ': -8.801095, 'No': -3.545652, ' Yes': -7.690679}
{' No': -0.07163312, '\n': -3.1331868, 'No': -4.2483983, ' Yes': -4.717072, ' ': -7.1933784}
{' No': -0.028434334, 'No': -3.7467968, '\n': -5.606569, ' Yes': -7.872722, ' The': -8.89672}
{' No': -0.0750275, '\n': -3.1214197, ' ': -7.3867908, 'No': -3.6316717, ' Unfortunately': -7.781202}
{' No': -0.041506357, '\n': -4.4652257, ' ': -8.467323, 'No': -3.5762274, ' Yes': -7.5879207}
{' No': -0.036671374, '\n': -4.519789, ' ': -7.7730184, 'No': -3.9765916, ' Yes': -5.1797285}
{' No': -0.027126731, '\n': -4.739481, ' ': -8.397039, 'No': -4.0738964, ' Yes': -7.4870396}
{' No': -0.19338247, '\n': -2.439562, 'No': -2.5262816, ' Yes': -5.6909842, ' Unfortunately': -6.0090313}
{' No': -0.09231819, 'No': -2.5984867, '\n': -4.3840528, ' ': -7.726021, ' Unfortunately': -7.8694496}
{' No': -0.14536959, '\n': -2.7245607, ' ': -6.474913, 'No': -2.7753303, ' Unfortunately': -5.5112753}
{' No': -0.13367471, '\n': -3.4775698, 'No': -2.4182951, ' Yes': -6.0483546, ' Unfortunately': -6.6436853}
{' No': -0.110008165, '\n': -3.4865913, ' ': -6.79889, 'No': -2.6619911, ' Yes': -6.598733}
{' No': -0.1332668, '\n': -2.8941748, ' ': -6.569666, 'No': -2.7099307, ' Yes': -7.3636703}
{' No': -1.0516438, '\n': -0.8875338, 'No': -2.8566062, ' Yes': -2.0227132, ' Unfortunately': -3.7514462}
{' No': -0.2838384, '\n': -2.347538, 'No': -2.390812, ' Unfortunately': -3.5596828, ' Yes': -3.7317696}
{' No': -0.72079027, '\n': -1.3630497, 'No': -2.7939768, ' Yes': -2.0585225, ' Unfortunately': -3.1426384}
{' No': -0.40277517, '\n': -2.0766015, 'No': -2.4566329, ' Yes': -2.701649, ' Unfortunately': -3.224245}
{' No': -0.33566424, '\n': -2.3540225, 'No': -2.604005, ' Yes': -2.499391, ' Unfortunately': -3.9243674}
{' No': -0.3562713, '\n': -1.8927054, 'No': -2.3884025, ' Yes': -3.4194257, ' Unfortunately': -4.2222185}
{' No': -0.7328679, '\n': -0.95602775, ' Yes': -2.657375, 'No': -3.2949502, ' Unfortunately': -4.8123107}
{' No': -0.16151337, ' Not': -6.3418145, '\n': -2.5439749, 'No': -2.7503614, ' Unfortunately': -6.118283}
{' No': -0.6681194, '\n': -0.9363899, 'No': -2.6459732, ' Unfortunately': -4.25399, ' ': -5.4969993}
{' No': -0.24170206, '\n': -1.956624, 'No': -2.786027, ' Yes': -5.9786654, ' Unfortunately': -5.3220034}
{' No': -0.3130676, '\n': -1.8504097, ' Yes': -2.9795125, 'No': -3.0747194, ' The': -5.4995933}
{' No': -0.42128545, '\n': -1.345991, 'No': -2.9366813, ' Yes': -4.0757804, ' Unfortunately': -5.427013}
{'\n': -0.6866948, ' No': -1.0909936, ' Unfortunately': -2.7505567, 'No': -3.2034392, ' Yes': -3.301809}
{' No': -0.35482255, '\n': -1.9195178, 'No': -2.591641, ' Unfortunately': -2.6637845, ' ': -6.1655364}
{' No': -0.9947939, '\n': -0.77503294, ' ': -5.0747347, 'No': -2.5754328, ' Unfortunately': -2.6000624}
{' No': -0.5264597, '\n': -1.3427248, ' Unfortunately': -2.6617002, 'No': -2.7640371, ' Yes': -5.1613603}
{' No': -0.28284767, '\n': -2.0078843, 'No': -2.6693165, ' Yes': -5.23517, ' Unfortunately': -3.5480704}
{' No': -0.3669649, '\n': -1.6341883, 'No': -2.410874, ' Unfortunately': -4.2566304, ' ': -5.640431}
{' No': -0.076032855, '\n': -3.0270445, ' ': -7.0168796, 'No': -3.888958, ' Yes': -6.139541}
{' No': -0.04990944, '\n': -4.9052444, ' ': -8.905667, 'No': -3.2023792, ' Yes': -8.629528}
{' No': -0.12009997, '\n': -2.7778013, 'No': -3.0128915, ' ': -7.0323105, ' Yes': -7.7386665}
{' No': -0.104816414, 'No': -2.8095949, '\n': -3.3922994, ' Yes': -5.5153255, ' ': -7.520248}
{' No': -0.046857372, '\n': -4.4505243, ' ': -8.111213, 'No': -3.7098403, ' Yes': -4.7288527}
{' No': -0.053045522, '\n': -3.73744, 'No': -3.82468, ' Yes': -5.256756, ' ': -7.618953}
{' No': -0.10632407, ' Not': -7.26924, '\n': -2.6737528, 'No': -4.013921, ' Yes': -4.462809}
{' No': -0.071278326, '\n': -3.9351795, 'No': -3.0703342, ' Yes': -6.2576284, ' Unfortunately': -8.169267}
{' No': -0.19054022, '\n': -2.1314638, 'No': -2.992403, ' Unfortunately': -6.0879474, ' ': -6.9848623}
{' No': -0.13109948, 'No': -2.6771085, '\n': -3.0164487, ' Unfortunately': -6.024103, ' Yes': -6.5925517}
{' No': -0.026511056, '\n': -4.8289304, 'No': -4.2622995, ' Yes': -5.6404996, ' The': -8.640429}
{' No': -0.040813964, '\n': -4.044199, ' ': -8.200603, 'No': -3.9118252, ' Yes': -6.32699}
{' No': -0.06877338, '\n': -3.2083397, 'No': -3.7234535, ' Yes': -7.214759, ' ': -7.529026}
{' No': -0.030478733, '\n': -5.8349886, ' ': -9.747043, 'No': -3.6146724, ' Yes': -10.343334}
{' No': -0.055348232, ' Not': -8.949452, '\n': -3.94591, ' ': -8.6455765, 'No': -3.3794217}
{' No': -0.06073464, ' Not': -7.450264, '\n': -4.0797124, 'No': -3.2084584, ' Unfortunately': -7.868546}
{' No': -0.03158289, 'No': -3.7495582, '\n': -5.2711954, ' Yes': -6.152043, ' ': -8.894265}
{' No': -0.04676749, 'No': -3.2640584, '\n': -4.9416647, ' ': -8.910195, ' Yes': -9.039147}
{' No': -0.4035131, '\n': -1.8560526, ' Unfortunately': -2.4370537, 'No': -2.6773148, ' Yes': -4.9433975}
{' No': -0.1832083, '\n': -3.4084413, 'No': -2.4481847, ' The': -6.5590096, ' Unfortunately': -3.1431158}
{' No': -0.6692834, ' Not': -5.167464, '\n': -1.170504, 'No': -2.4301438, ' Unfortunately': -2.6642308}
{' No': -0.29232863, '\n': -2.1083972, 'No': -2.6549308, ' Yes': -5.7491746, ' Unfortunately': -2.9861648}
{' No': -0.16750963, '\n': -2.9057717, 'No': -2.8670049, ' Yes': -5.398478, ' Unfortunately': -3.4921896}
{' No': -0.314687, '\n': -1.8341172, 'No': -2.5466626, ' Unfortunately': -3.9558365, ' Yes': -5.573935}
{' No': -0.078316905, ' Not': -6.688512, '\n': -2.951619, 'No': -4.233884, ' Yes': -5.1892004}
{' No': -0.01664991, 'No': -4.1594357, '\n': -7.1283364, ' ': -10.491583, ' Not': -10.735091}
{' No': -0.051822286, ' Not': -7.8837366, '\n': -3.8072941, ' ': -8.175605, 'No': -3.6036716}
{' No': -0.123998776, '\n': -3.4803848, ' ': -7.868007, 'No': -2.4718647, ' Yes': -7.573244}
{' No': -0.03884618, 'No': -3.7425795, '\n': -4.784871, ' Yes': -5.201085, ' ': -8.411616}
{' No': -0.024527766, '\n': -5.9878473, ' ': -9.155988, 'No': -3.8406842, ' Yes': -9.5157385}
{' No': -0.070517056, ' Not': -6.9725037, '\n': -3.3550665, 'No': -4.4360356, ' Yes': -3.9770126}
{' No': -0.024767792, 'No': -3.841006, '\n': -6.1085286, ' Yes': -7.49769, ' Not': -9.332423}
{' No': -0.061502714, ' Not': -7.660455, '\n': -3.4660397, ' ': -8.144165, 'No': -3.6045914}
{' No': -0.04052759, ' Not': -7.7381363, '\n': -4.7920384, 'No': -3.5826075, ' Yes': -6.0044765}
{' No': -0.043733876, '\n': -4.525059, ' ': -8.535753, 'No': -3.703728, ' Yes': -5.005821}
{' No': -0.030974928, '\n': -5.2522902, ' ': -8.899804, 'No': -3.6943276, ' Yes': -9.042751}
{' No': -0.027882515, '\n': -4.7312837, ' ': -8.632112, 'No': -4.041873, ' Yes': -7.206647}
{' No': -0.027131937, '\n': -6.699363, ' ': -9.570356, 'No': -3.6753976, ' Yes': -10.104829}
{' No': -0.053692102, ' Not': -9.469316, '\n': -4.860199, ' ': -8.801458, 'No': -3.1178095}
{' No': -0.049012735, '\n': -4.7988334, ' ': -8.342614, 'No': -3.2525384, ' Yes': -7.6354785}
{' No': -0.029059477, '\n': -5.222804, ' ': -8.65231, 'No': -3.823167, ' Yes': -6.781319}
{' No': -0.041454792, 'No': -3.3900893, '\n': -5.016974, ' ': -8.634357, ' Yes': -9.729996}
{' No': -0.07035698, '\n': -3.1495671, ' ': -7.0946164, 'No': -4.1954446, ' Yes': -4.9512544}
{' No': -0.02100971, '\n': -5.9223404, ' ': -8.988031, 'No': -4.041222, ' Yes': -8.560342}
{' No': -0.07506586, 'No': -3.3178768, '\n': -3.368042, ' ': -7.285913, ' Yes': -8.011085}
{' No': -0.037704244, '\n': -4.8200293, 'No': -3.580507, ' Yes': -8.1406555, ' Unfortunately': -8.364566}
{' No': -0.04646724, '\n': -4.0787797, ' ': -7.493395, 'No': -3.8554, ' Yes': -5.063971}
{' No': -0.030330038, 'No': -3.9943442, '\n': -4.5862517, ' Yes': -7.332984, ' ': -7.930894}
{' No': -0.2967499, '\n': -1.8529347, 'No': -2.489783, ' Yes': -4.6558156, ' ': -5.6668077}
{' No': -0.1160908, '\n': -3.912046, ' ': -7.114811, 'No': -2.4323883, ' Unfortunately': -7.9467216}
{' No': -0.19687851, '\n': -2.3244212, 'No': -2.5921059, ' Unfortunately': -6.066119, ' ': -6.1383295}
{' No': -0.15534677, '\n': -3.0939147, ' ': -6.7446947, 'No': -2.379319, ' Yes': -5.765881}
{' No': -0.13646464, '\n': -3.2144425, ' ': -6.3741274, 'No': -2.4840178, ' Yes': -6.736043}
{' No': -0.18114822, 'No': -2.4509504, '\n': -2.5785632, ' ': -6.1277843, ' Unfortunately': -7.546043}
{' No': -1.0456841, '\n': -0.86048836, 'No': -2.5853305, ' Yes': -2.1519408, 'Yes': -4.288829}
{' No': -0.34302643, '\n': -2.041032, 'No': -2.0949204, ' Yes': -4.0899076, ' Unfortunately': -4.321023}
{' No': -0.6578438, '\n': -1.2094871, 'No': -2.41101, ' Yes': -2.80606, ' Unfortunately': -4.1095405}
{' No': -0.38831604, '\n': -1.771634, 'No': -2.3104734, ' Yes': -3.479928, ' Unfortunately': -4.3976297}
{' No': -0.49597573, '\n': -1.6270239, 'No': -2.2141593, ' Yes': -2.8207455, ' Unfortunately': -4.7463403}
{' No': -0.6100336, '\n': -1.2768122, 'No': -2.1000164, ' Yes': -3.3146365, ' ': -5.007712}
{' No': -1.0213988, '\n': -0.7870906, 'No': -3.502636, ' Yes': -2.0447562, 'Yes': -4.7039127}
{' No': -0.17386648, '\n': -2.481291, 'No': -2.6503677, ' Not': -6.572684, ' ': -6.6875935}
{' No': -0.7250727, '\n': -0.85476476, 'No': -2.5682545, ' ': -5.399805, ' Unfortunately': -5.537212}
{' No': -0.3123136, '\n': -1.6819253, 'No': -2.6462178, ' Unfortunately': -5.8145638, ' ': -5.876272}
{' No': -0.40327394, '\n': -1.4768288, 'No': -2.8654263, ' Yes': -3.299249, ' ': -5.6191587}
{' No': -0.75957453, '\n': -0.8155743, 'No': -2.6951175, ' Yes': -4.4631877, ' ': -5.067476}
{'\n': -0.66334623, ' No': -1.037631, 'No': -2.9866552, ' Yes': -3.3752449, ' Unfortunately': -3.839642}
{' No': -0.2285524, ' Not': -6.311535, '\n': -2.404921, 'No': -2.4544587, ' Unfortunately': -3.7858436}
{' No': -1.0126889, '\n': -0.67921394, ' ': -4.9982924, 'No': -2.5668597, ' Unfortunately': -3.3807194}
{' No': -0.462206, '\n': -1.4218656, 'No': -2.5772133, ' Unfortunately': -3.2244241, ' ': -5.4475894}
{' No': -0.42030084, '\n': -1.4965127, 'No': -2.5037396, ' Unfortunately': -4.2893953, ' Yes': -4.6039667}
{' No': -0.6407304, '\n': -1.0620447, ' ': -4.9970155, 'No': -2.2650971, ' Unfortunately': -4.797583}
{' No': -0.058772728, '\n': -3.41645, 'No': -3.9819639, ' Yes': -5.595149, ' ': -6.9952273}
{' No': -0.033281855, 'No': -3.6203656, '\n': -5.2022767, ' ': -8.65859, ' Yes': -9.209284}
{' No': -0.08489238, 'No': -3.178791, '\n': -3.2628326, ' ': -7.1067715, ' Yes': -8.129299}
{' No': -0.069446445, '\n': -4.1253486, ' ': -7.7367506, 'No': -3.016481, ' Yes': -7.163902}
{' No': -0.0744524, '\n': -4.133221, 'No': -3.8791988, ' Yes': -3.3874996, 'Yes': -7.569109}
{' No': -0.05445056, '\n': -3.7432284, ' ': -7.3989706, 'No': -3.8414278, ' Yes': -4.9797034}
{' No': -0.1584656, '\n': -2.44794, ' Yes': -3.1382399, 'No': -4.368247, ' ': -6.852141}
{' No': -0.046728708, '\n': -4.555638, ' ': -8.865407, 'No': -3.37373, ' Yes': -7.744803}
{' No': -0.1393347, '\n': -2.3677683, 'No': -3.434306, ' ': -6.4635344, ' Yes': -6.5108614}
{' No': -0.101883575, '\n': -3.2280965, 'No': -2.9486568, ' Yes': -6.1076365, ' Unfortunately': -6.807454}
{' No': -0.020967225, 'No': -4.5860476, '\n': -4.8911796, ' Yes': -5.890304, ' ': -8.828055}
{' No': -0.059868053, '\n': -3.4608154, ' ': -7.6291175, 'No': -3.719801, ' Yes': -6.4046726}
{' No': -0.04346217, ' Not': -7.6585393, '\n': -4.101646, 'No': -3.811147, ' Yes': -5.9188256}
{' No': -0.01928012, 'No': -4.045441, '\n': -6.5830975, ' Yes': -9.7141285, ' Not': -9.984639}
{' No': -0.048849735, ' Not': -8.418619, '\n': -4.365504, ' ': -8.642965, 'No': -3.3684354}
{' No': -0.04297111, ' Not': -7.905903, '\n': -4.8447194, 'No': -3.4105897, ' Yes': -7.8839073}
{' No': -0.03832741, 'No': -3.6500309, '\n': -4.6810026, ' Yes': -6.2399945, ' ': -8.283976}
