{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' 2': -0.32392168, ' 1': -1.3367639, ' two': -4.552247, ' #': -6.446446, ' one': -6.785686}
{' #': -6.4509597, ' 1': -1.3577594, ' 2': -0.31860536, ' one': -6.7124486, ' two': -4.417454}
{' #': -6.495802, ' 1': -1.8509313, ' 2': -0.1910954, ' one': -7.1460032, ' two': -4.2785263}
{' 2': -0.093510196, ' 1': -2.6392405, ' two': -4.187012, ' #': -6.5140805, ' number': -7.4330435}
{' #': -6.460384, ' 1': -2.0569956, ' 2': -0.15564953, ' one': -7.25405, ' two': -4.3114853}
{' number': -7.1848397, ' #': -6.4068627, ' 1': -2.8008, ' 2': -0.085594036, ' two': -4.0013866}
{' number': -7.0767365, ' #': -6.4014964, ' 1': -2.852917, ' 2': -0.085177004, ' two': -3.8702242}
{' number': -7.14256, ' #': -6.3844886, ' 1': -3.084612, ' 2': -0.070351094, ' two': -3.9511206}
{' number': -7.1153297, ' #': -6.502587, ' 1': -3.053826, ' 2': -0.071589515, ' two': -3.957051}
{' 2': -0.060991947, ' 1': -3.3122888, ' two': -3.9201207, ' #': -6.4056573, ' number': -7.091885}
{' #': -6.343798, ' 1': -2.1594534, ' 2': -0.14861597, ' one': -7.048063, ' two': -3.9572}
{' 2': -0.17236963, ' 1': -1.9902312, ' two': -4.0131745, ' #': -6.3807425, ' one': -6.946648}
{' #': -6.309467, ' 1': -1.6951008, ' 2': -0.22987168, ' one': -6.6940765, ' two': -4.0331416}
{' 2': -0.16596834, ' 1': -2.0412982, ' two': -3.948458, ' #': -6.298734, ' one': -6.9210305}
{' #': -6.3716493, ' 1': -2.1290169, ' 2': -0.15223323, ' one': -7.0037904, ' two': -3.9836903}
{' #': -6.2946253, ' 1': -1.863825, ' 2': -0.19651245, ' one': -6.7322345, ' two': -3.9476223}
{' #': -6.3769593, ' 1': -1.7845404, ' 2': -0.20871586, ' one': -6.78277, ' two': -4.092758}
{' #': -6.322325, ' 1': -2.1127565, ' 2': -0.15536863, ' one': -6.972349, ' two': -3.950601}
{' #': -6.317003, ' 1': -2.0663881, ' 2': -0.16075428, ' one': -7.032155, ' two': -4.007224}
{' 2': -0.095525056, ' 1': -2.7041237, ' two': -3.8640108, ' #': -6.4070106, ' number': -7.0680566}
{' number': -6.9162226, ' #': -6.114274, ' 1': -2.2296934, ' 2': -0.1424417, ' two': -3.86505}
{' number': -7.056667, ' #': -6.33403, ' 1': -2.3961234, ' 2': -0.12361669, ' two': -3.8307889}
{' 2': -0.23505183, ' 1': -1.6686646, ' two': -4.065767, ' #': -6.3765554, ' one': -6.7582655}
{' #': -6.3593507, ' 1': -1.489992, ' 2': -0.2805422, ' one': -6.627009, ' two': -4.180616}
{' #': -6.357788, ' 1': -1.5689497, ' 2': -0.25743583, ' one': -6.7768426, ' two': -4.2057943}
{' #': -6.2811103, ' 1': -1.0013319, ' 2': -0.48665863, ' one': -6.15531, ' two': -4.351113}
{' #': -6.3843846, ' 1': -1.4772029, ' 2': -0.2833153, ' one': -6.64805, ' two': -4.2319713}
{' 2': -0.25365433, ' 1': -1.583393, ' two': -4.2179694, ' #': -6.295466, ' one': -6.758087}
{' #': -6.403322, ' 1': -1.1672968, ' 2': -0.39732492, ' one': -6.468176, ' two': -4.378928}
{' #': -6.2974987, ' 1': -1.627912, ' 2': -0.24346308, ' one': -6.7715664, ' two': -4.149366}
{' #': -6.27427, ' 1': -1.233093, ' 2': -0.37181255, ' one': -6.3395057, ' two': -4.2340903}
{' #': -6.3323393, ' 1': -1.6479646, ' 2': -0.23821267, ' one': -6.7536964, ' two': -4.1635017}
{' #': -6.227607, ' 1': -1.3128313, ' 2': -0.3391222, ' one': -6.4915323, ' two': -4.2716722}
{' #': -6.368361, ' 1': -1.7600926, ' 2': -0.21446298, ' one': -6.7470565, ' two': -4.0693}
{' #': -6.2999372, ' 1': -1.7363596, ' 2': -0.21775527, ' one': -6.831882, ' two': -4.1638646}
{' #': -6.166144, ' 1': -1.6428294, ' 2': -0.24081956, ' one': -6.6478467, ' two': -4.131196}
{' 2': -0.39851493, ' 1': -1.1659595, ' two': -4.3724604, ' #': -6.3398557, ' one': -6.377093}
{' #': -6.34998, ' 1': -1.8211865, ' 2': -0.20169123, ' one': -6.8096857, ' two': -4.075951}
{' #': -6.288378, ' 1': -1.6531, ' 2': -0.23659037, ' one': -6.7978253, ' two': -4.1804934}
{' number': -6.9799576, ' #': -6.292387, ' 1': -2.8888218, ' 2': -0.08190858, ' two': -3.9314492}
{' 2': -0.20296335, ' 1': -1.8065838, ' two': -4.1373353, ' #': -6.385914, ' one': -6.869876}
{' number': -7.212323, ' #': -6.495542, ' 1': -2.8951542, ' 2': -0.07856884, ' two': -4.046954}
{' number': -7.191956, ' #': -6.5285707, ' 1': -2.5817707, ' 2': -0.10116854, ' two': -4.032782}
{' number': -7.2952642, ' #': -6.776651, ' 1': -3.212579, ' 2': -0.061769225, ' two': -4.0501513}
{' 2': -0.09172056, ' 1': -2.669895, ' two': -4.1400185, ' #': -6.70544, ' number': -7.2778044}
{' number': -7.273647, ' #': -6.7532063, ' 1': -3.2544498, ' 2': -0.060106214, ' two': -4.046818}
{' 2': -0.21693715, ' 1': -1.7458849, ' two': -4.09336, ' #': -6.3214645, ' one': -6.823865}
{' #': -6.67192, ' 1': -2.2659256, ' 2': -0.13035321, ' one': -7.328262, ' two': -4.148289}
{' #': -6.3198204, ' 1': -1.6803612, ' 2': -0.23241863, ' one': -6.7878823, ' two': -4.063399}
{' #': -6.380237, ' 1': -1.6504266, ' 2': -0.23790331, ' one': -6.745284, ' two': -4.1363997}
{' #': -6.36041, ' 1': -1.5702053, ' 2': -0.2586438, ' one': -6.69183, ' two': -4.1388946}
{' 2': -0.19840755, ' 1': -1.8396275, ' two': -4.038753, ' #': -6.5181766, ' one': -6.8039412}
{' 2': -0.20656778, ' 1': -1.7730979, ' two': -4.2847805, ' #': -6.634075, ' one': -6.9894156}
{' #': -6.3377347, ' 1': -1.3825991, ' 2': -0.313925, ' one': -6.570672, ' two': -4.2402267}
{' #': -6.289102, ' 1': -1.6828933, ' 2': -0.22962914, ' one': -6.868324, ' two': -4.1750884}
{' number': -7.195361, ' #': -6.635536, ' 1': -2.590481, ' 2': -0.10003873, ' two': -4.0467987}
{' number': -7.095916, ' #': -6.290036, ' 1': -2.2482705, ' 2': -0.13630341, ' two': -4.0028844}
{' 2': -0.15992826, ' 1': -2.063529, ' two': -4.046611, ' #': -6.438364, ' one': -7.109015}
{' 2': -0.29527023, ' 1': -1.438453, ' two': -4.2371936, ' #': -6.346568, ' one': -6.709305}
{' #': -6.4165454, ' 1': -1.1506705, ' 2': -0.4064498, ' one': -6.4023366, ' two': -4.3141737}
{' 2': -0.26004255, ' 1': -1.548819, ' two': -4.334936, ' #': -6.5130563, ' one': -6.864037}
{' #': -6.31041, ' 1': -0.761008, ' 2': -0.65923953, ' one': -6.051642, ' two': -4.56086}
{' 2': -0.48900196, ' 1': -0.9909036, ' two': -4.489145, ' one': -6.354322, ' #': -6.40441}
{' #': -6.3649626, ' 1': -1.0254649, ' 2': -0.47040927, ' one': -6.340641, ' two': -4.407938}
{' #': -6.438133, ' 1': -0.9971139, ' 2': -0.4857021, ' one': -6.381281, ' two': -4.4538913}
{' 2': -0.23731945, ' 1': -1.6392777, ' two': -4.278787, ' #': -6.513452, ' one': -6.94721}
{' #': -6.30848, ' 1': -0.84651935, ' 2': -0.58865535, ' one': -6.106857, ' two': -4.508203}
{' #': -6.545587, ' 1': -1.5246558, ' 2': -0.26583058, ' one': -6.858928, ' two': -4.3894534}
{' #': -6.286721, ' 1': -0.72551334, ' 2': -0.6917094, ' one': -6.0739684, ' two': -4.5970206}
{' 2': -0.24526896, ' 1': -1.6054851, ' two': -4.3051095, ' #': -6.6295137, ' one': -6.8487697}
{' #': -6.5554442, ' 1': -1.7074986, ' 2': -0.22162044, ' one': -6.9139166, ' two': -4.254926}
{' 2': -0.22855704, ' 1': -1.6805147, ' two': -4.242244, ' #': -6.396953, ' one': -6.803914}
{' #': -6.5769916, ' 1': -0.923631, ' 2': -0.52810985, ' one': -6.3807383, ' two': -4.673686}
{' #': -6.5655637, ' 1': -1.3209087, ' 2': -0.33229554, ' one': -6.643399, ' two': -4.3990164}
{' #': -6.530133, ' 1': -1.7836897, ' 2': -0.20432505, ' one': -7.06455, ' two': -4.293524}
{' number': -7.1867228, ' #': -6.4753, ' 1': -2.8499877, ' 2': -0.08058254, ' two': -4.091107}
{' #': -6.3970065, ' 1': -1.2576609, ' 2': -0.35848513, ' one': -6.4968066, ' two': -4.345759}
{' 2': -0.08665636, ' 1': -2.8317237, ' two': -3.9208236, ' #': -5.9012504, ' number': -6.9448657}
{' 2': -0.08829981, ' 1': -2.8292074, ' two': -3.823449, ' #': -6.1211514, ' number': -7.08458}
{' number': -7.0781016, ' #': -6.123678, ' 1': -3.0973022, ' 2': -0.07052703, ' two': -3.9393203}
{' number': -7.012887, ' #': -6.1017466, ' 1': -2.513509, ' 2': -0.11031461, ' two': -3.9286966}
{' number': -6.9892206, ' #': -6.1375833, ' 1': -3.0734181, ' 2': -0.07375031, ' two': -3.849419}
{' #': -5.9708176, ' 1': -1.7994963, ' 2': -0.21176209, ' one': -6.7343426, ' two': -3.882382}
{' number': -7.039839, ' #': -6.0677166, ' 1': -2.031771, ' 2': -0.16783373, ' two': -3.9517977}
{' #': -5.963007, ' 1': -1.7374253, ' 2': -0.22310299, ' one': -6.7670403, ' two': -3.954279}
{' #': -6.016373, ' 1': -1.8806862, ' 2': -0.19369937, ' one': -6.868116, ' two': -3.9554124}
{' number': -6.9902005, ' #': -6.0495114, ' 1': -2.0051084, ' 2': -0.17180869, ' two': -3.9675221}
{' #': -5.9511933, ' 1': -1.9498684, ' 2': -0.18531531, ' one': -6.7880216, ' two': -3.8161001}
{' #': -6.0250926, ' 1': -1.625425, ' 2': -0.24685642, ' one': -6.7193694, ' two': -4.05937}
{' #': -5.942182, ' 1': -1.8504449, ' 2': -0.1995525, ' one': -6.855639, ' two': -3.9624977}
{' number': -6.864652, ' #': -5.9372325, ' 1': -1.922952, ' 2': -0.18507917, ' two': -4.0144095}
{' 2': -0.13941513, ' 1': -2.256118, ' two': -3.863168, ' #': -5.9977293, ' number': -6.9230285}
{' number': -6.9501686, ' #': -5.8998046, ' 1': -2.2991598, ' 2': -0.13526314, ' two': -3.8374417}
{' #': -5.92349, ' 1': -2.020486, ' 2': -0.17226547, ' one': -6.9269576, ' two': -3.8677473}
{' #': -5.9600897, ' 1': -1.3837963, ' 2': -0.3174569, ' one': -6.5541043, ' two': -4.11864}
{' #': -6.0489755, ' 1': -1.4433634, ' 2': -0.29713097, ' one': -6.59647, ' two': -4.1234517}
{' #': -6.0193768, ' 1': -1.3237363, ' 2': -0.3369982, ' one': -6.566904, ' two': -4.1945972}
{' 2': -0.57920223, ' 1': -0.8641963, ' two': -4.4053135, ' #': -5.923021, ' one': -6.0760336}
{' #': -6.0349956, ' 1': -1.1051883, ' 2': -0.42977136, ' one': -6.3697352, ' two': -4.3372307}
{' #': -6.0471926, ' 1': -1.554574, ' 2': -0.26547903, ' one': -6.692595, ' two': -4.061017}
{' 2': -0.29306075, ' 1': -1.4540637, ' two': -4.1541276, ' #': -6.0385513, ' one': -6.6542563}
{' #': -6.0133357, ' 1': -1.7726189, ' 2': -0.21377525, ' one': -6.8535337, ' two': -4.015792}
{' #': -5.8784614, ' 1': -0.99582887, ' 2': -0.49423236, ' one': -6.098755, ' two': -4.240711}
{' #': -5.927455, ' 1': -1.4915442, ' 2': -0.281963, ' one': -6.701192, ' two': -4.1538444}
{' #': -5.956878, ' 1': -1.1254941, ' 2': -0.4223118, ' one': -6.342695, ' two': -4.232811}
{' #': -6.0172944, ' 1': -1.7373074, ' 2': -0.22041021, ' one': -6.8413777, ' two': -4.0584474}
{' #': -5.984222, ' 1': -1.5909234, ' 2': -0.2556191, ' one': -6.722304, ' two': -4.0746403}
{' #': -5.912278, ' 1': -1.7153481, ' 2': -0.22703835, ' one': -6.723928, ' two': -4.008561}
{' 2': -0.38545495, ' 1': -1.1993854, ' two': -4.309775, ' #': -5.9837303, ' one': -6.4830246}
{' 2': -0.21379438, ' 1': -1.7677894, ' two': -4.055101, ' #': -6.0331454, ' one': -6.865636}
{' #': -6.0322556, ' 1': -1.8211963, ' 2': -0.20269468, ' one': -6.9483347, ' two': -4.0553236}
{' number': -6.9234414, ' #': -5.934464, ' 1': -2.852734, ' 2': -0.08579334, ' two': -3.8963592}
{' #': -6.0901885, ' 1': -1.9158032, ' 2': -0.18346141, ' one': -7.048726, ' two': -4.1079607}
