{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' 2': -0.24959162, ' 1': -1.7158507, ' two': -3.4078386, ' #': -5.768085, ' one': -5.8288474}
{' #': -5.7998295, ' 1': -1.9143469, ' 2': -0.20811297, ' one': -5.9806533, ' two': -3.4088917}
{' 2': -0.24626485, ' 1': -1.7156863, ' two': -3.4778626, ' #': -5.8151236, ' one': -5.865637}
{' 2': -0.20452307, ' 1': -1.9398936, ' two': -3.3953931, ' #': -5.7111115, ' one': -5.9918838}
{' #': -5.77993, ' 1': -1.9734762, ' 2': -0.19497482, ' one': -6.100104, ' two': -3.4698637}
{' 2': -0.18812864, ' 1': -2.0160723, ' two': -3.4586115, ' #': -5.9057775, ' one': -6.1662188}
{' #': -5.8031006, ' 1': -2.1978433, ' 2': -0.160877, ' one': -6.3052382, ' two': -3.4763694}
{' number': -6.287031, ' #': -5.8681355, ' 1': -2.2743936, ' 2': -0.15287848, ' two': -3.4340117}
{' #': -6.0220485, ' 1': -2.126747, ' 2': -0.16651341, ' one': -6.3498816, ' two': -3.55895}
{' #': -5.841086, ' 1': -1.670576, ' 2': -0.25974464, ' one': -5.744077, ' two': -3.4232233}
{' #': -5.895684, ' 1': -1.6394861, ' 2': -0.26700956, ' one': -5.7095275, ' two': -3.4340947}
{' #': -5.850008, ' 1': -1.6926138, ' 2': -0.2528211, ' one': -5.8192387, ' two': -3.4587898}
{' 2': -0.3230671, ' 1': -1.4477773, ' two': -3.4488146, ' one': -5.5227723, ' #': -5.7797146}
{' 2': -0.18183859, ' 1': -2.0653777, ' two': -3.4308465, ' #': -5.856516, ' one': -6.1356616}
{' #': -5.9963055, ' 1': -1.3691467, ' 2': -0.3453849, ' one': -5.4983416, ' two': -3.52504}
{' #': -5.708944, ' 1': -1.4125303, ' 2': -0.3365816, ' one': -5.497734, ' two': -3.4233427}
{' #': -5.7576876, ' 1': -1.2109964, ' 2': -0.41363502, ' one': -5.2676444, ' two': -3.4950426}
{' 2': -0.33057478, ' 1': -1.4391965, ' two': -3.3806574, ' one': -5.4367695, ' #': -5.6339135}
{' 2': -0.41885605, ' 1': -1.1926084, ' two': -3.5562289, ' one': -5.372051, ' #': -5.669195}
{' 2': -0.3974216, ' 1': -1.2599686, ' two': -3.400168, ' one': -5.2363353, ' #': -5.6647525}
{' 2': -0.2949483, ' 1': -1.5511355, ' two': -3.383613, ' one': -5.566898, ' #': -5.6476545}
{' #': -5.5218053, ' 1': -1.7128124, ' 2': -0.26036635, ' one': -5.6286874, ' two': -3.250606}
{' #': -5.631538, ' 1': -1.4730582, ' 2': -0.31786677, ' one': -5.5141587, ' two': -3.4075122}
{' #': -5.614353, ' 1': -1.6277306, ' 2': -0.27475482, ' one': -5.665781, ' two': -3.368926}
{' #': -5.7651176, ' 1': -1.8011975, ' 2': -0.23500699, ' one': -5.727772, ' two': -3.32498}
{' #': -5.5839896, ' 1': -1.2564803, ' 2': -0.39702144, ' one': -5.328431, ' two': -3.444314}
{' #': -5.6899896, ' 1': -1.3334209, ' 2': -0.36822808, ' one': -5.3669605, ' two': -3.3787792}
{' #': -5.596747, ' 1': -1.4110968, ' 2': -0.34094077, ' one': -5.423813, ' two': -3.3648376}
{' #': -5.665877, ' 1': -1.1534592, ' 2': -0.44071737, ' one': -5.226295, ' two': -3.5125022}
{' #': -5.6644487, ' 1': -1.3029331, ' 2': -0.381449, ' one': -5.2923746, ' two': -3.362526}
{' #': -5.6863484, ' 1': -1.336272, ' 2': -0.367747, ' one': -5.3236756, ' two': -3.3713174}
{' #': -5.6568418, ' 1': -1.5722429, ' 2': -0.2931425, ' one': -5.5333157, ' two': -3.3063164}
{' #': -5.6406927, ' 1': -1.4638562, ' 2': -0.32590538, ' one': -5.438887, ' two': -3.309441}
{' #': -5.573655, ' 1': -1.5006602, ' 2': -0.31093055, ' one': -5.5527754, ' two': -3.379227}
{' 2': -0.18213254, ' 1': -2.1307695, ' two': -3.2206912, ' #': -5.75412, ' one': -5.9308906}
{' #': -5.583805, ' 1': -2.2305424, ' 2': -0.17257439, ' one': -6.067159, ' two': -3.158107}
{' 2': -0.2405121, ' 1': -1.805917, ' two': -3.223256, ' #': -5.570408, ' one': -5.698821}
{' #': -5.5582337, ' 1': -2.0529482, ' 2': -0.19518709, ' one': -5.8959785, ' two': -3.2183764}
{' #': -5.541413, ' 1': -2.0566456, ' 2': -0.19650802, ' one': -5.8803377, ' two': -3.184007}
{' #': -5.517052, ' 1': -2.0368314, ' 2': -0.19901508, ' one': -5.877908, ' two': -3.1982996}
{' #': -5.5957084, ' 1': -1.8363322, ' 2': -0.23039427, ' one': -5.769948, ' two': -3.2866914}
{' number': -6.11449, ' #': -5.4862094, ' 1': -2.2640157, ' 2': -0.16490033, ' two': -3.235472}
{' 2': -0.17257077, ' 1': -2.1872191, ' two': -3.2716916, ' #': -5.592191, ' one': -6.0805407}
{' 2': -0.16159646, ' 1': -2.289322, ' two': -3.2407131, ' #': -5.522627, ' number': -6.0450935}
{' 2': -0.15541422, ' 1': -2.278894, ' two': -3.3505986, ' #': -5.9206667, ' one': -6.246981}
{' 2': -0.3723953, ' 1': -1.307162, ' two': -3.4570625, ' one': -5.4519506, ' #': -5.923861}
{' #': -5.9077706, ' 1': -1.491251, ' 2': -0.30956843, ' one': -5.596598, ' two': -3.4181843}
{' #': -5.833119, ' 1': -1.3761553, ' 2': -0.34379706, ' one': -5.672515, ' two': -3.5017579}
{' #': -5.888565, ' 1': -1.2041589, ' 2': -0.41020408, ' one': -5.522582, ' two': -3.5751746}
{' #': -5.8744273, ' 1': -1.8291919, ' 2': -0.22399212, ' one': -5.996551, ' two': -3.418404}
{' #': -5.954917, ' 1': -1.0314046, ' 2': -0.50270283, ' one': -5.1924696, ' two': -3.5502875}
{' #': -5.792167, ' 1': -1.2796526, ' 2': -0.38317004, ' one': -5.4956994, ' two': -3.47078}
{' 2': -0.48396635, ' 1': -1.0676837, ' two': -3.5309517, ' one': -5.2090726, ' #': -5.7910194}
{' #': -5.734139, ' 1': -1.156035, ' 2': -0.43964618, ' one': -5.306046, ' two': -3.4808333}
{' #': -5.7671776, ' 1': -1.1247014, ' 2': -0.45029718, ' one': -5.3940115, ' two': -3.5655277}
{' #': -5.8127184, ' 1': -1.1484596, ' 2': -0.44732773, ' one': -5.17889, ' two': -3.4135635}
{' #': -5.813932, ' 1': -1.3005785, ' 2': -0.37545723, ' one': -5.450323, ' two': -3.4600368}
{' 2': -0.24596396, ' 1': -1.7695065, ' two': -3.2489161, ' #': -5.6459355, ' one': -5.772096}
{' 2': -0.3429086, ' 1': -1.3925703, ' two': -3.4265306, ' one': -5.545301, ' #': -5.6861653}
{' #': -5.7571964, ' 1': -1.3675984, ' 2': -0.35207635, ' one': -5.508083, ' two': -3.422911}
{' #': -5.7929163, ' 1': -1.3957158, ' 2': -0.34653667, ' one': -5.403143, ' two': -3.3347683}
{' #': -5.74086, ' 1': -1.3153024, ' 2': -0.3727574, ' one': -5.4147816, ' two': -3.4158578}
{' 2': -0.40489855, ' 1': -1.2339486, ' two': -3.44036, ' one': -5.39628, ' #': -5.7511263}
{' #': -5.7132726, ' 1': -1.1523149, ' 2': -0.44330764, ' one': -5.2714105, ' two': -3.4506395}
{' #': -5.7583666, ' 1': -0.98696727, ' 2': -0.5284234, ' one': -5.188548, ' two': -3.607321}
{' #': -5.801345, ' 1': -1.1043906, ' 2': -0.4682364, ' one': -5.194558, ' two': -3.4467423}
{' #': -5.7681055, ' 1': -1.3456473, ' 2': -0.3599601, ' one': -5.449509, ' two': -3.4273906}
{' #': -5.685246, ' 1': -1.3529538, ' 2': -0.35871208, ' one': -5.4705644, ' two': -3.4045587}
{' #': -5.785245, ' 1': -1.3968232, ' 2': -0.3439857, ' one': -5.483262, ' two': -3.3671486}
{' #': -5.823495, ' 1': -1.7431238, ' 2': -0.24386196, ' one': -5.9051185, ' two': -3.3921773}
{' #': -5.8695846, ' 1': -1.8353297, ' 2': -0.22875482, ' one': -5.7759295, ' two': -3.294545}
{' #': -5.7191334, ' 1': -2.1804454, ' 2': -0.17405397, ' one': -6.1231675, ' two': -3.239844}
{' 2': -0.3274799, ' 1': -1.454023, ' two': -3.3220189, ' one': -5.539479, ' #': -5.658461}
{' #': -5.772113, ' 1': -2.0176058, ' 2': -0.19913003, ' one': -5.9397974, ' two': -3.2254646}
{' #': -5.64066, ' 1': -1.7403194, ' 2': -0.2520343, ' one': -5.731906, ' two': -3.2569246}
{' #': -5.641741, ' 1': -2.1815648, ' 2': -0.17899586, ' one': -5.996405, ' two': -3.1514}
{' #': -5.7290316, ' 1': -2.010759, ' 2': -0.19765855, ' one': -5.9897885, ' two': -3.2766953}
{' #': -5.6592107, ' 1': -2.180472, ' 2': -0.17671262, ' one': -6.065007, ' two': -3.194569}
{' #': -5.800645, ' 1': -2.2714784, ' 2': -0.15832117, ' one': -6.2842236, ' two': -3.3141112}
{' number': -6.170952, ' #': -5.6744943, ' 1': -2.2715871, ' 2': -0.16028957, ' two': -3.2931154}
{' #': -5.938212, ' 1': -1.9827628, ' 2': -0.196777, ' one': -6.1343355, ' two': -3.3757203}
{' #': -5.6399794, ' 1': -1.4660448, ' 2': -0.3169266, ' one': -5.633196, ' two': -3.443441}
{' #': -5.5140395, ' 1': -1.3249785, ' 2': -0.36528063, ' one': -5.5104346, ' two': -3.4946828}
{' #': -5.59435, ' 1': -1.2718871, ' 2': -0.38205555, ' one': -5.549238, ' two': -3.5803168}
{' 2': -0.30427498, ' 1': -1.5042795, ' two': -3.4647937, ' #': -5.573266, ' one': -5.687043}
{' #': -5.597827, ' 1': -1.8591539, ' 2': -0.21751232, ' one': -6.0495358, ' two': -3.4481392}
{' #': -5.679479, ' 1': -1.3384608, ' 2': -0.35639173, ' one': -5.5473084, ' two': -3.549539}
{' #': -5.449603, ' 1': -1.7154773, ' 2': -0.2544712, ' one': -5.780572, ' two': -3.3405857}
{' #': -5.4893775, ' 1': -1.3265013, ' 2': -0.36696762, ' one': -5.4450192, ' two': -3.459251}
{' 2': -0.29653257, ' 1': -1.554223, ' two': -3.3546035, ' #': -5.386355, ' one': -5.5997605}
{' #': -5.4809985, ' 1': -1.4502523, ' 2': -0.3247658, ' one': -5.5413814, ' two': -3.415752}
{' #': -5.6188965, ' 1': -1.2979853, ' 2': -0.37673208, ' one': -5.4014206, ' two': -3.4730265}
{' #': -5.532507, ' 1': -1.4999115, ' 2': -0.30588463, ' one': -5.64531, ' two': -3.4677057}
{' #': -5.313149, ' 1': -1.7822264, ' 2': -0.24276723, ' one': -5.8013597, ' two': -3.2905555}
{' #': -5.441247, ' 1': -1.6263428, ' 2': -0.2730218, ' one': -5.711723, ' two': -3.4208772}
{' #': -5.532081, ' 1': -1.7105857, ' 2': -0.25284106, ' one': -5.787098, ' two': -3.3893595}
{' #': -5.4962134, ' 1': -1.738548, ' 2': -0.2511556, ' one': -5.7052546, ' two': -3.29372}
{' #': -5.3954687, ' 1': -1.6907587, ' 2': -0.26018825, ' one': -5.733624, ' two': -3.3558033}
{' #': -5.515147, ' 1': -1.5917988, ' 2': -0.28452113, ' one': -5.656742, ' two': -3.3637142}
{' #': -5.438121, ' 1': -1.495432, ' 2': -0.31454664, ' one': -5.519114, ' two': -3.3426247}
{' 2': -0.37873775, ' 1': -1.2935022, ' two': -3.4878476, ' one': -5.4092817, ' #': -5.502799}
{' #': -5.435721, ' 1': -1.2071521, ' 2': -0.41905856, ' one': -5.29087, ' two': -3.4444892}
{' #': -5.398983, ' 1': -1.5270337, ' 2': -0.30506408, ' one': -5.538854, ' two': -3.344262}
{' #': -5.4282475, ' 1': -1.7838639, ' 2': -0.24101168, ' one': -5.797359, ' two': -3.3045588}
{' #': -5.4749217, ' 1': -1.7658113, ' 2': -0.24428323, ' one': -5.7819166, ' two': -3.3092513}
{' 2': -0.2346692, ' 1': -1.7824978, ' two': -3.4455056, ' #': -5.424428, ' one': -5.932378}
{' #': -5.432636, ' 1': -1.796109, ' 2': -0.23611143, ' one': -5.785968, ' two': -3.348494}
{' 2': -0.19223113, ' 1': -2.0410852, ' two': -3.319085, ' #': -5.393915, ' one': -6.0785275}
{' #': -5.382748, ' 1': -1.8959053, ' 2': -0.22127227, ' one': -5.8542876, ' two': -3.2503896}
{' #': -5.345458, ' 1': -2.23887, ' 2': -0.1688074, ' one': -6.132234, ' two': -3.22434}
{' #': -5.319142, ' 1': -1.9407527, ' 2': -0.2139595, ' one': -5.8630533, ' two': -3.236636}
{' #': -5.329549, ' 1': -2.4271524, ' 2': -0.15188773, ' one': -6.2303567, ' two': -3.1272635}
{' #': -5.411805, ' 1': -2.000021, ' 2': -0.20033844, ' one': -5.961692, ' two': -3.2865674}
{' 2': -0.17325523, ' 1': -2.1803048, ' two': -3.2971432, ' #': -5.3026857, ' one': -6.163274}
{' #': -5.39655, ' 1': -2.1692297, ' 2': -0.17173043, ' one': -6.193365, ' two': -3.3509374}
{' number': -6.2458797, ' #': -5.321943, ' 1': -2.2586496, ' 2': -0.16205943, ' two': -3.3200278}
{' #': -5.5393033, ' 1': -2.1945906, ' 2': -0.16672422, ' one': -6.249442, ' two': -3.360051}
