{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' #': -6.524783, ' 1': -0.30551088, ' 2': -1.4076589, ' one': -5.129709, ' two': -4.6012735}
{' number': -7.37657, ' #': -6.8391356, ' 1': -2.725071, ' 2': -0.100076735, ' two': -3.6021633}
{' #': -6.352323, ' 1': -1.9026984, ' 2': -0.19983286, ' one': -6.577301, ' two': -3.5887334}
{' 2': -0.54186714, ' 1': -0.9306974, ' two': -4.003249, ' one': -5.85595, ' #': -6.428322}
{' 2': -0.5444263, ' 1': -0.9360945, ' two': -3.8486004, ' one': -5.7114816, ' #': -6.3982954}
{' #': -6.434411, ' 1': -0.9884919, ' 2': -0.5073423, ' one': -5.888059, ' two': -3.9092412}
{' #': -6.4689007, ' 1': -1.2707328, ' 2': -0.36977574, ' one': -6.1490726, ' two': -3.752527}
{' number': -7.0171037, ' #': -6.62287, ' 1': -3.2225218, ' 2': -0.074364886, ' two': -3.5385237}
{' 2': -0.041737143, ' two': -3.542826, ' 1': -4.63423, ' #': -6.769046, ' number': -7.0715065}
{' 2': -0.26308224, ' 1': -1.6007382, ' two': -3.693273, ' #': -6.37795, ' one': -6.382879}
{' number': -7.047653, ' #': -6.8421865, ' 1': -3.8740582, ' 2': -0.053225297, ' two': -3.5476213}
{' number': -6.859205, ' #': -6.642865, ' 1': -2.946214, ' 2': -0.08422065, ' two': -3.6791549}
{' number': -7.178838, ' #': -6.843917, ' 1': -4.0274167, ' 2': -0.04575032, ' two': -3.6977696}
{' number': -6.884944, ' #': -6.696517, ' 1': -3.8779802, ' 2': -0.0496876, ' two': -3.681186}
{' number': -6.960292, ' #': -6.7621207, ' 1': -3.5766098, ' 2': -0.060535017, ' two': -3.565921}
{' number': -6.996271, ' #': -6.7346845, ' 1': -3.342408, ' 2': -0.06699838, ' two': -3.6166103}
{' number': -6.831588, ' #': -6.6725945, ' 1': -3.1897128, ' 2': -0.07949851, ' two': -3.432709}
{' number': -7.0134654, ' #': -6.762771, ' 1': -5.213955, ' 2': -0.034187116, ' two': -3.6517484}
{' 2': -0.032651305, ' two': -3.590383, ' 1': -6.022556, ' #': -6.843845, ' number': -6.982641}
{' number': -7.047458, ' #': -6.939588, ' 1': -5.4080405, ' 2': -0.03326571, ' two': -3.6396937}
{' number': -6.9651647, ' #': -6.947586, ' 1': -4.8337626, ' 2': -0.03989976, ' two': -3.5384555}
{' 2': -0.038587134, ' two': -3.7507699, ' 1': -4.41521, ' #': -6.83023, ' number': -6.9591494}
{' number': -7.263311, ' #': -7.128266, ' 1': -6.396225, ' 2': -0.02603762, ' two': -3.7971098}
{' number': -6.9646974, ' #': -7.0785484, ' 1': -6.139667, ' 2': -0.025499353, ' two': -3.8568418}
{' number': -6.945636, ' #': -7.0544267, ' 1': -5.645298, ' 2': -0.035342142, ' two': -3.5325172}
{' 2': -0.0402575, ' two': -3.5326242, ' 1': -4.7867346, ' #': -7.0575175, ' number': -7.091563}
{' number': -6.952309, ' #': -6.9004374, ' 1': -4.071118, ' 2': -0.05106988, ' two': -3.4911885}
{' number': -7.0248394, ' #': -6.768732, ' 1': -3.980823, ' 2': -0.05241952, ' two': -3.506132}
{' 2': -0.029841347, ' two': -3.6336048, ' 1': -6.7291436, ' #': -6.997063, ' number': -7.157485}
{' number': -6.9932537, ' #': -6.8307834, ' 1': -5.2283454, ' 2': -0.03717994, ' two': -3.541189}
{' number': -6.904154, ' #': -6.9968247, ' 1': -6.076164, ' 2': -0.033034973, ' two': -3.5693796}
{' number': -6.946064, ' #': -6.8476043, ' 1': -4.8185925, ' 2': -0.035517152, ' two': -3.7051969}
{' number': -7.131278, ' #': -6.920248, ' 1': -4.825529, ' 2': -0.0357308, ' two': -3.6852248}
{' number': -6.8140917, ' #': -6.6919274, ' 1': -3.4642668, ' 2': -0.06257527, ' two': -3.626723}
{' number': -6.9962215, ' #': -6.8619804, ' 1': -4.4550824, ' 2': -0.043457687, ' two': -3.5508447}
{' #': -6.72595, ' 1': -2.0155654, ' 2': -0.17724961, ' one': -6.7712774, ' two': -3.6624062}
{' #': -6.451945, ' 1': -0.6653314, ' 2': -0.77448136, ' one': -5.442044, ' two': -4.0374303}
{' 2': -0.05403606, ' two': -3.4754472, ' 1': -3.9314508, ' #': -6.9208913, ' number': -7.264046}
{' #': -6.319107, ' 1': -1.0937537, ' 2': -0.45183563, ' one': -5.973804, ' two': -3.7708433}
{' #': -6.4382005, ' 1': -0.52244794, ' 2': -0.94959676, ' one': -5.503403, ' two': -4.3273206}
{' #': -6.4193177, ' 1': -0.46918747, ' 2': -1.0459772, ' one': -5.248917, ' two': -4.2014203}
{' #': -6.3831387, ' 1': -0.637375, ' 2': -0.8012125, ' one': -5.592036, ' two': -4.14172}
{' 1': -0.67108434, ' 2': -0.7634039, ' two': -4.1055303, ' one': -5.6839256, ' #': -6.4144235}
{' number': -7.016691, ' #': -6.5790925, ' 1': -2.3540974, ' 2': -0.13510315, ' two': -3.5716665}
{' number': -6.950203, ' #': -6.5593596, ' 1': -2.6505556, ' 2': -0.105883524, ' two': -3.6234407}
{' #': -6.3352914, ' 1': -0.9192493, ' 2': -0.5541276, ' one': -5.8106103, ' two': -3.8848944}
{' number': -6.953459, ' #': -6.6507473, ' 1': -2.2652621, ' 2': -0.14371638, ' two': -3.6190238}
{' 2': -0.15677175, ' 1': -2.1433535, ' two': -3.713813, ' #': -6.637797, ' number': -6.8705316}
{' 2': -0.07273177, ' 1': -3.146956, ' two': -3.6977906, ' #': -6.7989745, ' number': -7.1548276}
{' number': -6.9546866, ' #': -6.683941, ' 1': -3.0055099, ' 2': -0.080724485, ' two': -3.6779075}
{' #': -6.6200976, ' 1': -2.0912938, ' 2': -0.16891713, ' one': -6.8223953, ' two': -3.5640204}
{' number': -7.0092125, ' #': -6.7356677, ' 1': -2.4538763, ' 2': -0.123126805, ' two': -3.6159644}
{' number': -6.794793, ' #': -6.5404944, ' 1': -2.3479471, ' 2': -0.13934052, ' two': -3.4788582}
{' number': -7.081806, ' #': -6.7404513, ' 1': -4.225242, ' 2': -0.044910215, ' two': -3.6118658}
{' 2': -0.035089742, ' two': -3.5933626, ' 1': -5.319327, ' #': -6.8484845, ' number': -7.0580544}
{' number': -7.0856333, ' #': -6.9921293, ' 1': -4.6619205, ' 2': -0.03962552, ' two': -3.5956805}
{' number': -7.0491953, ' #': -6.885058, ' 1': -4.0665135, ' 2': -0.048614923, ' two': -3.570368}
{' number': -6.984477, ' #': -6.836629, ' 1': -3.8010087, ' 2': -0.050200272, ' two': -3.7172227}
{' number': -7.240049, ' #': -7.037617, ' 1': -5.6147847, ' 2': -0.027140634, ' two': -3.8438938}
{' 2': -0.02752759, ' two': -3.801503, ' 1': -5.863108, ' number': -6.9537687, ' #': -7.0174336}
{' number': -7.0254316, ' #': -7.000924, ' 1': -4.764474, ' 2': -0.040538266, ' two': -3.5336049}
{' number': -7.0554686, ' #': -6.9537244, ' 1': -3.5159597, ' 2': -0.062226404, ' two': -3.560914}
{' number': -6.9110503, ' #': -6.784046, ' 1': -3.3452778, ' 2': -0.06872364, ' two': -3.5549712}
{' number': -7.0583124, ' #': -6.799418, ' 1': -3.1971385, ' 2': -0.07676957, ' two': -3.4903855}
{' number': -7.1042495, ' #': -6.918068, ' 1': -5.8635035, ' 2': -0.031789776, ' two': -3.6303403}
{' number': -6.9137483, ' #': -6.736341, ' 1': -3.8147504, ' 2': -0.057741128, ' two': -3.4563577}
{' number': -6.8930755, ' #': -6.8129544, ' 1': -4.8650618, ' 2': -0.040974904, ' two': -3.5024807}
{' number': -6.8527055, ' #': -6.667209, ' 1': -3.36274, ' 2': -0.06607884, ' two': -3.6302173}
{' 2': -0.060886852, ' 1': -3.4447827, ' two': -3.69702, ' #': -6.840359, ' number': -7.021404}
{' number': -6.775206, ' #': -6.5428147, ' 1': -2.2895813, ' 2': -0.14109607, ' two': -3.6237314}
{' number': -6.965029, ' #': -6.748251, ' 1': -3.2159443, ' 2': -0.07531956, ' two': -3.5133345}
{' #': -6.6911063, ' 1': -1.5625001, ' 2': -0.27064538, ' one': -6.518144, ' two': -3.7445242}
{' 1': -0.34301215, ' 2': -1.3110659, ' two': -4.43418, ' one': -5.091099, ' #': -6.4817657}
{' number': -7.2958755, ' #': -6.9192934, ' 1': -3.2306724, ' 2': -0.07558785, ' two': -3.472068}
{' number': -6.8157625, ' #': -6.0099907, ' 1': -2.1472225, ' 2': -0.16091152, ' two': -3.6046085}
{' 2': -0.70328987, ' 1': -0.7277268, ' two': -4.201054, ' one': -5.799792, ' #': -5.923899}
{' #': -5.959513, ' 1': -0.7852128, ' 2': -0.6563009, ' one': -5.73723, ' two': -4.023515}
{' #': -6.010826, ' 1': -1.2449248, ' 2': -0.37869674, ' one': -6.2846527, ' two': -3.8330214}
{' 2': -0.35818252, ' 1': -1.2943951, ' two': -3.8364918, ' #': -6.0460553, ' one': -6.394454}
{' number': -6.9635777, ' #': -6.1992474, ' 1': -3.3933356, ' 2': -0.06809867, ' two': -3.5460823}
{' number': -7.022418, ' #': -6.303029, ' 1': -4.725608, ' 2': -0.039311655, ' two': -3.6203642}
{' 2': -0.2630529, ' 1': -1.6027782, ' two': -3.706227, ' #': -5.9584823, ' one': -6.5330915}
{' number': -6.980519, ' #': -6.2279477, ' 1': -3.9337416, ' 2': -0.05491951, ' two': -3.4847975}
{' number': -6.842823, ' #': -6.2088475, ' 1': -3.1533537, ' 2': -0.07519283, ' two': -3.64389}
{' number': -7.202768, ' #': -6.352195, ' 1': -4.326959, ' 2': -0.042304877, ' two': -3.6690004}
{' number': -6.889849, ' #': -6.2637672, ' 1': -4.050162, ' 2': -0.046385385, ' two': -3.700085}
{' number': -6.8883443, ' #': -6.2886353, ' 1': -3.5171213, ' 2': -0.0619382, ' two': -3.6071498}
{' number': -6.9672313, ' #': -6.311305, ' 1': -3.5469792, ' 2': -0.05997988, ' two': -3.6387246}
{' number': -6.8115144, ' #': -6.1961107, ' 1': -3.2059531, ' 2': -0.07813598, ' two': -3.4745803}
{' 2': -0.034155846, ' two': -3.6170776, ' 1': -5.5507917, ' #': -6.300685, ' number': -7.050794}
{' number': -6.9581323, ' #': -6.404784, ' 1': -6.0138717, ' 2': -0.03371971, ' two': -3.575563}
{' number': -7.00111, ' #': -6.4712906, ' 1': -5.5411625, ' 2': -0.036848225, ' two': -3.5177612}
{' 2': -0.040728036, ' two': -3.5386949, ' 1': -4.831658, ' #': -6.360775, ' number': -6.932262}
{' number': -6.91849, ' #': -6.332232, ' 1': -4.7723494, ' 2': -0.03798801, ' two': -3.6548796}
{' number': -7.1186748, ' #': -6.6627927, ' 1': -6.454151, ' 2': -0.026241787, ' two': -3.8098204}
{' 2': -0.027129242, ' two': -3.7946575, ' 1': -6.419574, ' #': -6.4947004, ' number': -6.863009}
{' number': -6.9218974, ' #': -6.469787, ' 1': -5.7447867, ' 2': -0.03845234, ' two': -3.4463463}
{' number': -6.871035, ' #': -6.4302125, ' 1': -4.6595883, ' 2': -0.04153506, ' two': -3.5626035}
{' number': -6.9121265, ' #': -6.347431, ' 1': -4.1994, ' 2': -0.04831317, ' two': -3.534868}
{' number': -6.9817266, ' #': -6.3892083, ' 1': -4.3382654, ' 2': -0.047051277, ' two': -3.5052876}
{' number': -6.991729, ' #': -6.4420285, ' 1': -6.9391675, ' 2': -0.02882504, ' two': -3.6949244}
{' number': -6.838082, ' #': -6.327654, ' 1': -5.1090493, ' 2': -0.040548876, ' two': -3.4841006}
{' number': -6.834207, ' #': -6.384031, ' 1': -6.205093, ' 2': -0.03582013, ' two': -3.4965343}
{' number': -6.7992268, ' #': -6.2337027, ' 1': -4.3743277, ' 2': -0.044455342, ' two': -3.591391}
{' number': -7.089569, ' #': -6.479968, ' 1': -5.3352823, ' 2': -0.032517556, ' two': -3.702254}
{' number': -6.701695, ' #': -6.180224, ' 1': -3.218301, ' 2': -0.0732758, ' two': -3.6164463}
{' number': -6.910615, ' #': -6.3806195, ' 1': -4.676696, ' 2': -0.04090418, ' two': -3.5799437}
{' number': -6.8141856, ' #': -6.3077044, ' 1': -2.2134683, ' 2': -0.14859931, ' two': -3.6923747}
{' #': -6.0868635, ' 1': -0.78733385, ' 2': -0.65478265, ' one': -5.7415113, ' two': -3.9969113}
{' number': -7.197223, ' #': -6.482801, ' 1': -4.140415, ' 2': -0.049837325, ' two': -3.5016956}
