{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -0.14648724, '\n': -4.4061384, 'No': -4.5004373, ' Yes': -2.1988668, 'Yes': -6.6018248}
{' Yes': -0.20085506, ' Doctor': -2.7658575, ' No': -2.9236789, '\n': -3.0273893, 'Yes': -4.4187775}
{' No': -0.39947134, ' Hospital': -1.7140085, '\n': -2.2305794, 'No': -3.5539057, ' ': -5.361677}
{' No': -0.7572871, '\n': -1.5315906, 'No': -4.046115, ' Yes': -2.1298609, ' Sur': -1.8159343}
{' No': -0.049740467, '\n': -4.6269536, ' ': -7.8851123, 'No': -3.2942986, ' Yes': -7.373109}
{' No': -0.08248471, '\n': -3.6128836, 'No': -3.6068754, ' Yes': -4.8410444, ' Patient': -4.971431}
{' No': -0.023013484, '\n': -4.7797313, ' ': -8.410314, 'No': -4.5127554, ' Yes': -5.8183336}
{' No': -0.026001954, '\n': -5.155219, ' ': -8.939633, 'No': -3.9322405, ' Yes': -8.871955}
{' No': -0.055867136, ' Yes': -3.729937, 'No': -3.9125965, '\n': -4.6890974, ' Doctor': -7.6915445}
{' No': -0.028770505, '\n': -4.702959, ' ': -7.7436385, 'No': -4.056059, ' Hospital': -6.8202763}
{' No': -0.037550446, '\n': -3.9786532, ' ': -7.784157, 'No': -4.0495095, ' Yes': -8.783008}
{' No': -0.037422847, '\n': -5.907088, ' ': -8.913591, 'No': -3.396504, ' Yes': -8.294482}
{' No': -0.08474548, '\n': -3.4868886, 'No': -3.7940676, ' Yes': -3.9149532, ' Patient': -5.7681746}
{' No': -0.019499931, '\n': -7.506779, ' ': -10.244378, 'No': -3.9820375, ' Yes': -9.639954}
{' No': -0.047158055, '\n': -4.393689, ' ': -7.708882, 'No': -4.6104383, ' Yes': -3.7798793}
{' Yes': -0.1950206, ' No': -2.1384027, '\n': -3.6473405, ' Doctor': -3.7765253, 'Yes': -4.984098}
{' No': -0.107505806, ' Hospital': -3.2308748, '\n': -3.3705347, 'No': -3.7848358, ' ': -6.025127}
{' No': -0.104888886, '\n': -2.7186105, 'No': -4.137602, ' Yes': -4.8072925, ' Sur': -5.047296}
{' No': -0.033790488, '\n': -4.9098167, ' ': -7.582475, 'No': -3.7062356, ' Yes': -8.080591}
{' No': -0.09821505, '\n': -3.3071208, ' Yes': -3.7699869, 'No': -4.16061, ' Patient': -4.559747}
{' No': -0.0113113895, '\n': -5.7269673, ' ': -8.779069, 'No': -4.9343305, ' Yes': -7.44587}
{' No': -0.8109194, '\n': -2.43611, 'No': -3.9121268, ' Yes': -0.8403631, 'Yes': -4.236597}
{' Yes': -0.6696742, ' No': -1.0285821, '\n': -2.3651488, 'No': -4.0670795, 'Yes': -4.125828}
{' No': -0.22462474, '\n': -1.9464037, ' ': -6.2158446, 'No': -2.9056072, ' Yes': -7.3052936}
{' No': -0.29745343, '\n': -1.7821585, ' Yes': -3.0306704, 'No': -3.398768, ' ': -5.754229}
{' No': -0.12046001, '\n': -3.315658, ' ': -7.1873364, 'No': -2.5964367, ' Yes': -7.331738}
{' No': -0.10209585, 'No': -3.0664284, '\n': -3.206115, ' Yes': -4.860297, ' ': -7.2920833}
{' No': -0.12315027, '\n': -2.9136906, ' ': -7.0380077, 'No': -2.8460696, ' Yes': -6.2188888}
{' No': -3.4388912, '\n': -3.0341272, 'No': -5.608924, ' Yes': -0.13870159, 'Yes': -3.1278527}
{' Yes': -0.13085182, '\n': -2.8963203, 'Yes': -2.9174955, ' No': -4.6143, 'No': -6.597059}
{' No': -1.1128769, '\n': -0.93656915, 'No': -2.5453224, ' Yes': -1.7597809, 'Yes': -4.061685}
{' No': -2.4903166, '\n': -1.6686555, 'No': -4.46961, ' Yes': -0.42717957, 'Yes': -2.8217866}
{' No': -0.5278399, '\n': -1.5456773, 'No': -2.1206207, ' Yes': -2.9565146, ' Unfortunately': -4.442177}
{' No': -0.70332605, '\n': -2.2015445, 'No': -2.788077, ' Yes': -1.1868887, 'Yes': -3.826327}
{' No': -0.65677994, '\n': -1.4418218, 'No': -2.2480903, ' Yes': -2.160875, 'Yes': -4.4109225}
{' No': -5.737401, '\n': -4.739369, ' ': -8.11361, ' Yes': -0.028130706, 'Yes': -4.184804}
{' Yes': -0.044848558, '\n': -3.8532152, 'Yes': -4.4573126, ' No': -4.9867315, ' Doctor': -5.7916527}
{' No': -0.123472966, '\n': -2.8666332, 'No': -3.8472219, ' Yes': -3.9408517, ' Hospital': -4.2228246}
{' Yes': -0.87720424, ' No': -1.0110409, '\n': -1.8836051, ' Sur': -3.3797963, 'Yes': -4.4083915}
{' No': -0.038575985, '\n': -4.5983176, ' ': -7.7142324, 'No': -3.633209, ' Yes': -7.5004077}
{' No': -0.20954311, '\n': -2.471197, ' Yes': -2.6597478, 'No': -3.6431634, 'Yes': -6.093557}
{' No': -0.021021642, '\n': -5.03212, ' ': -8.976066, 'No': -4.6344767, ' Yes': -5.4444127}
{' No': -3.9213078, '\n': -3.0396032, 'No': -6.4302535, ' Yes': -0.11192263, 'Yes': -3.361762}
{' No': -1.2872618, '\n': -0.7505244, 'No': -3.6061702, ' Yes': -1.7076569, ' Hospital': -3.557928}
{' No': -1.5004677, '\n': -0.8201088, 'No': -4.099907, ' Yes': -1.2317528, 'Yes': -4.264565}
{' No': -0.20783024, '\n': -2.1728017, ' ': -6.606979, 'No': -2.7662847, ' Yes': -4.955984}
{' No': -0.39929733, ' Yes': -1.6961417, '\n': -2.378122, 'No': -3.2052531, 'Yes': -5.1017127}
{' No': -0.72621083, ' Yes': -1.0153553, '\n': -2.0625584, 'No': -4.1350965, 'Yes': -4.694469}
{' Yes': -0.30402395, '\n': -1.7419358, ' No': -3.1313019, 'Yes': -3.3114793, 'No': -5.5328946}
{' No': -0.92846036, '\n': -0.63512343, 'No': -3.132911, ' Yes': -4.3404913, ' Unfortunately': -5.10114}
{' Yes': -0.5598328, '\n': -0.9801075, 'Yes': -3.599059, ' No': -4.1392584, ' ': -5.2858}
{' No': -0.2379402, '\n': -2.1767333, 'No': -2.4490378, ' Yes': -5.938263, ' Unfortunately': -5.1489925}
{' No': -0.68274456, '\n': -1.4281175, 'No': -3.1532342, ' Yes': -1.642223, 'Yes': -4.6423736}
{'\n': -0.9063256, ' No': -0.98216176, ' Yes': -1.7759221, 'No': -3.3608541, 'Yes': -4.618137}
{' No': -7.609678, '\n': -5.1406574, ' Yes': -0.028184963, ' Nurse': -7.798065, 'Yes': -3.8901765}
{'\n': -5.0271883, ' Yes': -0.03243388, ' yes': -7.6259418, 'Yes': -3.8044484, ' Doctor': -6.328357}
{' No': -4.743462, '\n': -3.837615, ' Yes': -0.08770842, ' Sur': -3.474919, 'Yes': -3.9191387}
{' No': -0.1028611, 'No': -2.6827407, '\n': -3.7387385, ' Yes': -5.944564, ' ': -6.4198275}
{' No': -5.026917, '\n': -4.39267, ' Yes': -0.046723027, ' Patient': -4.7381635, 'Yes': -4.137158}
{' No': -0.6868892, ' Yes': -0.78380346, '\n': -3.7214808, 'No': -4.887016, 'Yes': -5.150909}
{' No': -0.1923244, '\n': -3.2397122, 'No': -3.8890407, ' Yes': -2.1980023, 'Yes': -5.79131}
{' No': -2.4326694, '\n': -2.5866745, ' Yes': -0.28850052, 'Yes': -4.3385777, ' Doctor': -2.6965222}
{' No': -0.7624896, '\n': -0.9474547, ' Hospital': -2.6809502, 'No': -3.3132155, ' Yes': -3.5128367}
{' No': -0.17159024, '\n': -2.3170998, ' ': -6.1110244, 'No': -3.123586, ' Yes': -4.4792953}
{' No': -0.93078357, '\n': -1.6692002, 'No': -4.608871, ' Yes': -1.1059334, ' Patient': -2.7761052}
{' No': -0.05983787, ' Yes': -3.7482934, '\n': -3.9421983, 'No': -4.294056, ' ': -7.270972}
{' No': -0.06177987, ' Yes': -3.5978649, '\n': -3.9488533, 'No': -4.433614, ' ': -7.403813}
{' No': -0.24042614, '\n': -4.0719786, 'No': -4.520215, ' Yes': -1.7681093, ' Doctor': -4.3982644}
{' No': -0.037495308, '\n': -4.410073, ' ': -7.3661637, 'No': -4.0133023, ' Hospital': -5.275185}
{' No': -0.06760417, '\n': -3.1508768, ' ': -7.055473, 'No': -4.2082157, ' Yes': -5.0816274}
{' No': -0.09705166, '\n': -3.3176901, 'No': -4.3226485, ' Yes': -3.917822, ' Patient': -3.9745672}
{' No': -0.008499, 'No': -4.899742, '\n': -7.3565116, ' Yes': -8.152114, ' ': -9.648699}
{' Yes': -0.10239744, '\n': -2.912822, 'Yes': -3.240554, ' No': -6.1036634, ' ': -7.195815}
{' Yes': -0.100449026, '\n': -2.8916914, 'Yes': -3.3762805, ' No': -6.0859566, ' The': -6.647135}
{' No': -0.91540396, '\n': -0.760451, 'No': -2.9882553, ' Yes': -2.9888349, ' Unfortunately': -4.779927}
{' No': -2.212809, '\n': -0.64098203, 'No': -4.3402634, ' Yes': -1.1662905, 'Yes': -3.7154257}
{' No': -0.47245666, '\n': -1.4910629, 'No': -2.118216, ' Yes': -4.602988, ' Unfortunately': -4.7796216}
{' No': -0.5863885, '\n': -1.1020306, 'No': -3.030545, ' Yes': -2.9695003, ' Unfortunately': -5.7110925}
{' No': -0.5562176, '\n': -3.4443438, 'No': -4.614058, ' Yes': -0.9726928, 'Yes': -5.286534}
{' No': -1.2972264, '\n': -3.7990096, ' Yes': -0.37582824, 'Yes': -4.9369664, ' Doctor': -5.277012}
{' No': -0.059123687, '\n': -3.5708482, ' ': -7.067739, 'No': -3.6797383, ' Hospital': -5.9606853}
{' No': -0.07052614, '\n': -3.0915182, 'No': -4.0342255, ' Yes': -5.6707764, ' ': -7.1037135}
{' No': -0.05054084, '\n': -4.6098914, ' ': -8.005479, 'No': -3.2557924, ' Yes': -8.954671}
{' No': -0.3016416, '\n': -3.5063572, 'No': -4.0626335, ' Yes': -1.6557523, ' Patient': -4.0752053}
{' No': -0.057404865, ' Yes': -3.4612553, 'No': -4.235383, '\n': -4.70831, 'Yes': -7.528229}
{' No': -0.07181236, '\n': -4.664593, 'No': -4.282891, ' Yes': -3.1412818, ' Doctor': -6.390059}
{' No': -0.08691139, 'No': -3.312587, '\n': -3.6005447, ' Hospital': -4.120639, ' ': -6.6612825}
{' No': -0.082471505, '\n': -3.085548, 'No': -3.8041565, ' Yes': -4.7263904, ' Sur': -7.051619}
{' No': -0.029495547, 'No': -3.6401217, '\n': -6.021263, ' Yes': -9.020856, ' ': -9.170925}
{' No': -0.029149685, ' Not': -8.654564, '\n': -5.2889757, 'No': -3.9715989, ' Yes': -5.4836397}
{' No': -0.012450664, 'No': -4.478872, '\n': -7.2763953, ' Yes': -8.229432, ' ': -10.036484}
{' No': -0.7052759, '\n': -2.8665745, 'No': -4.0335593, ' Yes': -0.8801741, 'Yes': -4.485351}
{' No': -2.776096, '\n': -3.368761, ' Yes': -0.25278473, 'Yes': -4.495411, ' Doctor': -2.2059708}
{' No': -1.085023, '\n': -2.452958, 'No': -4.2982817, ' Yes': -4.9349413, ' Hospital': -0.60900027}
{' No': -1.2657177, '\n': -1.762443, 'No': -4.5850115, ' Yes': -1.5121394, ' Sur': -1.2197773}
{' No': -0.060268395, '\n': -4.290308, ' ': -7.5966973, 'No': -3.157972, ' Yes': -7.140714}
{' No': -0.1037817, '\n': -3.3477676, 'No': -3.5935907, ' Yes': -4.692523, ' Patient': -4.511477}
{' No': -0.02401839, 'No': -4.2535105, '\n': -5.15363, ' Yes': -5.707408, ' ': -8.442435}
{' No': -0.024154915, 'No': -3.9280775, '\n': -5.5395947, ' ': -8.876816, ' Yes': -9.299579}
{' No': -0.02729596, 'No': -4.0059257, '\n': -5.181761, ' Yes': -5.9210563, ' ': -8.631111}
{' No': -0.023797467, 'No': -4.193773, '\n': -5.0113688, ' Hospital': -6.820844, ' ': -7.7725515}
{' No': -0.033076614, 'No': -4.0364943, '\n': -4.242294, ' ': -7.9548173, ' Sur': -10.073708}
{' No': -0.024818994, '\n': -6.638979, ' ': -9.252089, 'No': -3.7723927, ' Yes': -9.887301}
{' No': -0.031456854, '\n': -4.741851, 'No': -3.9097545, ' Yes': -6.934001, ' Patient': -7.7896123}
{' No': -0.020798635, '\n': -7.5023713, ' ': -10.085637, 'No': -3.9144027, ' Yes': -10.693704}
{' No': -0.07269145, ' Yes': -3.160004, '\n': -4.22193, 'No': -4.445904, ' ': -7.530258}
{' Yes': -0.48169732, ' No': -1.1116811, '\n': -3.8645039, ' Doctor': -3.8690972, 'Yes': -5.2710266}
{' No': -0.13541533, ' Hospital': -2.6189797, 'No': -3.7413435, '\n': -3.7876158, ' Yes': -5.8121696}
{' No': -0.123462245, '\n': -2.7075496, 'No': -3.887731, ' Sur': -4.2432857, ' Yes': -4.4884906}
{' No': -0.031144807, '\n': -5.1345763, ' ': -7.9270487, 'No': -3.7385614, ' Yes': -8.233525}
{' No': -0.08569241, '\n': -3.4736125, 'No': -3.875224, ' Yes': -4.4095926, ' Patient': -4.583802}
{' No': -0.012712505, '\n': -5.8804374, ' ': -8.849844, 'No': -4.6590233, ' Yes': -8.706509}
{' No': -0.36889216, ' Yes': -1.5620781, '\n': -3.0607274, 'No': -3.2016556, 'Yes': -4.638955}
{' Yes': -0.778589, ' No': -0.8786906, '\n': -2.4421673, 'No': -3.925981, 'Yes': -4.217731}
{' No': -0.23114593, '\n': -2.0829525, 'No': -2.5747967, ' ': -5.8525686, ' Yes': -6.441723}
{' No': -0.22265592, '\n': -2.2557008, ' Yes': -2.989219, 'No': -3.287374, ' ': -5.7949667}
{' No': -0.113327414, 'No': -2.5922704, '\n': -3.5107713, ' ': -7.125359, ' Yes': -7.33054}
{' No': -0.105829254, '\n': -3.3255498, ' ': -7.101129, 'No': -2.8402367, ' Yes': -5.5237827}
{' No': -0.14061204, '\n': -3.0206301, ' ': -6.899563, 'No': -2.5293334, ' Yes': -6.760342}
{' Yes': -0.19194503, '\n': -2.6892765, ' No': -2.9828384, 'Yes': -3.0484264, 'No': -5.0851216}
{' No': -3.3571875, '\n': -3.406473, 'No': -5.407423, ' Yes': -0.13324556, 'Yes': -2.9896336}
{' No': -0.88982403, '\n': -1.0070782, 'No': -2.269085, ' Yes': -2.305006, 'Yes': -4.5613003}
{' No': -2.0035295, '\n': -1.5094862, 'No': -3.9033134, ' Yes': -0.5905505, 'Yes': -2.7382708}
{' No': -0.55808836, '\n': -1.4065399, ' ': -5.1166973, 'No': -1.9744473, ' Yes': -3.6061609}
{' No': -0.4473997, '\n': -1.9711539, ' Yes': -2.2390845, 'No': -2.3128552, 'Yes': -4.5902066}
{' No': -0.70170647, '\n': -1.2873807, 'No': -1.9913524, ' Yes': -2.6308541, 'Yes': -4.57074}
{' No': -3.6059194, '\n': -4.8232255, 'No': -7.4197774, ' Yes': -0.051239766, 'Yes': -4.296473}
{' Yes': -0.11245428, ' No': -2.6152332, '\n': -3.9596202, 'Yes': -4.6921396, ' Doctor': -5.9315686}
{' No': -0.09006269, '\n': -3.4477074, 'No': -3.683143, ' Yes': -4.6588645, ' Hospital': -4.1389155}
{' No': -0.2881413, ' Yes': -1.8912278, '\n': -2.5876942, 'No': -4.1395264, 'Yes': -5.735344}
{' No': -0.032314938, '\n': -4.8112035, ' ': -7.7868905, 'No': -3.788485, ' Yes': -8.08042}
{' No': -0.09837623, '\n': -3.4183168, ' Yes': -3.4803627, 'No': -3.6692553, ' Patient': -6.872235}
{' No': -0.017067384, '\n': -5.5581207, ' ': -9.086384, 'No': -4.487473, ' Yes': -6.424908}
{' Yes': -0.113210805, 'Yes': -3.1374876, '\n': -3.2122478, ' No': -3.929512, 'No': -6.2413383}
{' No': -0.8936005, '\n': -1.0676689, ' Yes': -2.0248775, ' Hospital': -2.9288785, 'No': -3.0589046}
{' Yes': -0.5800112, '\n': -1.1702632, ' No': -2.4828546, 'Yes': -3.5259092, 'No': -5.002691}
{' No': -0.1546208, '\n': -2.5531306, 'No': -2.8368623, ' Yes': -5.520704, ' ': -6.584743}
{' No': -0.56192714, '\n': -2.1320603, 'No': -3.154771, ' Yes': -1.4051372, 'Yes': -4.5559535}
{' No': -0.73005325, '\n': -2.1905043, 'No': -3.9140625, ' Yes': -0.990517, 'Yes': -4.3494625}
{' No': -1.9298394, '\n': -1.564235, 'No': -4.2610126, ' Yes': -0.52058345, 'Yes': -3.3884764}
{' No': -0.65754825, '\n': -0.9497711, 'No': -2.8140996, ' Yes': -4.402787, ' Hospital': -4.8806925}
{' No': -3.325008, '\n': -1.0831541, ' ': -5.2120967, ' Yes': -0.5281214, 'Yes': -3.7092586}
{' No': -0.28299716, '\n': -2.0981677, 'No': -2.1631584, ' Unfortunately': -5.943718, ' Yes': -6.155426}
{' No': -0.3870273, '\n': -1.6828171, ' Yes': -2.7587597, 'No': -2.806724, 'Yes': -5.6423163}
{' No': -0.42320666, '\n': -1.3837303, ' ': -6.093172, 'No': -2.804064, ' Yes': -3.5859091}
{' Yes': -0.015426303, 'Yes': -4.494037, '\n': -5.9247293, ' No': -7.1035852, ' ': -8.333032}
{'\n': -6.1943474, ' Yes': -0.023252536, ' yes': -7.6515174, 'Yes': -3.9797685, ' Doctor': -6.6328564}
{' Yes': -0.10696364, ' Sur': -2.6602376, 'Yes': -4.0693374, '\n': -4.650331, ' No': -5.972898}
{' No': -0.084559634, '\n': -3.9409304, ' ': -6.4466596, 'No': -2.8549852, ' Yes': -6.3994703}
{' No': -5.4324074, '\n': -5.6810355, ' Yes': -0.031578273, ' Patient': -4.5799255, 'Yes': -4.460451}
{' No': -0.48486555, ' Yes': -1.0292591, '\n': -4.499104, 'No': -4.6913285, 'Yes': -5.369692}
{' No': -0.25103602, ' Yes': -1.8217243, '\n': -3.363972, 'No': -3.9261591, 'Yes': -5.425041}
{' No': -1.4662758, '\n': -2.5412652, ' Yes': -0.44667226, 'Yes': -4.2784095, ' Doctor': -3.7553709}
{' No': -1.4775356, '\n': -1.5308022, 'No': -4.2876225, ' Yes': -2.5049596, ' Hospital': -0.8062253}
{' No': -0.129348, '\n': -2.7482882, 'No': -2.9898424, ' Yes': -5.397401, ' ': -6.4817514}
{' No': -0.76998615, '\n': -1.8623133, 'No': -4.3243985, ' Yes': -1.3441839, ' Patient': -2.3899794}
{' No': -0.04210548, '\n': -4.18372, ' ': -7.087407, 'No': -4.0427346, ' Yes': -4.938901}
{' No': -0.07233776, '\n': -3.8483691, ' ': -7.1076703, 'No': -4.1917734, ' Yes': -3.4500937}
{' No': -0.47300747, ' Yes': -1.3409561, ' Doctor': -2.7472212, '\n': -3.3327734, 'No': -4.6492443}
{' No': -0.03502863, '\n': -4.783865, ' ': -7.240928, 'No': -4.091881, ' Hospital': -4.8904076}
{' No': -0.100617215, ' Yes': -3.0250251, '\n': -3.5787494, 'No': -4.2904077, ' Sur': -5.6349244}
{' No': -0.14694852, '\n': -3.1276784, 'No': -4.3412633, ' Yes': -3.5829816, ' Patient': -3.1708055}
{' No': -0.0076276357, '\n': -7.371459, ' ': -9.150365, 'No': -5.038273, ' Yes': -7.966312}
{' Yes': -0.06051001, 'Yes': -3.4356396, '\n': -3.851596, ' No': -5.5453925, ' ': -7.710581}
{' No': -5.071664, '\n': -2.9235506, ' Yes': -0.10329931, ' The': -6.322657, 'Yes': -3.392974}
{' No': -0.87497646, '\n': -0.90586597, ' Yes': -2.3207638, 'No': -3.0780098, ' Hospital': -4.3905153}
{' No': -1.2361814, '\n': -0.7239991, 'No': -3.5962296, ' Yes': -1.7484208, 'Yes': -4.47291}
{' No': -0.3971617, ' Not': -5.316941, '\n': -1.8244057, 'No': -1.9114877, ' Yes': -5.442845}
{' No': -0.34667036, '\n': -1.6698457, 'No': -3.237196, ' Yes': -2.8458996, 'Yes': -6.0768433}
{' Yes': -0.47656497, ' No': -1.0959802, '\n': -3.6189084, 'Yes': -4.624924, 'No': -4.966141}
{' Yes': -0.084636174, ' No': -3.5474446, ' Doctor': -3.6485324, '\n': -4.3106875, 'Yes': -4.5231204}
{' No': -0.11641799, '\n': -2.8386183, ' ': -6.320838, 'No': -3.3746004, ' Hospital': -4.319739}
{' No': -0.06821582, '\n': -3.1951954, ' ': -7.240182, 'No': -3.9330475, ' Yes': -5.561345}
{' No': -0.052778937, ' Not': -9.496035, '\n': -4.918402, ' ': -8.02248, 'No': -3.1359544}
{' No': -0.041718747, 'No': -3.7738335, '\n': -4.294652, ' Yes': -6.035779, ' Patient': -7.07102}
{' No': -0.050390758, ' Yes': -3.872933, 'No': -3.982443, '\n': -4.7160897, 'Yes': -7.789444}
{' No': -0.03528459, 'No': -4.271006, ' Yes': -4.328938, '\n': -5.005982, ' Doctor': -7.9884167}
{' No': -0.087015234, 'No': -3.134554, '\n': -3.4164236, ' Hospital': -5.352493, ' ': -6.8698864}
{' No': -0.11157397, '\n': -2.7336195, 'No': -3.3924572, ' Yes': -5.4874644, ' Sur': -6.8036857}
{' No': -0.03873174, 'No': -3.384627, '\n': -5.636451, ' Yes': -8.608724, ' Not': -8.913941}
{' No': -0.02667149, ' Not': -8.994569, '\n': -5.7922807, 'No': -3.8340616, ' Yes': -6.723515}
{' No': -0.027428215, 'No': -3.9970822, '\n': -5.0170693, ' Yes': -6.379337, ' ': -8.460785}
{' No': -0.54866064, ' Yes': -1.0991195, '\n': -3.0516894, 'No': -3.800627, 'Yes': -4.6695576}
{' No': -1.5630645, '\n': -2.4886053, ' Yes': -0.5375097, 'Yes': -4.5104213, ' Doctor': -2.294216}
{' No': -0.14235725, ' Hospital': -2.6476157, '\n': -3.2849603, 'No': -3.9290373, ' ': -6.214117}
{' No': -0.7210956, '\n': -1.4346595, ' Sur': -2.0705428, ' Yes': -2.209003, 'No': -3.730571}
{' No': -0.029119795, '\n': -5.7124786, ' ': -9.053212, 'No': -3.691658, ' Yes': -8.749544}
{' No': -0.079329826, '\n': -3.7209654, 'No': -3.6297448, ' Pat': -4.9957514, ' Patient': -4.7716055}
{' No': -0.0335211, '\n': -4.552854, ' ': -8.160389, 'No': -4.0658007, ' Yes': -5.351571}
{' No': -0.026365703, '\n': -5.215906, ' ': -8.847696, 'No': -3.8948307, ' Yes': -9.536755}
{' No': -0.033197932, '\n': -4.7911916, 'No': -3.910107, ' Yes': -5.6093864, ' Doctor': -8.1456}
{' No': -0.024085065, '\n': -5.0455403, ' ': -7.886864, 'No': -4.128766, ' Hospital': -7.357245}
{' No': -0.035765767, '\n': -4.0673056, ' ': -8.006524, 'No': -4.045476, ' Yes': -10.029742}
{' No': -0.02878394, '\n': -6.1802692, ' ': -9.095543, 'No': -3.6489525, ' Yes': -9.3558235}
{' No': -0.025826218, '\n': -5.257994, 'No': -3.9788938, ' Yes': -7.4967155, ' Patient': -7.96669}
{' No': -0.020067519, 'No': -3.955475, '\n': -7.3373966, ' ': -10.220457, ' Yes': -11.024132}
{' No': -0.09739252, '\n': -4.1846175, 'No': -4.4261026, ' Yes': -2.7621818, 'Yes': -7.0746984}
{' No': -1.1794864, '\n': -3.4156637, ' Yes': -0.48392212, 'Yes': -5.2095976, ' Doctor': -3.450885}
{' No': -0.15011597, '\n': -3.0623128, 'No': -3.6091115, ' Yes': -5.893701, ' Hospital': -2.8370798}
{' No': -0.09550931, '\n': -2.9593303, 'No': -3.9901643, ' Yes': -4.7520795, ' Sur': -4.6778364}
{' No': -0.027349925, 'No': -3.86504, '\n': -5.235939, ' ': -8.262997, ' Yes': -8.369495}
{' No': -0.06141784, '\n': -3.713901, 'No': -3.982556, ' Pat': -5.463765, ' Patient': -5.3252687}
{' No': -0.012713652, '\n': -5.721252, ' ': -8.825039, 'No': -4.727889, ' Yes': -8.049542}
{' No': -0.38050142, ' Yes': -1.5493801, '\n': -2.7749279, 'No': -3.426743, 'Yes': -4.8832803}
{' No': -0.4049671, ' Yes': -1.5159937, '\n': -2.7263496, 'No': -3.2805793, 'Yes': -4.8573556}
{' No': -0.23030871, '\n': -1.9615669, ' ': -5.9072914, 'No': -2.8027592, ' Yes': -7.3816648}
{' No': -0.23733509, '\n': -1.9685285, ' ': -5.9706206, 'No': -3.1515517, ' Yes': -3.7277772}
{' No': -0.11693006, 'No': -2.5762634, '\n': -3.443958, ' ': -7.2122054, ' Yes': -7.4753776}
{' No': -0.08926718, '\n': -3.5812275, ' ': -7.459087, 'No': -2.9449627, ' Yes': -5.7817645}
{' No': -0.11469468, 'No': -2.6793633, '\n': -3.2855206, ' Yes': -6.7546215, ' ': -7.3252964}
{' Yes': -0.17515905, ' No': -2.7708068, '\n': -2.9281878, 'Yes': -3.3038325, 'No': -5.114139}
{' No': -3.545342, '\n': -3.537474, 'No': -5.708042, ' Yes': -0.11538172, 'Yes': -3.07865}
{' No': -0.6157381, '\n': -1.1983492, ' ': -5.006462, 'No': -2.2051566, ' Yes': -3.4557552}
{' No': -1.5542061, '\n': -1.4725945, 'No': -3.5711927, ' Yes': -0.73484147, 'Yes': -3.1008558}
{' No': -0.3951062, '\n': -1.7529495, 'No': -2.1480815, ' Yes': -3.9993577, ' Unfortunately': -4.6685114}
{' No': -0.35026452, '\n': -2.2760916, 'No': -2.4010153, ' Yes': -2.4090185, 'Yes': -4.986331}
{' No': -0.4306266, '\n': -1.6768309, 'No': -2.07693, ' Yes': -3.6606696, ' Unfortunately': -5.4475694}
{' No': -4.2132587, '\n': -4.679855, 'No': -7.963548, ' Yes': -0.040786643, 'Yes': -4.199558}
{' No': -1.9042239, '\n': -3.6323102, ' Yes': -0.21501878, 'Yes': -4.686786, ' Doctor': -5.305473}
{' No': -0.0991086, '\n': -3.0595121, 'No': -3.6513183, ' Hospital': -4.2191205, ' Yes': -5.7955537}
{' No': -0.48691067, '\n': -2.2150276, 'No': -4.2041655, ' Yes': -1.4195832, ' Sur': -4.733269}
{' No': -0.04113333, 'No': -3.5500712, '\n': -4.5569663, ' ': -7.8548746, ' Yes': -7.9932113}
{' No': -0.05986799, '\n': -3.735521, 'No': -3.7322652, ' Yes': -4.818727, ' Patient': -7.6475043}
{' No': -0.020189699, 'No': -4.3548226, '\n': -5.212191, ' Yes': -6.507141, ' ': -9.048405}
{' No': -3.6362162, '\n': -2.865962, 'No': -6.01129, ' Yes': -0.13344702, 'Yes': -3.2889378}
{' No': -0.7801888, '\n': -0.9149601, ' Yes': -2.9113607, 'No': -3.095992, ' Hospital': -3.478892}
{' No': -1.3264703, '\n': -0.9610602, 'No': -3.8009896, ' Yes': -1.1813875, 'Yes': -4.063977}
{' No': -0.23983307, '\n': -2.1522436, 'No': -2.4311953, ' Yes': -5.3997564, ' Not': -6.33717}
{' No': -0.27782655, '\n': -2.2077503, ' Yes': -2.7269251, 'No': -2.8453236, ' Patient': -5.681591}
{' No': -0.60968524, '\n': -1.6310647, 'No': -3.497037, ' Yes': -1.5169747, 'Yes': -4.702865}
{' Yes': -0.99415535, ' No': -1.0360656, '\n': -1.5206962, 'No': -3.4275277, 'Yes': -3.9092495}
{' No': -0.7088577, '\n': -0.8576462, 'No': -2.9425573, ' Yes': -4.86283, ' Hospital': -4.490182}
