{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -5.079869, '\n': -4.793286, ' Yes': -0.04270042, ' Nurse': -6.290147, 'Yes': -3.724028}
{' Yes': -0.030447086, 'Yes': -3.7440472, '\n': -5.5602946, ' Doctor': -6.838848, ' yes': -7.523149}
{' No': -4.213511, '\n': -2.783343, ' Yes': -0.2816799, ' Sur': -2.0203369, 'Yes': -3.537072}
{' No': -0.09003491, '\n': -3.9089987, ' ': -7.1046753, 'No': -2.7709982, ' Yes': -6.312635}
{' No': -5.738238, '\n': -4.446761, ' Yes': -0.038647603, ' Patient': -5.659465, 'Yes': -4.039908}
{' No': -0.088939294, '\n': -4.237016, ' ': -6.521497, 'No': -3.8559048, ' Yes': -3.06648}
{' Yes': -0.26020405, ' No': -1.9515969, '\n': -3.0711608, 'Yes': -3.4728544, 'No': -4.9029555}
{' No': -0.77265453, '\n': -3.7017677, 'No': -4.235312, ' Yes': -0.722001, 'Yes': -4.7555013}
{' No': -0.51593447, '\n': -1.4241527, ' Hospital': -2.276791, 'No': -3.6523387, ' Yes': -3.713097}
{' No': -0.09853895, 'No': -3.0489972, '\n': -3.1910815, ' Yes': -5.5861216, ' ': -7.1840625}
{' No': -0.83626235, '\n': -1.471543, 'No': -3.9959378, ' Yes': -1.2722573, ' Patient': -3.7348754}
{' No': -0.05843479, 'No': -3.8637745, '\n': -3.8737347, ' Yes': -4.320222, ' ': -6.919232}
{' No': -0.087748505, '\n': -2.934924, 'No': -3.7441394, ' Yes': -5.2081475, ' ': -6.6025453}
{' No': -1.1076696, '\n': -3.6110725, 'No': -5.022924, ' Yes': -0.80983347, ' Doctor': -1.7150515}
{' No': -0.11850793, ' Hospital': -2.6556306, '\n': -3.5257666, 'No': -4.967955, ' ': -6.20779}
{' No': -1.7444627, '\n': -1.849653, ' ': -5.2655177, ' Yes': -1.9695795, ' Sur': -0.6740205}
{' No': -0.12427011, '\n': -3.0455537, 'No': -4.4481053, ' Yes': -4.1341214, ' Patient': -3.474156}
{' No': -0.011209579, 'No': -4.7073784, '\n': -6.4410324, ' ': -8.010086, ' Yes': -8.843668}
{' No': -0.3750406, ' Yes': -2.0236573, '\n': -2.0406651, 'No': -3.1664221, 'Yes': -5.27985}
{' Yes': -0.10784759, '\n': -3.2094138, 'Yes': -3.510874, ' No': -3.6358225, ' The': -6.1230874}
{' No': -0.552961, '\n': -1.1618363, 'No': -2.7451434, ' Unfortunately': -3.6375213, ' Hospital': -5.227535}
{' No': -1.873629, '\n': -0.94830555, 'No': -4.503567, ' Yes': -0.87399143, 'Yes': -3.847872}
{' No': -0.30181095, ' Not': -4.989385, '\n': -2.1123426, 'No': -2.2248914, ' Unfortunately': -4.261226}
{' No': -0.18410665, '\n': -2.3174474, 'No': -2.9251592, ' Yes': -4.5217643, ' Unfortunately': -6.2917266}
{' No': -0.09604051, ' Yes': -3.171022, '\n': -3.6473289, 'No': -3.8551803, 'Yes': -7.08542}
{' No': -2.4273224, '\n': -5.0196457, ' Yes': -0.13099313, 'Yes': -4.5893326, ' Doctor': -4.2006416}
{' No': -0.10864812, ' Hospital': -3.1559427, '\n': -3.4720626, 'No': -3.7292173, ' Not': -6.759476}
{' No': -0.07500322, '\n': -3.0535169, 'No': -4.2455983, ' Yes': -4.811585, ' Sur': -6.9459047}
{' No': -0.036663458, 'No': -3.484238, '\n': -5.3274956, ' ': -8.747897, ' Not': -9.174265}
{' No': -0.06916012, '\n': -3.6729884, 'No': -3.6698356, ' Yes': -4.38257, ' Patient': -6.204131}
{' No': -0.022286542, '\n': -4.7346773, ' ': -8.596942, 'No': -4.4485483, ' Yes': -6.660565}
{' No': -0.032370653, 'No': -3.9121485, ' Yes': -4.989068, '\n': -5.3582544, 'Yes': -9.203973}
{' No': -0.051156074, 'No': -3.6204574, '\n': -3.9426239, ' Hospital': -6.6749177, ' Not': -7.2286325}
{' No': -0.07381775, '\n': -3.006597, 'No': -4.0431037, ' Yes': -5.851638, ' ': -7.497503}
{' No': -0.033175074, 'No': -3.610148, '\n': -5.4152665, ' Yes': -7.404738, ' Unfortunately': -8.683002}
{' No': -0.028421579, 'No': -3.915594, '\n': -5.4564037, ' Yes': -5.7400107, ' Not': -8.498346}
{' No': -0.010892273, 'No': -4.739387, '\n': -6.336024, ' Yes': -8.485261, ' ': -9.699286}
{' No': -0.029478176, '\n': -4.4828963, ' ': -8.590357, 'No': -4.3921566, ' Yes': -5.2881355}
{' No': -0.62736565, '\n': -4.0049195, 'No': -4.6890435, ' Yes': -0.8376089, 'Yes': -5.3360105}
{' No': -0.13467218, '\n': -3.476652, 'No': -4.359581, ' Yes': -5.4515953, ' Hospital': -2.6172216}
{' No': -0.072886705, '\n': -3.126464, ' Yes': -4.40466, 'No': -4.4356375, ' Sur': -7.0956297}
{' No': -0.021006668, ' Not': -8.668368, '\n': -5.8768816, 'No': -4.082568, ' Yes': -7.2468576}
{' No': -0.025861753, 'No': -4.2252426, ' Yes': -5.124298, '\n': -5.4435635, ' Not': -8.852134}
{' No': -0.019934287, 'No': -4.4930844, '\n': -4.9353566, ' Yes': -6.930751, ' ': -8.405566}
{' No': -0.029622506, '\n': -4.6659536, ' ': -8.785266, 'No': -3.9489071, ' Yes': -8.067204}
{' No': -0.23338038, '\n': -4.955079, 'No': -3.8508463, ' Yes': -1.7379789, 'Yes': -5.7144055}
{' No': -0.053043954, '\n': -3.6526113, 'No': -4.0236363, ' Hospital': -5.552357, ' Yes': -5.82283}
{' No': -0.035387345, '\n': -3.948519, 'No': -4.2303433, ' Yes': -7.8224525, ' ': -8.203222}
{' No': -0.02994673, '\n': -6.011386, ' ': -8.900653, 'No': -3.6394055, ' Yes': -7.6883917}
{' No': -0.07735832, ' Yes': -3.4156876, 'No': -3.6641843, '\n': -4.253845, 'Yes': -6.771526}
{' No': -0.0097385235, 'No': -4.7373843, '\n': -7.1309996, ' Yes': -9.574773, ' ': -9.975165}
{' No': -0.042791434, '\n': -3.6769063, 'No': -4.3565044, ' Yes': -5.785272, ' ': -7.621807}
{' No': -1.8704407, '\n': -4.099559, ' Yes': -0.20258278, 'Yes': -4.894132, ' Doctor': -6.167863}
{' No': -0.21474458, ' Hospital': -2.025051, '\n': -3.2913704, 'No': -4.3651214, ' Yes': -5.229429}
{' No': -0.17498432, '\n': -2.1714458, ' Yes': -4.101988, ' Sur': -4.3304424, 'No': -4.3897195}
{' No': -0.018007051, '\n': -5.5944915, ' ': -8.556222, 'No': -4.323566, ' Yes': -7.8176966}
{' No': -0.17342594, ' Yes': -2.5815794, '\n': -2.961537, 'No': -4.3182354, ' Patient': -4.742815}
{' No': -0.012342339, 'No': -4.879068, '\n': -5.4617324, ' Yes': -8.634247, ' ': -8.652285}
{' No': -0.074137434, '\n': -3.313477, ' ': -7.44629, 'No': -3.596642, ' Yes': -5.0247083}
{' No': -0.3042282, '\n': -2.614876, 'No': -3.33042, ' Yes': -1.9235919, 'Yes': -5.2970047}
{' No': -0.13107543, '\n': -2.5193121, 'No': -3.2881262, ' Unfortunately': -6.470618, ' ': -6.5285172}
{' No': -0.26301277, '\n': -1.8296689, ' ': -6.3418527, 'No': -3.3892734, ' Yes': -3.4358718}
{' No': -0.077330045, '\n': -3.8875184, 'No': -2.9853864, ' Yes': -6.6553416, ' Unfortunately': -7.001305}
{' No': -0.08840087, 'No': -2.9802024, '\n': -3.5777159, ' Yes': -5.5014424, ' Unfortunately': -7.4314694}
{' No': -0.07444707, '\n': -3.4373255, ' ': -7.6126127, 'No': -3.2652807, ' Yes': -7.4812555}
{' No': -0.32237166, ' Yes': -2.129184, '\n': -2.4149487, 'No': -2.9553998, ' Unfortunately': -5.0344114}
{' No': -1.981025, '\n': -2.871286, 'No': -4.252876, ' Yes': -0.2881959, 'Yes': -3.2527075}
{' No': -0.7484895, '\n': -1.3528807, ' Yes': -1.6256486, 'No': -3.051138, 'Yes': -4.648834}
{' Yes': -0.65086716, ' No': -1.4886358, '\n': -1.6829164, 'Yes': -3.3037772, 'No': -3.7898233}
{' No': -0.5274725, '\n': -1.4213438, 'No': -2.5037413, ' Yes': -2.785119, ' Unfortunately': -4.3391256}
{' No': -0.8499576, '\n': -2.6437652, 'No': -3.4193811, ' Yes': -0.8154097, 'Yes': -3.9024665}
{' No': -0.4088515, '\n': -1.7484816, 'No': -2.3998585, ' Yes': -2.8962305, ' Unfortunately': -5.11668}
{' No': -0.101499274, ' Yes': -3.1073873, '\n': -3.277471, 'No': -4.368295, 'Yes': -7.3099723}
{' Yes': -0.03847235, '\n': -4.3506804, 'Yes': -4.413497, ' No': -4.436639, ' yes': -8.192876}
{' No': -0.08807529, ' Yes': -3.3716922, '\n': -3.3968616, 'No': -4.446653, ' Hospital': -5.8561854}
{' No': -0.8409874, '\n': -1.5639907, 'No': -4.914918, ' Yes': -1.2166588, ' Sur': -3.2142403}
{' No': -0.030457042, '\n': -4.959648, ' ': -8.561163, 'No': -3.8480074, ' Yes': -6.916931}
{' No': -0.2424932, ' Yes': -1.9505773, '\n': -2.9892888, 'No': -4.1259537, 'Yes': -5.6957016}
{' No': -0.012276326, '\n': -5.44933, ' ': -9.160894, 'No': -5.044813, ' Yes': -6.652113}
{' No': -1.6180209, '\n': -2.4886777, 'No': -4.0462146, ' Yes': -0.40287003, 'Yes': -3.5021377}
{' No': -0.53986776, '\n': -1.4553684, ' Yes': -2.1434786, 'No': -3.0027144, ' Hospital': -4.885535}
{' Yes': -0.70173705, '\n': -1.2274861, ' No': -1.7438664, 'Yes': -3.9559598, 'No': -4.506747}
{' No': -0.15837663, '\n': -2.7772312, 'No': -2.5939388, ' Yes': -5.5601997, ' Unfortunately': -5.8967757}
{' No': -0.7595267, ' Yes': -0.9215464, '\n': -2.4865031, 'No': -3.5003333, 'Yes': -4.2632914}
{' No': -0.261995, ' Yes': -1.9991698, '\n': -2.6103187, 'No': -4.0509944, 'Yes': -5.863553}
{' No': -0.8590902, '\n': -1.3611978, 'No': -3.3568013, ' Yes': -1.3222613, 'Yes': -4.369018}
{' No': -0.77698743, '\n': -0.87514526, 'No': -3.082678, ' Yes': -2.9325736, ' Unfortunately': -4.6946588}
{' No': -3.171389, '\n': -0.9159859, ' ': -5.746144, ' Yes': -0.6438072, 'Yes': -3.7857368}
{' No': -0.18294804, '\n': -2.566146, 'No': -2.6595504, ' Unfortunately': -4.1356645, ' Yes': -6.5927396}
{' No': -0.46066797, '\n': -1.622886, 'No': -2.8026936, ' Yes': -2.376514, ' Unfortunately': -5.2019873}
{' No': -0.49139965, '\n': -1.3074206, 'No': -3.2127168, ' Yes': -2.6848009, 'Yes': -5.6400905}
{' Yes': -0.04541351, ' No': -4.0361876, '\n': -4.2761316, 'Yes': -4.455606, ' ': -7.6879225}
{' Yes': -0.015904326, 'Yes': -4.3281846, '\n': -6.258265, ' yes': -7.944733, ' ': -8.986278}
{' Yes': -0.15058337, ' Sur': -2.6900387, '\n': -3.089939, 'Yes': -4.0301166, ' No': -5.3754535}
{' No': -0.030615399, 'No': -3.9475367, '\n': -4.7476068, ' Yes': -6.5445294, ' ': -7.8002744}
{'\n': -5.614693, ' ': -7.990672, ' Yes': -0.01535155, ' Patient': -7.1139264, 'Yes': -4.6236796}
{' No': -0.42532545, ' Yes': -1.1928843, '\n': -3.661297, 'No': -4.5671463, 'Yes': -5.4375515}
{' No': -0.36465973, ' Yes': -1.2865386, '\n': -3.9818528, 'No': -4.9819555, 'Yes': -5.75575}
{' No': -0.46571186, ' Yes': -1.1147767, '\n': -3.7127862, 'No': -4.355662, 'Yes': -5.435084}
{' No': -0.11921183, '\n': -2.65824, 'No': -4.141867, ' Yes': -3.8297162, ' Hospital': -6.1259465}
{' No': -0.07521166, '\n': -3.265468, 'No': -3.5373104, ' Yes': -5.6728926, ' ': -7.1809793}
{' Yes': -0.53269964, ' No': -1.6700134, '\n': -1.896406, ' Patient': -2.9943578, 'Yes': -4.3388557}
{' No': -0.026281012, '\n': -4.5166335, ' ': -7.5462656, 'No': -4.500633, ' Yes': -5.783113}
{' No': -0.045026924, '\n': -3.7069645, 'No': -4.0530186, ' Yes': -6.5588417, ' ': -7.4485335}
{' No': -1.144165, '\n': -3.3435247, ' Yes': -0.51551235, 'Yes': -5.035024, ' Doctor': -3.3549247}
{' No': -0.063518584, '\n': -3.5428162, ' Hospital': -4.1583385, 'No': -4.215816, ' ': -6.9068775}
{' No': -0.23220344, '\n': -2.0500896, 'No': -4.061185, ' Yes': -2.9381988, ' Sur': -5.419486}
{' No': -0.11421302, '\n': -3.121972, ' Yes': -3.4563224, 'No': -4.109191, ' Patient': -4.419223}
{' No': -0.008080401, 'No': -4.9767137, '\n': -6.987244, ' Yes': -9.081261, ' ': -9.325106}
{' No': -0.3051233, '\n': -2.009387, ' Yes': -2.6248825, 'No': -3.0809276, ' Unfortunately': -5.5314493}
{' No': -3.7162228, '\n': -3.1894782, ' Yes': -0.10285983, ' The': -5.8721156, 'Yes': -3.6573677}
{' No': -0.665094, '\n': -0.9986454, ' ': -5.4397597, 'No': -2.9345562, ' Unfortunately': -3.0374713}
{' Yes': -0.8868745, '\n': -1.0047734, ' No': -1.7898895, 'Yes': -3.6671994, 'No': -4.156032}
{' No': -0.34115133, 'No': -2.0600464, '\n': -2.1998646, ' Unfortunately': -3.3658037, ' Not': -5.175242}
{' No': -0.270523, '\n': -1.7921847, 'No': -3.2189522, ' Yes': -3.730816, ' Unfortunately': -6.148269}
{' No': -0.030636234, '\n': -4.3186955, 'No': -4.3300385, ' Yes': -5.7559237, ' ': -8.004955}
{' Yes': -0.11556054, ' No': -2.5443878, '\n': -4.136589, 'Yes': -4.5533886, ' Doctor': -6.4271793}
{' No': -0.049061246, '\n': -3.5541575, ' ': -7.4450665, 'No': -4.1045837, ' Hospital': -6.8025036}
{' No': -0.06478418, '\n': -3.146239, 'No': -4.347388, ' Yes': -5.340543, ' Sur': -7.186917}
{' No': -0.025010264, 'No': -3.905757, '\n': -5.523126, ' Unfortunately': -8.496751, ' ': -8.884664}
{' No': -0.019990046, 'No': -4.3779817, '\n': -5.5492487, ' Yes': -5.8009233, ' ': -9.367458}
{' No': -0.03228188, 'No': -4.1468005, '\n': -4.2753487, ' Yes': -6.3965793, ' ': -8.258982}
{' No': -0.052823614, '\n': -5.1976314, 'No': -3.6577637, ' Yes': -3.957288, 'Yes': -7.9745903}
{' No': -0.04382199, 'No': -4.1268086, '\n': -4.374869, ' Hospital': -4.471724, ' Yes': -7.07156}
{' No': -0.044432405, '\n': -3.6545415, 'No': -4.323687, ' Yes': -5.6575246, ' ': -7.8704896}
{' No': -0.020555662, '\n': -6.3483005, ' ': -9.42494, 'No': -4.029299, ' Yes': -7.4675674}
{' No': -0.033376083, 'No': -3.8706143, '\n': -4.8941836, ' Yes': -5.6050878, ' Not': -8.013345}
{' No': -0.016020726, '\n': -5.80576, ' ': -8.900333, 'No': -4.40528, ' Yes': -7.6948376}
{' No': -0.03218542, '\n': -4.417357, ' ': -8.435003, 'No': -4.4636235, ' Yes': -4.867043}
{' No': -0.5644234, '\n': -4.538317, 'No': -5.2801995, ' Yes': -0.88960356, 'Yes': -5.869395}
{' No': -0.12881644, ' Hospital': -2.6203535, '\n': -3.6401002, 'No': -4.33962, ' Yes': -5.159267}
{' No': -0.13437033, '\n': -2.5248904, ' Yes': -3.8112462, 'No': -4.1283526, ' Sur': -5.391019}
{' No': -0.015085875, ' Not': -9.199947, '\n': -6.3088207, 'No': -4.382481, ' Yes': -7.8236465}
{' No': -0.026664266, 'No': -4.363897, ' Yes': -4.8413367, '\n': -5.4652305, ' Not': -8.022664}
{' No': -0.017537927, 'No': -4.6569114, '\n': -5.3305244, ' Yes': -5.930877, ' ': -8.368694}
{' No': -0.028009146, '\n': -4.9428554, ' ': -8.7592745, 'No': -3.9008212, ' Yes': -9.469413}
{' No': -0.041868463, '\n': -4.9401493, 'No': -4.020371, ' Yes': -4.2315865, ' Doctor': -7.1810226}
{' No': -0.03626139, '\n': -4.0842423, 'No': -4.2418523, ' Yes': -7.5363183, ' Hospital': -5.794263}
{' No': -0.030222526, '\n': -4.1086907, 'No': -4.35083, ' ': -8.312157, ' Yes': -9.42038}
{' No': -0.019549163, 'No': -4.037438, '\n': -6.5266666, ' ': -9.163326, ' Yes': -9.677698}
{' No': -0.020199493, '\n': -5.8782296, ' ': -9.861975, 'No': -4.1172547, ' Yes': -7.1430154}
{' No': -0.012942471, '\n': -6.2565737, ' ': -8.900683, 'No': -4.538537, ' Yes': -9.444961}
{' No': -0.035602074, '\n': -3.9033346, ' ': -7.5043254, 'No': -4.512283, ' Yes': -5.7787204}
{' Yes': -0.12001274, ' No': -2.4141164, '\n': -4.5407314, 'Yes': -4.860424, ' Doctor': -5.8524003}
{' No': -0.13408165, ' Hospital': -2.7092557, '\n': -3.354687, 'No': -4.0791116, ' Yes': -5.9119244}
{' No': -0.1687506, '\n': -2.4725606, 'No': -4.3732333, ' Yes': -3.6912436, ' Sur': -3.5816092}
{' No': -0.023154441, '\n': -5.0040183, ' ': -8.076866, 'No': -4.1957636, ' Yes': -7.9651}
{' No': -0.0923814, '\n': -3.2070527, ' Yes': -3.7780347, 'No': -4.0656514, ' Patient': -5.7938886}
{' No': -0.010306078, '\n': -5.968302, ' ': -8.79101, 'No': -4.9073377, ' Yes': -9.273172}
{' No': -0.10462348, '\n': -2.9389987, 'No': -3.2215648, ' Yes': -5.3188396, ' ': -6.745437}
{' No': -0.3771594, ' Yes': -1.5201151, '\n': -3.041582, 'No': -3.2890074, 'Yes': -4.837652}
{' No': -0.14104755, '\n': -2.5468988, ' ': -6.235392, 'No': -3.0393362, ' Unfortunately': -6.6358304}
{' No': -0.16881715, '\n': -2.4249988, ' ': -6.573533, 'No': -3.30014, ' Yes': -3.6331055}
{' No': -0.07721176, 'No': -3.0683272, '\n': -3.70904, ' Yes': -6.522003, ' ': -7.2179646}
{' No': -0.09284867, '\n': -3.6018264, ' ': -7.5662713, 'No': -2.889073, ' Yes': -5.5117483}
{' No': -0.11811269, 'No': -2.7471888, '\n': -3.0918274, ' ': -6.9417667, ' Yes': -7.635908}
{' No': -0.42945784, '\n': -1.9323056, ' Yes': -2.0977643, 'No': -2.6928875, 'Yes': -4.971629}
{' Yes': -0.13769713, ' No': -2.8095741, 'Yes': -3.239511, '\n': -3.8207319, 'No': -5.1925406}
{' No': -0.537393, '\n': -1.4509538, ' Yes': -2.4024346, 'No': -2.6344543, ' Unfortunately': -4.9878745}
{' No': -1.6661233, '\n': -1.3889035, 'No': -3.777251, ' Yes': -0.7137822, 'Yes': -3.1455545}
{' No': -0.5299162, '\n': -1.4370149, 'No': -2.3259292, ' Yes': -2.8698306, ' Unfortunately': -5.0211554}
{' No': -0.842129, ' Yes': -0.89363706, '\n': -2.4405673, 'No': -3.1440604, 'Yes': -3.6874716}
{' No': -0.4304944, '\n': -1.7565993, 'No': -2.0063229, ' Yes': -3.463844, 'Yes': -5.614095}
{' No': -0.11188063, ' Yes': -2.7643998, '\n': -3.5722766, 'No': -4.336137, 'Yes': -6.987359}
{' Yes': -0.01927204, 'Yes': -4.6743546, '\n': -5.4004, ' No': -5.548134, ' Doctor': -7.399908}
{' No': -0.08383737, '\n': -3.6783733, ' Hospital': -3.6857295, ' Yes': -4.2094555, 'No': -4.429428}
{' No': -0.23413081, '\n': -2.3433456, ' Yes': -2.4155102, 'No': -4.370716, ' Sur': -5.362148}
{' No': -0.02647874, 'No': -4.0514073, '\n': -4.9116445, ' Yes': -7.2747235, ' ': -8.166495}
{' No': -0.06897899, '\n': -3.6809, ' Yes': -3.8944657, 'No': -3.9937189, ' The': -7.5403395}
{' No': -0.01352278, '\n': -5.734212, ' ': -9.047053, 'No': -4.716459, ' Yes': -6.849864}
{' No': -2.7209287, '\n': -3.2320542, 'No': -5.1394506, ' Yes': -0.16394491, 'Yes': -3.2701764}
{' Yes': -0.99189204, ' No': -1.0652487, '\n': -1.5626776, 'No': -3.3880882, ' Hospital': -3.8867018}
{' Yes': -0.6130609, '\n': -1.0097837, ' No': -3.2316463, 'Yes': -3.674731, ' Sur': -3.9914198}
{' No': -0.125881, '\n': -2.76346, ' ': -6.7233667, 'No': -3.0555167, ' Yes': -5.19177}
{' No': -0.25023964, '\n': -2.0283215, 'No': -2.7897274, ' Yes': -3.8848965, ' Patient': -5.845956}
{' No': -0.6986621, ' Yes': -1.1710799, '\n': -1.8508723, 'No': -3.8428555, 'Yes': -4.4290657}
{' No': -0.7826798, '\n': -1.1929867, 'No': -3.277686, ' Yes': -1.6810582, 'Yes': -4.562333}
{' No': -0.49102414, '\n': -1.2765218, 'No': -2.91893, ' Yes': -3.4707696, ' Unfortunately': -5.0126}
{' No': -2.8551605, '\n': -0.63635695, ' ': -5.4461446, ' Yes': -0.9710089, 'Yes': -3.9106333}
{' No': -0.3124775, '\n': -1.934872, 'No': -2.2390046, ' Yes': -6.0558686, ' Unfortunately': -4.5932736}
{' No': -0.2778832, '\n': -1.9357219, 'No': -2.6463923, ' Yes': -4.00638, ' Unfortunately': -5.8115644}
{' No': -0.30526796, '\n': -1.7084204, 'No': -2.9337888, ' Yes': -3.7414305, ' ': -6.4329667}
{' Yes': -0.054019954, ' No': -3.6296518, 'Yes': -4.39345, '\n': -4.4254894, 'No': -7.4578}
{' Yes': -0.017665623, 'Yes': -4.2145705, '\n': -6.3279643, ' yes': -7.640728, ' ': -8.661178}
{' No': -6.257545, '\n': -3.6638787, ' Yes': -0.22097553, ' Sur': -1.8828732, 'Yes': -4.229013}
{' No': -0.028465983, 'No': -4.000651, '\n': -4.8851132, ' Yes': -6.654505, ' ': -7.467058}
{' No': -6.9286804, '\n': -5.6235023, ' Yes': -0.015571647, ' Patient': -6.7606277, 'Yes': -4.7258887}
{' No': -0.63934785, ' Yes': -0.82018363, '\n': -4.120005, 'No': -4.85755, 'Yes': -5.1393647}
{' No': -0.5822217, ' Yes': -0.8923298, '\n': -3.876371, 'No': -5.202209, 'Yes': -5.4449325}
{' No': -0.2949458, '\n': -3.815339, 'No': -4.222392, ' Yes': -1.545432, 'Yes': -5.8201203}
{' No': -0.73513824, '\n': -1.236067, ' Hospital': -2.0565054, ' Yes': -2.6964035, 'No': -3.748633}
{' No': -0.08502067, '\n': -3.1557088, 'No': -3.350777, ' Yes': -6.289633, ' ': -6.783482}
{' Yes': -0.9226191, ' No': -1.182774, '\n': -1.6341898, ' Patient': -2.6085227, 'No': -4.639179}
{' No': -0.03890065, 'No': -4.093821, '\n': -4.1944466, ' Yes': -5.266356, ' ': -7.132914}
{' No': -0.07945812, '\n': -3.051458, ' ': -6.7453175, 'No': -3.8119082, ' Yes': -5.2022896}
{' No': -0.6533116, ' Yes': -1.001401, ' Doctor': -2.8447082, '\n': -3.2670507, 'No': -4.7801943}
{' No': -0.099868976, '\n': -3.1991615, ' Hospital': -3.3123112, 'No': -4.2980976, ' ': -6.1639786}
{' No': -0.30187535, '\n': -1.9654742, ' Yes': -2.7101603, ' Sur': -3.3601944, 'No': -4.273105}
{' No': -0.13265933, '\n': -2.7438347, ' Yes': -3.5910351, 'No': -4.1879168, ' Patient': -4.502576}
{' No': -0.012555439, 'No': -4.59908, '\n': -6.2393084, ' ': -8.403396, ' Yes': -8.563855}
{' No': -0.086555295, '\n': -3.4038463, 'No': -3.3666434, ' Yes': -4.366386, ' Unfortunately': -7.0507045}
{' Yes': -0.10648484, '\n': -2.8593378, 'Yes': -3.4335127, ' No': -4.9657717, ' The': -6.210168}
{' No': -0.34647352, '\n': -1.5255487, 'No': -3.0250869, ' Unfortunately': -4.0568805, ' ': -5.8635154}
{' No': -2.016934, '\n': -0.81850487, 'No': -4.514319, ' Yes': -0.9621531, 'Yes': -3.8216672}
{' No': -0.32605037, '\n': -1.8542696, 'No': -2.4107978, ' Unfortunately': -4.1624722, ' Yes': -5.148703}
{' No': -0.270084, '\n': -1.9472463, 'No': -3.051025, ' Yes': -3.2137637, 'Yes': -6.351783}
{' No': -0.03675652, '\n': -4.248003, ' ': -7.9195056, 'No': -4.179823, ' Yes': -5.1436577}
{' Yes': -0.18385783, ' No': -1.9849534, '\n': -4.360957, 'Yes': -4.5376477, 'No': -5.7927785}
{' No': -0.09376586, '\n': -3.0483747, ' ': -6.616207, 'No': -3.6220899, ' Hospital': -4.4437165}
{' No': -0.05460018, '\n': -3.3359013, ' ': -7.7663136, 'No': -4.184332, ' Yes': -6.6012287}
{' No': -0.029666036, '\n': -5.127303, ' ': -8.503835, 'No': -3.7820559, ' Yes': -9.093804}
{' No': -0.028582506, '\n': -4.81679, ' ': -9.103558, 'No': -4.0470643, ' Yes': -6.0935273}
{' No': -0.023081368, '\n': -4.796923, ' ': -8.526598, 'No': -4.2909856, ' Yes': -7.438287}
{' No': -0.023485178, '\n': -5.805524, ' ': -9.61604, 'No': -4.1316657, ' Yes': -5.5335517}
{' No': -0.0438682, ' Not': -7.143339, '\n': -4.1391535, 'No': -3.7901716, ' Hospital': -6.2502737}
{' No': -0.051226526, '\n': -3.4579437, ' ': -7.9106193, 'No': -4.0640626, ' Yes': -7.419394}
{' No': -0.024694659, 'No': -3.8938963, '\n': -5.811199, ' Yes': -7.3223567, ' Not': -8.8625145}
{' No': -0.025074802, 'No': -3.9740436, '\n': -5.718798, ' Yes': -6.144589, ' Not': -8.511913}
{' No': -0.012254421, '\n': -6.118486, ' ': -9.5891695, 'No': -4.6326632, ' Yes': -8.859123}
{' No': -0.028996458, '\n': -4.2508974, ' ': -8.011758, 'No': -4.407195, ' Yes': -6.4052377}
{' No': -0.12198849, '\n': -4.5262356, 'No': -4.573992, ' Yes': -2.3841, 'Yes': -7.041664}
{' No': -0.17355376, ' Hospital': -2.1530535, '\n': -3.772503, 'No': -4.428173, ' Yes': -5.4094696}
{' No': -0.058990203, '\n': -3.2464595, 'No': -4.233776, ' Yes': -6.043939, ' ': -7.4938064}
{' No': -0.01689642, 'No': -4.2327623, '\n': -6.301133, ' Yes': -8.602447, ' Not': -9.403772}
{' No': -0.01855922, 'No': -4.322066, '\n': -5.6564374, ' Yes': -6.976838, ' Not': -8.539247}
{' No': -0.015589446, '\n': -5.3758607, ' ': -8.524319, 'No': -4.600407, ' Yes': -7.6286526}
{' No': -0.027771343, '\n': -4.6507187, ' ': -8.6148205, 'No': -4.0434, ' Yes': -9.41423}
{' No': -0.039862975, '\n': -4.7218885, ' ': -8.451482, 'No': -3.646226, ' Yes': -5.608943}
{' No': -0.02708717, 'No': -4.145156, '\n': -4.6228776, ' Hospital': -7.913611, ' ': -8.013824}
{' No': -0.028741183, ' Not': -10.6491785, '\n': -4.4158773, ' ': -8.558873, 'No': -4.1376987}
