{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.15839729, ' Yes': -2.291265, '\n': -3.6149094, 'No': -4.156032, 'Yes': -6.2112594}
{' No': -1.0865674, '\n': -4.3185964, 'No': -5.127787, ' Yes': -0.45967904, 'Yes': -4.7666397}
{' No': -0.0702564, '\n': -4.087592, 'No': -4.044879, ' Yes': -3.4769754, ' Hospital': -6.5538588}
{' Yes': -0.62238306, ' No': -1.8804722, ' Sur': -1.886034, '\n': -2.069103, 'Yes': -3.9341788}
{' No': -0.04727634, ' Not': -7.8596997, '\n': -5.389519, 'No': -3.2759616, ' Yes': -5.7848606}
{' No': -1.1424434, '\n': -2.0731742, 'No': -4.259822, ' Yes': -0.7078674, 'Yes': -3.916186}
{' Yes': -0.10954512, '\n': -3.216835, ' No': -3.230305, 'Yes': -3.9405959, ' Nurse': -6.1122193}
{'\n': -5.2661867, ' Yes': -0.017581057, ' yes': -8.615367, 'Yes': -4.741992, ' Doctor': -5.815079}
{' Yes': -0.6729106, ' No': -1.0409011, ' Hospital': -2.4580495, '\n': -3.3021162, 'No': -5.024769}
{' Yes': -0.774993, ' Sur': -0.9838724, '\n': -2.0115786, 'Yes': -4.183412, ' No': -4.779744}
{' Band': -7.00388, ' No': -0.048082553, '\n': -4.398958, 'No': -3.507021, ' Yes': -6.122547}
{'Pat': -2.454225, ' No': -1.3224711, '\n': -1.4301561, ' Yes': -1.4003139, ' Patient': -2.302671}
{' No': -0.040197432, 'No': -3.6144502, '\n': -4.4990063, ' Yes': -6.933309, ' ': -8.060802}
{' No': -0.5880135, '\n': -4.807429, 'No': -4.2837605, ' Yes': -0.8810852, 'Yes': -4.92491}
{' No': -0.030953653, '\n': -4.906726, 'No': -3.8843453, ' Yes': -6.30663, ' Hospital': -8.0383005}
{' No': -0.046451196, '\n': -4.0562854, 'No': -3.6559634, ' Yes': -6.525829, ' Sur': -7.9772677}
{' No': -0.04497711, 'No': -3.2372756, '\n': -5.9552283, ' Yes': -6.374624, ' ': -8.751852}
{' No': -0.19155486, '\n': -2.4762094, 'No': -3.6080263, ' Yes': -2.8476672, 'Yes': -6.085262}
{' No': -1.0153772, '\n': -3.0113313, 'No': -5.01334, ' Yes': -0.562935, 'Yes': -4.6333504}
{' No': -7.1951847, '\n': -5.401663, ' Yes': -0.01590947, 'Yes': -4.676773, ' Doctor': -7.382841}
{' No': -0.22845232, ' Yes': -1.8656993, ' Hospital': -3.8977504, '\n': -4.173635, 'No': -4.5223494}
{' No': -0.9147216, '\n': -1.9231921, 'No': -4.534915, ' Yes': -1.7544816, ' Sur': -1.3495132}
{' No': -0.040378194, '\n': -4.951774, ' ': -8.015953, 'No': -3.5069954, ' Yes': -6.3902426}
{'Pat': -3.5675583, ' No': -1.515179, '\n': -2.3309596, ' Yes': -0.65260905, ' Patient': -2.4478667}
{' No': -1.5089768, '\n': -2.4517334, 'No': -4.0510244, ' Yes': -0.44394583, 'Yes': -3.4481802}
{' Yes': -0.12409829, '\n': -3.1301708, ' No': -3.3179152, 'Yes': -3.4112644, 'No': -6.107044}
{' No': -0.19730084, '\n': -2.7613323, 'No': -2.7257068, ' Yes': -3.0731895, 'Yes': -6.161854}
{' Yes': -0.5235297, ' No': -1.5406902, '\n': -1.9167507, 'Yes': -3.5035174, 'No': -4.305896}
{' No': -0.13288748, '\n': -3.0083394, ' ': -7.0385995, 'No': -2.644261, ' Yes': -6.207947}
{' No': -0.35452697, '\n': -2.5553765, 'No': -2.8611093, ' Yes': -1.8969445, 'Yes': -4.573225}
{' No': -4.5402822, '\n': -2.3167622, 'No': -6.067887, ' Yes': -0.20365062, 'Yes': -2.6525736}
{' Yes': -0.07854912, 'Yes': -2.9043221, '\n': -3.9711175, ' No': -7.074707, ' ': -7.771836}
{' Yes': -0.3049073, '\n': -2.2689862, ' No': -2.398501, 'Yes': -2.9925463, 'No': -4.1987348}
{' Yes': -0.14038238, 'Yes': -2.686502, '\n': -2.8292918, ' No': -6.2140703, ' ': -6.927783}
{' No': -0.64027077, '\n': -1.5654093, 'No': -2.1064038, ' Yes': -2.1445758, 'Yes': -4.2917595}
{' Yes': -0.29780814, ' No': -2.331362, '\n': -2.6077065, 'Yes': -2.6984887, 'No': -4.1557255}
{' No': -4.863248, '\n': -3.4765844, 'No': -7.12267, ' Yes': -0.090466686, 'Yes': -3.0877197}
{' Yes': -0.20242491, ' No': -2.514877, '\n': -2.702213, 'Yes': -3.7657392, 'No': -5.0296974}
{' No': -1.3712715, '\n': -1.6303104, 'No': -3.9175515, ' Yes': -0.6884122, 'Yes': -3.7144437}
{' No': -0.20139074, '\n': -2.381391, 'No': -2.569818, ' Yes': -4.7751455, ' Not': -6.230111}
{' Yes': -0.21123414, ' No': -2.3801718, '\n': -2.9502647, 'Yes': -3.541335, ' Patient': -4.887496}
{' No': -4.297116, '\n': -2.3668163, 'No': -6.642845, ' Yes': -0.16718572, 'Yes': -3.142039}
{' Yes': -0.5983919, '\n': -1.5466303, ' No': -1.6627153, 'Yes': -3.7648156, 'No': -4.0871234}
{' Yes': -0.1132887, '\n': -2.533241, 'Yes': -3.7214675, ' Sur': -6.760366, ' ': -7.030172}
{' No': -0.33746085, '\n': -1.5678858, 'No': -2.8729317, ' Yes': -4.1992083, ' ': -6.4395413}
{' No': -0.78212464, '\n': -1.5217409, 'No': -3.0636551, ' Yes': -1.387828, 'Yes': -4.131995}
{'\n': -6.2201734, ' YES': -8.949384, ' ': -8.707056, ' Yes': -0.01786845, 'Yes': -4.1879983}
{' Yes': -0.014534657, 'Yes': -4.3400426, '\n': -7.069485, ' yes': -8.057003, ' YES': -9.509478}
{'\n': -5.2635937, ' ': -7.4171333, ' Yes': -0.07485386, ' Sur': -3.1654718, 'Yes': -3.7741296}
{' Band': -4.424823, ' No': -0.21581356, '\n': -2.900109, 'No': -3.145499, ' Yes': -2.6154048}
{' Yes': -0.072721384, ' Patient': -3.3195055, 'Yes': -4.0647583, '\n': -4.611181, ' No': -5.8028946}
{' No': -0.0918564, '\n': -3.418055, 'No': -3.5189097, ' Yes': -3.7443945, 'Yes': -7.0823045}
{' Yes': -0.062126312, '\n': -3.642496, 'Yes': -4.1309204, ' No': -4.4632244, ' Doctor': -5.387457}
{' No': -0.62094104, ' Yes': -1.1773623, '\n': -2.130703, 'No': -4.109535, ' Hospital': -4.4889317}
{' No': -0.22580573, '\n': -2.2704701, ' ': -6.169935, 'No': -3.6020164, ' Yes': -2.7301068}
{' Yes': -0.2895544, '\n': -2.0710657, ' No': -2.8934762, ' Patient': -3.1907728, 'Yes': -3.8748507}
{' No': -0.7408412, '\n': -2.773661, 'No': -4.0475297, ' Yes': -0.8541073, 'Yes': -4.1758137}
{' Yes': -0.1981371, ' Doctor': -1.9641243, '\n': -4.1466765, ' No': -4.4166336, 'Yes': -4.768247}
{' No': -0.18876275, ' Yes': -1.9732152, 'No': -4.2357464, '\n': -4.3140774, ' Hospital': -5.96249}
{' Yes': -0.66116744, ' Sur': -1.0253338, '\n': -2.8397715, ' No': -3.0657065, 'Yes': -4.3627553}
{'Pat': -2.7219322, ' No': -2.183627, '\n': -2.0991046, ' Yes': -0.93862224, ' Patient': -1.2532146}
{' No': -6.362483, '\n': -4.219911, ' Yes': -0.053209268, ' The': -7.5994315, 'Yes': -3.3760183}
{' Yes': -0.04868921, 'Yes': -3.5879881, '\n': -4.04928, ' No': -7.093273, ' The': -7.1925044}
{' No': -3.0027604, '\n': -3.0328197, 'No': -5.7202797, ' Yes': -0.13595994, 'Yes': -3.7944853}
{' No': -6.4454236, '\n': -2.4407394, ' ': -7.1947865, ' Yes': -0.13979428, 'Yes': -3.2243276}
{' No': -0.19812374, '\n': -2.5027406, 'No': -2.846008, ' Yes': -3.5955539, ' The': -5.666103}
{' No': -0.046630844, ' Yes': -3.9321058, 'No': -4.147138, '\n': -4.649372, 'Yes': -8.050547}
{' No': -0.44168192, '\n': -4.333085, 'No': -4.365102, ' Yes': -1.121833, 'Yes': -5.314208}
{' No': -0.04509882, '\n': -4.243779, ' ': -8.186162, 'No': -3.9509501, ' Yes': -4.612537}
{' No': -0.25571093, '\n': -3.2223742, 'No': -4.2725735, ' Yes': -1.789143, 'Yes': -5.8193893}
{' No': -0.037812073, ' Not': -8.426528, '\n': -5.6418805, 'No': -3.5411916, ' Yes': -5.519295}
{' No': -1.034482, '\n': -3.1339176, 'No': -4.150672, ' Yes': -0.57433814, 'Yes': -3.890914}
{' No': -0.14615709, '\n': -3.9214387, 'No': -4.2610784, ' Yes': -2.301072, 'Yes': -6.4898057}
{' No': -7.151771, '\n': -6.108077, ' Yes': -0.011483514, ' yes': -8.705435, 'Yes': -4.8111563}
{' No': -0.13266736, ' Yes': -2.3604314, '\n': -4.1221957, 'No': -4.4822364, ' Hospital': -7.1657352}
{' Yes': -0.28510264, ' No': -2.0918405, '\n': -2.5376413, ' Sur': -3.5849128, 'Yes': -4.342666}
{' No': -0.035012886, ' Not': -8.094401, '\n': -5.531795, 'No': -3.6124074, ' Yes': -5.9246264}
{' No': -0.14903715, '\n': -3.6140447, 'No': -4.061745, ' Yes': -2.4348094, 'Yes': -6.1649194}
{' No': -0.029892685, '\n': -4.8420014, ' ': -8.759987, 'No': -3.9063668, ' Yes': -6.694243}
{' Yes': -0.5006731, ' No': -1.0272615, '\n': -4.3163548, 'Yes': -4.4176807, 'No': -4.619287}
{' No': -0.031952474, '\n': -5.4892583, ' ': -8.728106, 'No': -3.7174363, ' Yes': -5.917574}
{' No': -0.061203003, '\n': -3.718557, 'No': -3.7477221, ' Yes': -4.6027565, ' Sur': -7.237247}
{' No': -0.059149675, '\n': -5.12527, 'No': -3.1803102, ' Yes': -4.74405, 'Yes': -8.018447}
{' No': -1.1664711, '\n': -3.3287404, 'No': -4.451175, ' Yes': -0.4886375, 'Yes': -3.7808888}
{' No': -0.5703117, '\n': -3.61201, 'No': -5.2639627, ' Yes': -0.9229405, 'Yes': -5.5348387}
{' No': -7.033081, '\n': -5.2769074, ' Yes': -0.014136071, ' yes': -8.356066, 'Yes': -4.8922296}
{' No': -0.1334979, ' Yes': -2.5884883, '\n': -3.4953964, 'No': -4.181447, ' Hospital': -6.1739845}
{' No': -1.2394408, '\n': -1.7566528, ' Yes': -1.0478705, ' Sur': -1.7891806, 'Yes': -4.860904}
{' No': -0.03274282, 'No': -3.8074203, '\n': -5.0614023, ' Yes': -5.856768, ' ': -8.290111}
{' Yes': -0.7702302, ' No': -1.4737786, '\n': -1.9049594, ' Patient': -2.2995594, 'Pat': -3.9869297}
{' Yes': -0.762671, ' No': -0.9008011, '\n': -2.4251504, 'No': -3.9116, 'Yes': -4.0756803}
{' No': -5.5363655, '\n': -3.662468, ' ': -7.721863, ' Yes': -0.060083747, 'Yes': -3.5904772}
{' No': -0.29561046, '\n': -2.1595552, ' Yes': -2.4077473, 'No': -3.0990198, 'Yes': -5.7767982}
{' Yes': -0.29408216, '\n': -2.1176922, ' No': -2.315818, 'Yes': -3.5423558, 'No': -5.3404784}
{' No': -0.116716035, 'No': -2.8253913, '\n': -3.2138495, ' Yes': -4.787082, ' ': -7.2236476}
{' No': -0.47707385, ' Yes': -1.3960038, '\n': -2.5551987, 'No': -3.272583, 'Yes': -4.3565865}
{' No': -5.108221, '\n': -3.3204956, ' ': -7.1950507, ' Yes': -0.08850107, 'Yes': -3.2036533}
{' No': -7.892782, '\n': -3.7776835, ' ': -7.6402225, ' Yes': -0.07134477, 'Yes': -3.10895}
{' No': -2.6492083, '\n': -2.1249778, 'No': -4.8141065, ' Yes': -0.2705484, 'Yes': -3.3681514}
{' No': -7.1186204, '\n': -2.866504, ' ': -6.932584, ' Yes': -0.11580578, 'Yes': -2.9923275}
{' No': -0.75895584, ' Yes': -1.4455173, '\n': -1.5851544, 'No': -2.8124588, 'Yes': -4.2026906}
{' Yes': -0.14079727, '\n': -2.9812589, 'Yes': -3.0725312, ' No': -3.5471234, 'No': -5.796175}
{' No': -4.629367, '\n': -3.6950138, 'No': -7.4304276, ' Yes': -0.06461598, 'Yes': -3.640946}
{' Yes': -0.3116236, ' No': -1.9345424, '\n': -2.3712091, 'Yes': -4.2248755, 'No': -4.795043}
{' No': -1.0870696, '\n': -1.6568613, 'No': -3.9642382, ' Yes': -0.8344241, 'Yes': -4.148118}
{' No': -0.115017004, '\n': -2.8803215, 'No': -3.227211, ' Yes': -4.6496887, ' Not': -6.841612}
{' No': -1.9802992, '\n': -2.7644598, 'No': -4.821148, ' Yes': -0.27261776, 'Yes': -3.7580836}
{' No': -3.082016, '\n': -2.0562556, 'No': -5.5397606, ' Yes': -0.24292785, 'Yes': -3.3551238}
{' No': -1.472206, '\n': -1.5808735, 'No': -4.176595, ' Yes': -0.6397551, 'Yes': -4.2612514}
{' Yes': -0.113302715, '\n': -2.5515332, 'Yes': -3.7491765, ' Sur': -5.893099, ' ': -6.617354}
{' No': -0.19930731, '\n': -2.1992826, 'No': -3.0724914, ' Yes': -4.3217306, ' Unfortunately': -5.2526727}
{' No': -0.7252538, '\n': -1.8513944, 'No': -3.4511125, ' Yes': -1.1936244, 'Yes': -4.39801}
{' Yes': -0.016497439, 'Yes': -4.3298, '\n': -5.8713555, ' ': -8.783747, ' yes': -9.456518}
{' Yes': -0.01695662, 'Yes': -4.1952367, '\n': -6.602417, ' yes': -8.246052, ' ': -9.704033}
{' Yes': -0.030946277, 'Yes': -4.3376765, ' Sur': -4.590856, '\n': -5.095533, ' ': -7.559052}
{' No': -0.06846319, ' Yes': -3.6755948, 'No': -3.8874402, '\n': -3.9952018, ' ': -7.3143125}
{' Yes': -0.017932167, 'Yes': -4.30177, '\n': -5.7562985, ' yes': -8.20379, ' Patient': -8.334382}
{' No': -0.032743126, 'No': -4.2244754, '\n': -4.566101, ' Yes': -5.0048957, ' ': -8.1814375}
{' No': -4.915703, '\n': -4.3735423, ' Yes': -0.03159144, ' yes': -7.96826, 'Yes': -4.6120586}
{' No': -0.11014537, '\n': -3.3169935, ' ': -7.239612, 'No': -3.8625886, ' Yes': -3.1083064}
{' No': -0.22955783, ' Yes': -2.257535, '\n': -2.795228, 'No': -3.3708158, 'Yes': -5.7816854}
{' Yes': -0.088556886, ' No': -2.9237008, 'Yes': -4.226208, '\n': -4.2758374, 'No': -6.5951676}
{' No': -0.22320232, '\n': -3.6405778, 'No': -4.356402, ' Yes': -1.8526636, 'Yes': -5.833634}
{' Yes': -0.08758415, ' No': -2.7460258, '\n': -4.7177873, 'Yes': -4.728934, 'No': -6.960221}
{' No': -0.058818623, '\n': -4.603023, ' ': -7.7125297, 'No': -4.148792, ' Yes': -3.5045164}
{' No': -2.6090744, '\n': -2.8167503, ' Yes': -0.206372, ' Sur': -3.3900952, 'Yes': -4.241865}
{' No': -1.7496601, '\n': -3.37709, 'No': -5.417415, ' Yes': -0.2681651, 'Yes': -4.108438}
{' Yes': -0.047825895, 'Yes': -3.4310577, '\n': -4.3413286, ' No': -7.840363, ' The': -7.9184675}
{' Yes': -0.06314678, '\n': -3.529724, 'Yes': -3.5890863, ' No': -6.1742363, ' The': -6.919147}
{' Yes': -0.49318656, '\n': -1.7438141, ' No': -1.7571943, 'Yes': -3.9652724, 'No': -4.3066726}
{' Yes': -0.14338411, '\n': -2.317262, 'Yes': -3.500142, ' No': -6.2634177, ' ': -6.9400606}
{' No': -0.3296137, '\n': -1.7841252, 'No': -2.6654139, ' Yes': -3.6684847, ' Unfortunately': -5.1491976}
{' No': -0.05314854, '\n': -4.5450478, 'No': -4.2198772, ' Yes': -3.6638014, 'Yes': -7.7508426}
{' No': -0.13492447, ' Yes': -2.189583, 'No': -4.6172447, '\n': -5.803047, 'Yes': -6.8818893}
{' No': -0.038374916, 'No': -3.8596199, '\n': -4.7081895, ' Yes': -4.971677, ' ': -8.179519}
{' No': -0.547252, '\n': -2.7157662, 'No': -4.219615, ' Yes': -1.1255219, ' Sur': -4.8857145}
{' No': -0.039993804, ' Not': -8.892567, '\n': -5.6273212, 'No': -3.3949435, ' Yes': -6.405166}
{' No': -0.53183067, ' Yes': -1.0141189, '\n': -3.893313, 'No': -4.046723, 'Yes': -4.5958943}
{' No': -0.7921201, '\n': -3.5276797, 'No': -5.069521, ' Yes': -0.68535054, 'Yes': -4.994898}
{' Yes': -0.014144654, 'Yes': -4.6608195, '\n': -5.8813868, ' Doctor': -6.699987, ' yes': -8.267285}
{' No': -0.28380972, ' Yes': -1.5259362, '\n': -4.340557, 'No': -4.488222, ' Hospital': -5.90089}
{' Yes': -0.21705562, '\n': -2.691486, ' Sur': -2.8878472, ' No': -2.9291353, 'Yes': -4.228463}
{' No': -0.026985759, 'No': -3.8366706, '\n': -5.6710877, ' Yes': -6.7763333, ' Not': -8.575439}
{' No': -0.31338516, ' Yes': -1.6066284, '\n': -3.3879356, 'No': -4.1583824, ' Patient': -4.9752707}
{' No': -0.027419642, '\n': -5.076095, ' ': -8.492543, 'No': -3.9048781, ' Yes': -7.775435}
{' No': -0.13857725, ' Yes': -2.2835207, 'No': -4.0291085, '\n': -4.9125485, 'Yes': -6.3545938}
{' No': -0.021265093, '\n': -5.597563, ' ': -8.752276, 'No': -4.0889277, ' Yes': -7.9937954}
{' No': -0.034843083, 'No': -3.9908843, '\n': -4.269771, ' Yes': -6.909612, ' Sur': -7.7426786}
{' No': -0.036988802, '\n': -5.83381, ' ': -8.742835, 'No': -3.4314244, ' Yes': -7.3371634}
{' No': -0.13825853, '\n': -3.2112794, 'No': -3.6339612, ' Yes': -2.8710122, 'Yes': -6.135035}
{' No': -0.8808123, '\n': -3.423632, 'No': -5.4008985, ' Yes': -0.6137681, 'Yes': -5.1946087}
{' No': -6.4705067, '\n': -5.668865, ' Yes': -0.013069339, ' yes': -8.370665, 'Yes': -4.9262047}
{' No': -0.09928756, '\n': -3.8321154, 'No': -4.383454, ' Yes': -2.8727782, ' Hospital': -6.1826057}
{' Yes': -1.1589189, ' No': -1.2359873, ' Sur': -1.3818555, '\n': -2.0644574, 'Yes': -5.088574}
{' No': -0.036823057, 'No': -3.7430303, '\n': -4.632234, ' Yes': -6.2483006, ' ': -8.074522}
{'Pat': -3.9806054, ' No': -0.9690397, '\n': -2.0395887, ' Yes': -1.0812794, ' Patient': -2.461853}
{' No': -0.8273885, '\n': -2.2995164, 'No': -3.8524358, ' Yes': -0.85743695, 'Yes': -4.2178016}
{' Yes': -0.066908255, 'Yes': -3.5623534, '\n': -3.7974055, ' No': -4.4100957, ' ': -7.41868}
{' No': -0.24693996, ' Yes': -2.469068, '\n': -2.568332, 'No': -2.9611769, 'Yes': -5.73808}
{' Yes': -0.18816209, '\n': -2.4612598, ' No': -3.065697, 'Yes': -3.3463137, 'No': -5.95063}
{' No': -0.10968432, '\n': -3.213219, ' ': -7.029072, 'No': -2.8467848, ' Yes': -5.619938}
{' No': -0.317769, '\n': -2.523017, 'No': -2.9695234, ' Yes': -2.04556, 'Yes': -4.8481855}
{' Yes': -0.13628927, '\n': -2.7043128, 'Yes': -2.9519823, ' No': -5.229366, ' ': -6.5076823}
{' No': -5.9754205, '\n': -3.0328376, ' ': -6.954584, ' Yes': -0.12057742, 'Yes': -2.7991204}
{' No': -1.6842885, '\n': -1.3584255, 'No': -3.543221, ' Yes': -0.71340597, 'Yes': -3.4439776}
{' No': -6.533377, '\n': -1.9816766, ' ': -6.25152, ' Yes': -0.23502582, 'Yes': -2.6963334}
{' No': -0.74281394, '\n': -1.2089509, ' Yes': -2.0054748, 'No': -2.6709392, 'Yes': -4.556496}
{' No': -2.8646297, '\n': -2.5496755, 'No': -4.897314, ' Yes': -0.22517803, 'Yes': -2.8846836}
{' No': -5.432438, '\n': -3.5211678, ' Yes': -0.078550406, ' yes': -7.6362643, 'Yes': -3.2172928}
{' No': -1.792585, '\n': -2.1846175, 'No': -4.4351687, ' Yes': -0.38224763, 'Yes': -4.0184054}
{' Yes': -0.37207597, '\n': -1.6681403, ' No': -2.487728, 'Yes': -3.5933986, 'No': -5.2249236}
{' No': -0.16968082, '\n': -2.3383458, ' ': -6.701656, 'No': -3.048053, ' Yes': -4.6740522}
{' Yes': -0.448116, ' No': -1.6377217, '\n': -2.134258, 'Yes': -3.6701655, 'No': -4.336227}
{' Yes': -0.22266553, '\n': -2.0816324, 'Yes': -3.053457, ' No': -3.7893713, 'No': -6.0620956}
{' No': -0.99139667, '\n': -1.7091565, 'No': -3.4976013, ' Yes': -0.9336631, 'Yes': -4.196997}
{'\n': -2.2322614, ' ': -6.575088, ' Yes': -0.15143941, ' Sur': -6.0723734, 'Yes': -3.597547}
{' No': -0.36934274, '\n': -1.4763297, 'No': -2.9644468, ' Yes': -3.8899019, ' ': -6.185207}
{' No': -1.0086517, ' Yes': -1.0801792, '\n': -1.4754581, 'No': -3.378502, 'Yes': -3.9387205}
{'\n': -6.289466, ' ': -8.887967, ' Yes': -0.014854026, ' yes': -9.255502, 'Yes': -4.382314}
{' Yes': -0.016695486, 'Yes': -4.2412705, '\n': -6.4713135, ' yes': -7.8927937, ' ': -9.122196}
{'\n': -5.4000163, ' ': -7.629859, ' Yes': -0.052692417, ' Sur': -3.353138, 'Yes': -4.5477886}
{' No': -0.06805592, 'No': -3.7419984, ' Yes': -3.8878055, '\n': -3.9377913, ' ': -6.9907985}
{' No': -7.1131635, '\n': -5.2046766, ' Yes': -0.027266745, ' Patient': -4.785903, 'Yes': -4.5350065}
{' No': -0.047743745, '\n': -4.056586, 'No': -4.2139783, ' Yes': -4.2976694, ' ': -7.5964246}
{' No': -4.1238422, '\n': -4.052128, ' Yes': -0.04771792, 'Yes': -4.5287547, ' Doctor': -7.3005404}
{' No': -0.45908213, '\n': -1.6038823, ' Yes': -2.1965053, ' Hospital': -3.5233178, 'No': -3.9497073}
{' No': -0.11899005, '\n': -2.9561975, ' Yes': -3.416872, 'No': -3.7139797, ' ': -6.6881714}
{' Yes': -0.41334653, ' No': -2.065938, '\n': -2.2350094, ' Patient': -2.5328248, 'Yes': -4.2772856}
{' No': -0.4752346, '\n': -2.8383253, 'No': -4.051381, ' Yes': -1.2303004, 'Yes': -4.822906}
{' Yes': -0.08673637, ' No': -2.8557904, '\n': -4.5757556, 'Yes': -4.629085, ' Doctor': -5.655175}
{' No': -0.06654149, '\n': -4.853481, 'No': -4.2693095, ' Yes': -3.196302, ' Hospital': -7.5285163}
{' Yes': -0.323594, ' Sur': -1.8066721, '\n': -2.7424705, ' No': -3.6016586, 'Yes': -4.2064695}
{' No': -1.9317837, '\n': -3.0762043, ' Yes': -0.26208878, ' Patient': -4.2818375, 'Yes': -4.1058846}
{' No': -7.2218785, '\n': -3.9523222, ' Yes': -0.053051684, ' The': -7.492127, 'Yes': -3.4946558}
{' No': -6.7678165, '\n': -2.9571168, ' Yes': -0.09803575, ' The': -6.5573673, 'Yes': -3.295345}
{' Yes': -0.30637392, '\n': -1.9890252, ' No': -2.4646173, 'Yes': -3.5997868, 'No': -4.9052796}
{' Yes': -0.11515269, '\n': -2.655142, 'Yes': -3.3759422, ' No': -6.5252404, ' The': -6.951818}
{' No': -0.110524744, 'No': -2.8663023, '\n': -3.4357562, ' Yes': -4.6858153, ' Unfortunately': -5.963947}
{' No': -0.0597091, ' Yes': -3.4327347, 'No': -4.3012137, '\n': -4.4881487, 'Yes': -7.5633707}
{' No': -0.15505105, '\n': -4.9955487, 'No': -4.293925, ' Yes': -2.1089504, 'Yes': -6.4555097}
{' No': -0.03896783, 'No': -3.8476627, '\n': -4.458785, ' Yes': -5.3678255, ' ': -8.102722}
{' No': -0.12210412, ' Yes': -2.881944, '\n': -3.3605742, 'No': -3.8247845, 'Yes': -6.634935}
{' No': -0.0314066, 'No': -3.61747, '\n': -5.893959, ' Yes': -6.880621, ' Not': -9.141962}
{' No': -0.34533983, '\n': -3.715022, 'No': -3.6970568, ' Yes': -1.4509668, 'Yes': -4.9159174}
{' No': -0.20481703, ' Yes': -1.97736, '\n': -3.422371, 'No': -4.466793, 'Yes': -6.220381}
{' Yes': -0.013170133, 'Yes': -4.873831, '\n': -5.7099833, ' No': -6.402803, ' yes': -8.455507}
{' No': -0.08583906, ' Yes': -3.1752152, '\n': -3.8414502, 'No': -4.294289, ' Hospital': -5.538607}
{' Yes': -0.43885309, '\n': -2.1185865, ' Sur': -2.2217224, ' No': -2.2251458, 'Yes': -4.395186}
{' No': -0.029895019, ' Not': -8.477971, '\n': -5.5881205, 'No': -3.707318, ' Yes': -7.265893}
{' No': -0.22270724, '\n': -2.784263, 'No': -3.9869742, ' Yes': -2.341062, ' Patient': -4.621988}
{' No': -0.026892073, '\n': -4.897194, ' ': -8.533577, 'No': -3.9878008, ' Yes': -8.114107}
{' No': -0.31892583, ' Yes': -1.3857689, 'No': -4.253916, '\n': -5.4365864, 'Yes': -5.500448}
{' No': -0.02029158, '\n': -5.879876, ' ': -9.066555, 'No': -4.0979056, ' Yes': -7.6131983}
{' No': -0.040012605, '\n': -4.2366905, ' ': -8.410259, 'No': -3.7612517, ' Yes': -6.935433}
{' No': -0.038017236, '\n': -5.522033, ' ': -8.769094, 'No': -3.4282875, ' Yes': -7.625017}
{' No': -0.22371514, '\n': -3.6124077, 'No': -3.5071697, ' Yes': -1.9987816, 'Yes': -5.1876087}
{' No': -0.43721873, ' Yes': -1.1789658, '\n': -3.376416, 'No': -4.8967905, 'Yes': -5.6416955}
{' Yes': -0.015556936, 'Yes': -4.6920857, '\n': -5.3842587, ' No': -6.8749433, ' yes': -8.09281}
{' No': -0.08376115, '\n': -3.6645143, ' ': -7.2270484, 'No': -3.9560773, ' Yes': -3.395107}
{' No': -1.0357966, ' Sur': -1.2866111, ' Yes': -1.628366, '\n': -1.8645777, 'No': -4.907493}
{' No': -0.033549268, '\n': -4.642817, ' ': -8.076151, 'No': -3.8592348, ' Yes': -6.4837537}
{' Yes': -0.7288948, ' Patient': -1.7288795, '\n': -2.026464, ' No': -2.1459482, 'Pat': -3.3328166}
{' No': -0.3557467, '\n': -2.6416142, 'No': -3.5471318, ' Yes': -1.6500659, 'Yes': -5.174447}
{' Yes': -0.0752781, ' No': -3.6247182, 'Yes': -3.6933947, '\n': -3.9727428, 'No': -6.748762}
{' No': -0.2102874, '\n': -2.9749453, 'No': -3.204056, ' Yes': -2.3695242, 'Yes': -5.9448924}
{' No': -1.4884768, '\n': -2.1111898, 'No': -4.472926, ' Yes': -0.4859571, 'Yes': -3.7192392}
{' No': -0.09258519, 'No': -2.9056535, '\n': -3.5092301, ' Yes': -6.093661, ' ': -7.4742584}
{' No': -0.17468627, ' Yes': -2.9366128, 'No': -2.9400458, '\n': -3.0181236, 'Yes': -5.8255706}
{' No': -4.0794835, '\n': -2.75483, 'No': -6.1932487, ' Yes': -0.13420352, 'Yes': -3.191422}
{' No': -7.4170747, '\n': -3.699923, ' ': -7.572769, ' Yes': -0.07460285, 'Yes': -3.0902026}
{' Yes': -0.5852579, '\n': -1.5666536, ' No': -1.7347443, 'Yes': -3.537345, 'No': -3.7676346}
{' Yes': -0.1414389, '\n': -2.583585, 'Yes': -2.9481785, ' No': -6.2345424, ' ': -6.6541033}
{' No': -0.62900364, '\n': -1.2010614, 'No': -2.7741451, ' Yes': -2.4893513, ' Unfortunately': -5.022768}
{' Yes': -0.24150793, '\n': -2.4181702, ' No': -2.7851841, 'Yes': -2.9505706, 'No': -4.8461637}
{' No': -4.9782357, '\n': -3.316416, 'No': -7.381197, ' Yes': -0.08727315, 'Yes': -3.258505}
