{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' number': -6.81826, ' #': -6.2186966, ' 1': -0.019949125, ' 2': -5.8655014, ' one': -4.3123035}
{' #': -5.410744, ' 1': -0.49999872, ' 2': -1.0431012, ' one': -4.545548, ' two': -3.7811208}
{' 1': -0.26689208, ' 2': -1.5921141, ' one': -4.4079995, ' two': -4.4458146, ' #': -5.4782834}
{' #': -5.4728813, ' 1': -0.24189381, ' 2': -1.6895924, ' one': -4.384571, ' two': -4.520466}
{' #': -5.6164737, ' 1': -0.12306249, ' 2': -2.3995192, ' one': -4.2805066, ' two': -5.2596345}
{' #': -5.431286, ' 1': -0.2276604, ' 2': -1.760772, ' one': -4.2856708, ' two': -4.5457187}
{' 1': -0.23370048, ' 2': -1.7219781, ' one': -4.4313645, ' two': -4.5791497, ' #': -5.4017034}
{' #': -5.41244, ' 1': -0.1655089, ' 2': -2.0750568, ' one': -4.348023, ' two': -4.9831834}
{' #': -5.39039, ' 1': -0.23384205, ' 2': -1.7175341, ' one': -4.4418807, ' two': -4.623084}
{' #': -5.295859, ' 1': -0.19137909, ' 2': -1.9333777, ' one': -4.3218303, ' two': -4.7920413}
{' #': -5.4393215, ' 1': -0.11629332, ' 2': -2.4781058, ' one': -4.2357216, ' two': -5.3893476}
{' #': -5.4816923, ' 1': -0.19251376, ' 2': -1.9103863, ' one': -4.43003, ' two': -4.801631}
{' #': -5.3443394, ' 1': -0.16255215, ' 2': -2.1086848, ' one': -4.255799, ' two': -4.986618}
{' 1': -0.0971243, ' 2': -2.7171268, ' one': -4.143875, ' #': -5.496498, ' two': -5.525976}
{' #': -5.5298753, ' 1': -0.110194005, ' 2': -2.5370777, ' one': -4.237799, ' two': -5.420546}
{' #': -5.3063087, ' 1': -0.31915304, ' 2': -1.439852, ' one': -4.345967, ' two': -4.189802}
{' #': -5.7206073, ' 1': -0.1071453, ' 2': -2.5471363, ' one': -4.3525558, ' two': -5.364076}
{' 1': -0.094540335, ' 2': -2.7095056, ' one': -4.267916, ' two': -5.6053905, ' #': -5.6154146}
{' #': -5.754847, ' 1': -0.06150531, ' 2': -3.3099658, ' one': -4.15692, ' two': -6.1112223}
{' #': -5.3103385, ' 1': -0.18301575, ' 2': -1.9875696, ' one': -4.2543826, ' two': -4.8171763}
{' #': -5.515311, ' 1': -0.10273354, ' 2': -2.6279676, ' one': -4.200361, ' two': -5.506311}
{' #': -5.5607057, ' 1': -0.11095255, ' 2': -2.548205, ' one': -4.1549854, ' two': -5.3580856}
{' #': -5.6968226, ' 1': -0.06423019, ' 2': -3.2851982, ' one': -4.080559, ' two': -6.0718975}
{' #': -5.551884, ' 1': -0.07794877, ' 2': -2.9897108, ' one': -4.168065, ' two': -5.845626}
{' #': -5.694158, ' 1': -0.057102606, ' 2': -3.4322991, ' one': -4.1495743, ' two': -6.2266817}
{' #': -5.4436526, ' 1': -0.1506821, ' 2': -2.205797, ' one': -4.1374564, ' two': -5.006536}
{' 1': -0.044772632, ' 2': -3.7583709, ' one': -4.235282, ' #': -5.9737334, ' number': -6.352456}
{' number': -6.359216, ' #': -5.8032026, ' 1': -0.04403119, ' 2': -3.8399277, ' one': -4.1765647}
{' number': -6.3507156, ' #': -5.740406, ' 1': -0.044418953, ' 2': -3.8307195, ' one': -4.182772}
{' #': -5.507218, ' 1': -0.076378725, ' 2': -3.019444, ' one': -4.1717095, ' two': -5.893316}
{' 1': -0.036966786, ' one': -4.097767, ' 2': -4.3020425, ' #': -5.724695, ' number': -6.3409023}
{' 1': -0.057141982, ' 2': -3.3911319, ' one': -4.252418, ' #': -5.652522, ' number': -6.239985}
{' number': -6.3982763, ' #': -5.7927136, ' 1': -0.050481092, ' 2': -3.5685303, ' one': -4.234678}
{' number': -6.410948, ' #': -5.8023214, ' 1': -0.039072197, ' 2': -3.9581873, ' one': -4.3184032}
{' number': -6.502055, ' #': -5.9637017, ' 1': -0.039294112, ' 2': -3.9917915, ' one': -4.222836}
{' 1': -0.09695248, ' 2': -2.650875, ' one': -4.38521, ' two': -5.5969644, ' #': -5.655695}
{' number': -6.432715, ' #': -6.032011, ' 1': -0.028635925, ' 2': -4.7798905, ' one': -4.1983514}
{' #': -5.526256, ' 1': -0.7093595, ' 2': -0.7819628, ' one': -4.7657995, ' two': -3.352601}
{' #': -5.675884, ' 1': -0.18843709, ' 2': -1.9371973, ' one': -4.364804, ' two': -4.6842637}
{' #': -5.6182046, ' 1': -0.16065717, ' 2': -2.1177037, ' one': -4.2626104, ' two': -4.8252745}
{' #': -5.8364277, ' 1': -0.08584789, ' 2': -2.8073404, ' one': -4.313162, ' two': -5.604112}
{' #': -5.5932703, ' 1': -0.18652011, ' 2': -1.963732, ' one': -4.2766876, ' two': -4.630322}
{' #': -5.6170387, ' 1': -0.14936355, ' 2': -2.181388, ' one': -4.386155, ' two': -4.9296923}
{' #': -5.6184316, ' 1': -0.106592186, ' 2': -2.5564363, ' one': -4.3359337, ' two': -5.3781867}
{' #': -5.665131, ' 1': -0.150305, ' 2': -2.1683865, ' one': -4.379608, ' two': -4.966154}
{' #': -5.5014496, ' 1': -0.14372079, ' 2': -2.2313864, ' one': -4.3295193, ' two': -4.993328}
{' 1': -0.085826, ' 2': -2.8308935, ' one': -4.257718, ' #': -5.645527, ' two': -5.6522727}
{' #': -5.662199, ' 1': -0.11708316, ' 2': -2.4569135, ' one': -4.3212667, ' two': -5.1877637}
{' #': -5.57601, ' 1': -0.10160978, ' 2': -2.6329226, ' one': -4.2459884, ' two': -5.4424167}
{' 1': -0.07166443, ' 2': -3.0886128, ' one': -4.2072673, ' #': -5.5985265, ' two': -5.8573294}
{' #': -5.785312, ' 1': -0.07317741, ' 2': -3.03533, ' one': -4.2245593, ' two': -5.843439}
{' #': -5.454085, ' 1': -0.21422362, ' 2': -1.8379018, ' one': -4.195337, ' two': -4.4608703}
{' #': -5.764881, ' 1': -0.09042748, ' 2': -2.7516785, ' one': -4.342985, ' two': -5.468487}
{' 1': -0.06637326, ' 2': -3.1717176, ' one': -4.218507, ' #': -5.780714, ' two': -5.957554}
{' number': -6.481524, ' #': -5.971625, ' 1': -0.042236976, ' 2': -3.9219022, ' one': -4.1440873}
{' #': -5.525962, ' 1': -0.14204495, ' 2': -2.2608957, ' one': -4.2069654, ' two': -4.982682}
{' #': -5.7467704, ' 1': -0.058630764, ' 2': -3.3740108, ' one': -4.1722093, ' two': -6.119427}
{' #': -5.76882, ' 1': -0.07267138, ' 2': -3.063541, ' one': -4.2019267, ' two': -5.7541366}
{' number': -6.4340787, ' #': -5.918857, ' 1': -0.0419796, ' 2': -3.958512, ' one': -4.1242146}
{' #': -5.775067, ' 1': -0.0603664, ' 2': -3.3352609, ' one': -4.166741, ' two': -6.0659704}
{' number': -6.478156, ' #': -5.879046, ' 1': -0.04400516, ' 2': -3.8340611, ' one': -4.1740174}
{' #': -5.716141, ' 1': -0.099635184, ' 2': -2.669839, ' one': -4.158242, ' two': -5.4026604}
{' number': -6.502225, ' #': -6.0754156, ' 1': -0.03224119, ' 2': -4.3427863, ' one': -4.286124}
{' 1': -0.034485985, ' 2': -4.2248487, ' one': -4.251195, ' #': -5.9942594, ' number': -6.5794454}
{' number': -6.521269, ' #': -5.9381113, ' 1': -0.03493332, ' 2': -4.305197, ' one': -4.1635075}
{' 1': -0.05413975, ' 2': -3.4903786, ' one': -4.209026, ' #': -5.6963143, ' two': -6.245988}
{' number': -6.5837445, ' #': -5.955724, ' 1': -0.030948924, ' 2': -4.5241547, ' one': -4.219713}
{' number': -6.4200563, ' #': -5.855765, ' 1': -0.042992707, ' 2': -3.8352458, ' one': -4.246295}
{' 1': -0.04164063, ' 2': -3.8951998, ' one': -4.210216, ' #': -5.9763527, ' number': -6.5122247}
{' number': -6.512672, ' #': -5.9926224, ' 1': -0.033283703, ' 2': -4.366764, ' one': -4.2007546}
{' number': -6.669879, ' #': -6.0996227, ' 1': -0.029416483, ' 2': -4.5513678, ' one': -4.2702174}
{' #': -5.897697, ' 1': -0.0637688, ' 2': -3.2099917, ' one': -4.25169, ' two': -5.9645343}
{' number': -6.6116896, ' #': -6.2194195, ' 1': -0.025228582, ' 2': -5.0698624, ' one': -4.22896}
{' 1': -0.42949602, ' 2': -1.1652348, ' two': -3.964702, ' one': -4.6023364, ' #': -5.198825}
{' #': -5.2235923, ' 1': -0.24743441, ' 2': -1.6625936, ' one': -4.486284, ' two': -4.567699}
{' 1': -0.20621608, ' 2': -1.839082, ' one': -4.485408, ' two': -4.730441, ' #': -5.2950277}
{' #': -5.399403, ' 1': -0.11677029, ' 2': -2.4453757, ' one': -4.403902, ' two': -5.3419}
{' #': -5.1860027, ' 1': -0.21828125, ' 2': -1.8005011, ' one': -4.379545, ' two': -4.583571}
{' 1': -0.2232211, ' 2': -1.7678722, ' one': -4.4782047, ' two': -4.640354, ' #': -5.160324}
{' 1': -0.1672604, ' 2': -2.0545187, ' one': -4.457799, ' two': -4.992425, ' #': -5.2580256}
{' #': -5.2485137, ' 1': -0.20470402, ' 2': -1.8447223, ' one': -4.499479, ' two': -4.7793193}
{' #': -5.019909, ' 1': -0.23386383, ' 2': -1.7420309, ' one': -4.326044, ' two': -4.534216}
{' #': -5.3283324, ' 1': -0.10514788, ' 2': -2.583427, ' one': -4.3221374, ' two': -5.4927974}
{' 1': -0.1912823, ' 2': -1.9209251, ' one': -4.4608536, ' two': -4.7998104, ' #': -5.234398}
{' #': -5.1534915, ' 1': -0.13257004, ' 2': -2.338184, ' one': -4.2732005, ' two': -5.2045035}
{' #': -5.3492236, ' 1': -0.0903182, ' 2': -2.7735074, ' one': -4.298845, ' two': -5.6378655}
{' #': -5.339275, ' 1': -0.09951738, ' 2': -2.6441417, ' one': -4.340709, ' two': -5.551187}
{' #': -5.0117497, ' 1': -0.28394786, ' 2': -1.5578183, ' one': -4.324206, ' two': -4.285918}
{' #': -5.363474, ' 1': -0.09961286, ' 2': -2.6265502, ' one': -4.484233, ' two': -5.438066}
{' #': -5.3546553, ' 1': -0.08404286, ' 2': -2.849391, ' one': -4.3455176, ' two': -5.7869635}
{' #': -5.534308, ' 1': -0.053661976, ' 2': -3.491455, ' one': -4.2471433, ' two': -6.3146763}
{' #': -5.0865793, ' 1': -0.18112479, ' 2': -2.001439, ' one': -4.2944174, ' two': -4.8184576}
{' #': -5.388242, ' 1': -0.09142427, ' 2': -2.7669995, ' one': -4.2437735, ' two': -5.6267138}
{' #': -5.3876004, ' 1': -0.09775979, ' 2': -2.6747613, ' one': -4.302832, ' two': -5.5233674}
{' number': -6.3826704, ' #': -5.5263486, ' 1': -0.05109478, ' 2': -3.628691, ' one': -4.152533}
{' #': -5.3841677, ' 1': -0.07291113, ' 2': -3.0876033, ' one': -4.1782346, ' two': -5.8927407}
{' #': -5.5137787, ' 1': -0.059377607, ' 2': -3.3347032, ' one': -4.2620773, ' two': -6.160403}
{' #': -5.2465796, ' 1': -0.15736337, ' 2': -2.1386597, ' one': -4.3138022, ' two': -4.995727}
{' number': -6.48571, ' #': -5.6849985, ' 1': -0.039090976, ' 2': -3.8814979, ' one': -4.4705863}
{' number': -6.533527, ' #': -5.6278415, ' 1': -0.04256663, ' 2': -3.8735774, ' one': -4.2389126}
{' number': -6.518979, ' #': -5.5971646, ' 1': -0.039525125, ' 2': -4.077117, ' one': -4.177966}
{' #': -5.320575, ' 1': -0.07613505, ' 2': -3.020099, ' one': -4.2232885, ' two': -5.869462}
{' number': -6.550055, ' #': -5.6062055, ' 1': -0.035048563, ' 2': -4.318042, ' one': -4.2015085}
{' number': -6.457043, ' #': -5.5435147, ' 1': -0.047907367, ' 2': -3.5984387, ' one': -4.400482}
{' number': -6.540304, ' #': -5.602291, ' 1': -0.044489678, ' 2': -3.7377, ' one': -4.3391733}
{' number': -6.569837, ' #': -5.628232, ' 1': -0.036149587, ' 2': -4.109613, ' one': -4.342544}
{' number': -6.60875, ' #': -5.670588, ' 1': -0.039639164, ' 2': -3.9077537, ' one': -4.366326}
{' #': -5.440865, ' 1': -0.10472718, ' 2': -2.5556757, ' one': -4.4649105, ' two': -5.505135}
{' 1': -0.029632945, ' one': -4.3548017, ' 2': -4.488318, ' #': -5.817013, ' number': -6.666168}
