{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.025290998, '\n': -4.848472, ' Yes': -4.8880267, 'No': -5.1443934, 'Pat': -6.6679773}
{' No': -0.015617296, 'No': -4.3551826, '\n': -6.191635, ' Yes': -7.8319635, ' ': -9.362693}
{' No': -0.023148466, '\n': -6.355769, ' ': -10.024769, 'No': -3.862374, ' Yes': -9.675419}
{' No': -0.067899294, 'No': -3.3827815, ' Yes': -3.6691756, '\n': -5.4778376, ' Doctor': -7.069776}
{' No': -0.028908662, '\n': -5.2591558, ' ': -8.22404, 'No': -4.213382, ' Yes': -4.885861}
{' No': -0.018233621, '\n': -5.466506, ' ': -8.777474, 'No': -4.4254313, ' Yes': -6.5959463}
{' No': -0.024740847, 'No': -3.8805583, '\n': -6.322983, ' Yes': -6.514801, ' ': -8.78953}
{' No': -0.03148699, ' Yes': -4.2351956, 'No': -4.341471, '\n': -5.956249, 'Pat': -8.665228}
{' No': -0.017209878, '\n': -8.606002, ' ': -10.827012, 'No': -4.0853744, ' Yes': -10.556991}
{' No': -0.039237574, 'No': -3.5404334, '\n': -4.832208, ' Yes': -7.1032324, ' ': -7.827302}
{' No': -0.43277568, ' Yes': -1.1337626, 'No': -4.365507, '\n': -4.879969, 'Yes': -5.3591924}
{' No': -0.03364672, ' Hospital': -4.5891314, 'No': -4.595853, '\n': -5.059308, ' Yes': -5.6299086}
{' No': -0.024566859, 'No': -4.501568, '\n': -4.514885, ' Yes': -6.957267, ' ': -7.659752}
{' No': -0.013473844, '\n': -6.796667, ' ': -8.830835, 'No': -4.4524903, ' Yes': -8.20487}
{' No': -0.024382578, '\n': -4.8256288, 'No': -4.9121175, ' Yes': -5.4286904, ' Patient': -6.584294}
{' No': -0.014522441, 'No': -4.374624, '\n': -6.5736995, ' Yes': -8.468161, ' ': -8.954824}
{' No': -0.058834866, '\n': -4.456414, ' ': -8.297053, 'No': -3.1062536, ' Yes': -7.957921}
{' No': -0.3334045, ' Yes': -1.8288096, '\n': -2.794628, 'No': -2.9596863, 'Yes': -4.8875465}
{' No': -0.048355523, '\n': -3.8864272, ' ': -6.7976665, 'No': -3.812651, ' Yes': -6.065031}
{' No': -0.0696582, '\n': -3.407047, 'No': -3.591276, ' Yes': -5.346483, ' ': -7.059732}
{' No': -0.049653523, '\n': -4.6958823, ' ': -7.667628, 'No': -3.2931683, ' Yes': -6.6954336}
{' No': -0.017071992, '\n': -5.5350676, ' ': -8.539911, 'No': -4.4495153, ' Yes': -7.2026954}
{' No': -0.08880757, 'No': -2.6928782, '\n': -4.1544127, ' Yes': -7.1145506, ' ': -7.915129}
{' No': -0.37887424, '\n': -4.0237412, 'No': -2.523705, ' Yes': -1.6266675, 'Yes': -4.523159}
{' Yes': -0.15661928, ' No': -2.3875895, 'Yes': -3.3038285, 'No': -4.720443, '\n': -5.243745}
{' No': -0.2729293, '\n': -3.0701187, 'No': -2.3967009, ' Yes': -2.6389477, ' Unfortunately': -4.0741014}
{' No': -0.3403249, '\n': -3.2808135, 'No': -2.151112, ' Yes': -2.193396, 'Yes': -4.6125283}
{' No': -0.28931746, '\n': -4.210492, 'No': -2.4840064, ' Yes': -2.0530655, ' Unfortunately': -4.387767}
{' No': -0.5644905, '\n': -4.3999357, 'No': -2.8567457, ' Yes': -1.0823127, 'Yes': -4.0642195}
{' No': -0.3562697, '\n': -2.1002843, 'No': -2.099531, ' Yes': -3.3834515, ' Unfortunately': -4.3713512}
{' No': -0.09173017, '\n': -3.7997322, 'No': -3.3875713, ' Yes': -3.5291462, 'Yes': -7.0560303}
{' Yes': -0.28709862, ' No': -1.5658519, '\n': -4.158112, 'Yes': -4.164124, 'No': -4.934447}
{' No': -0.14145051, ' Yes': -2.1958938, 'No': -4.5652404, '\n': -4.8472795, 'Yes': -7.123702}
{' No': -0.12102905, '\n': -4.3319874, 'No': -4.3721657, ' Yes': -2.4610138, 'Yes': -6.4678473}
{' No': -0.02639006, '\n': -5.6142216, ' ': -8.448525, 'No': -4.098675, ' Yes': -5.2684593}
{' No': -0.088642195, '\n': -4.3902874, 'No': -4.406933, ' Yes': -2.8386877, 'Yes': -7.4072237}
{' No': -0.015717013, '\n': -6.264794, ' ': -9.7484865, 'No': -4.3398557, ' Yes': -7.5389295}
{' Yes': -0.26383188, ' No': -2.0905738, '\n': -2.867128, 'Yes': -3.3023064, 'No': -4.419124}
{' No': -0.11979742, '\n': -3.374123, 'No': -3.3178697, ' Yes': -3.4820983, ' Hospital': -5.32704}
{' No': -2.5649166, '\n': -4.8989525, 'No': -5.732746, ' Yes': -0.11742222, 'Yes': -3.8761234}
{' No': -0.071909316, '\n': -4.550099, 'No': -3.0104222, ' Yes': -4.9198303, ' Unfortunately': -7.181549}
{' No': -0.10711166, '\n': -3.9182518, 'No': -3.1771338, ' Yes': -3.5498068, ' Patient': -4.79658}
{' No': -0.0720038, '\n': -3.691024, 'No': -3.651271, ' Yes': -4.0622115, 'Yes': -7.743281}
{' No': -0.70945936, '\n': -1.6120434, 'No': -3.034792, ' Yes': -1.4793434, ' Unfortunately': -4.2237453}
{' No': -0.10569642, 'No': -3.104834, '\n': -3.5975518, ' Unfortunately': -4.4095616, ' Yes': -4.5097814}
{' Yes': -0.40045995, ' No': -1.3323314, '\n': -3.2897022, 'Yes': -4.0865483, 'No': -4.7134213}
{' No': -0.103772976, '\n': -3.7902904, 'No': -2.75711, ' Yes': -5.78397, ' Unfortunately': -4.9613686}
{' No': -0.093762256, 'No': -3.3319976, ' Yes': -3.393252, '\n': -4.101176, 'Yes': -7.022445}
{' No': -0.21454918, '\n': -2.2613459, 'No': -2.5962117, ' Yes': -5.1844816, ' Unfortunately': -5.1268797}
{' No': -1.1778095, '\n': -4.74392, 'No': -4.3787656, ' Yes': -0.42382887, 'Yes': -4.1775975}
{' Yes': -0.06939718, ' No': -3.3365288, 'Yes': -3.7375069, '\n': -5.54817, 'No': -6.3688197}
{' No': -2.5400486, '\n': -5.8694406, ' Yes': -0.11583148, ' Sur': -4.853842, 'Yes': -4.1175117}
{' No': -0.041336756, '\n': -6.026133, ' ': -8.608769, 'No': -3.3461804, ' Yes': -6.072245}
{' No': -0.7642163, 'No': -4.388514, ' Yes': -0.69157875, ' Patient': -4.6898084, 'Yes': -4.8085184}
{' No': -0.019286197, '\n': -6.620175, ' ': -9.199346, 'No': -4.2436914, ' Yes': -5.7455297}
{' No': -0.29805037, ' Yes': -1.432877, 'No': -4.6001153, '\n': -5.250645, 'Yes': -5.6813693}
{' No': -0.07277221, '\n': -5.420177, 'No': -3.751979, ' Yes': -3.2171545, ' Doctor': -7.191461}
{' No': -0.03225294, 'No': -4.0587173, '\n': -5.1039023, ' Yes': -5.3059974, ' Hospital': -6.883492}
{' No': -0.02823591, '\n': -5.7669783, ' ': -8.596681, 'No': -3.877792, ' Yes': -5.7294416}
{' No': -0.09641655, ' Yes': -2.7953358, 'No': -3.8000145, '\n': -5.4089413, ' Patient': -6.325569}
{' No': -0.0113547975, 'No': -4.629198, '\n': -7.043509, ' Yes': -7.5151124, ' ': -9.720938}
{' No': -0.036676873, 'No': -3.6236732, '\n': -4.9592233, ' Yes': -6.3667984, ' ': -8.162569}
{' No': -0.09056392, '\n': -5.16483, 'No': -3.7459002, ' Yes': -2.9060276, ' Doctor': -6.959002}
{' No': -0.020945616, '\n': -5.418639, 'No': -4.4465704, ' Yes': -6.109077, ' Hospital': -6.755849}
{' No': -0.03464536, '\n': -4.7990913, 'No': -4.356659, ' Yes': -4.447586, ' Sur': -7.932525}
{' No': -0.0253613, '\n': -5.32109, 'No': -4.6159544, ' Yes': -4.806052, ' Patient': -6.9182863}
{' No': -0.009172255, '\n': -7.9072566, ' ': -9.995423, 'No': -4.7692084, ' Yes': -8.666107}
{' No': -0.3443081, '\n': -2.1764593, 'No': -2.2709057, ' Yes': -2.86897, ' Unfortunately': -4.6036367}
{' Yes': -0.18409468, ' No': -2.1423635, 'Yes': -3.5039644, 'No': -4.7589083, '\n': -4.8669157}
{' No': -0.12162225, '\n': -3.8945332, 'No': -2.643135, ' The': -6.729488, ' Unfortunately': -3.9448547}
{' No': -0.52173626, ' Yes': -1.3920786, '\n': -2.5531137, 'No': -3.0350094, 'Yes': -4.258215}
{' No': -0.20940553, 'No': -2.044578, '\n': -3.4235609, ' Unfortunately': -4.064361, ' Yes': -5.4805846}
{' No': -0.14693189, '\n': -3.1931088, 'No': -2.4491875, ' Yes': -6.010579, ' Unfortunately': -5.3508844}
{' No': -0.04390744, '\n': -5.2353973, 'No': -3.6175919, ' Yes': -4.5986767, 'Yes': -8.244754}
{' Yes': -0.09118676, ' No': -2.7110636, 'Yes': -4.2724743, ' Doctor': -5.812237, 'No': -6.32831}
{' No': -0.016556764, '\n': -5.613098, ' ': -8.210786, 'No': -4.530381, ' Yes': -7.1436377}
{' No': -0.017203206, 'No': -4.6105185, '\n': -5.572621, ' Yes': -5.899178, ' ': -9.103926}
{' No': -0.021498252, 'No': -4.1010423, '\n': -5.537192, ' Yes': -8.069496, ' ': -8.820237}
{' No': -0.025192458, '\n': -6.341648, 'No': -4.7322826, ' Yes': -4.5009556, ' Patient': -5.9219055}
{' No': -0.030217858, '\n': -5.5003295, 'No': -3.7086403, ' Yes': -7.0011816, ' Unfortunately': -9.227504}
{' No': -0.061612185, ' Not': -7.5359635, '\n': -5.886897, 'No': -3.141877, ' Yes': -4.3764772}
{' No': -0.026219696, ' Not': -7.459069, '\n': -5.043678, 'No': -4.0354967, ' Yes': -7.883266}
{' No': -0.034846045, '\n': -4.1758027, ' ': -8.402182, 'No': -4.0617566, ' Yes': -7.069803}
{' No': -0.033551674, ' Not': -8.350476, '\n': -6.4588747, 'No': -3.6487591, ' Yes': -5.311536}
{' No': -0.033562396, 'No': -3.7227368, ' Yes': -5.0842886, '\n': -6.1886654, ' Not': -8.4801655}
{' No': -0.032695025, ' Not': -9.137069, '\n': -6.056012, 'No': -3.5313349, ' Yes': -8.122148}
{' No': -0.09187025, '\n': -3.7651832, 'No': -3.151412, ' Yes': -3.8978527, 'Yes': -7.050118}
{' No': -0.6804081, ' Yes': -0.77093667, 'No': -4.285148, '\n': -4.8000674, 'Yes': -4.8446956}
{' No': -0.045105428, 'No': -3.7244055, '\n': -4.2354317, ' Yes': -5.9730434, ' Unfortunately': -6.6854367}
{' No': -0.089858316, '\n': -2.9673362, 'No': -3.639781, ' Yes': -5.229268, ' Unfortunately': -7.0900908}
{' No': -0.039880715, ' Not': -7.1673956, '\n': -5.2733784, 'No': -3.5600834, ' Yes': -5.5332623}
{' No': -0.022253508, 'No': -4.070208, ' Yes': -6.074838, '\n': -6.4003124, ' Unfortunately': -7.5762825}
{' No': -0.029956557, 'No': -3.648174, '\n': -6.076207, ' Yes': -7.0928473, ' Not': -8.658428}
{' No': -0.018058214, '\n': -6.331573, ' ': -9.863917, 'No': -4.141555, ' Yes': -9.069888}
{' No': -0.08395256, ' Yes': -2.9932923, 'No': -3.5748007, '\n': -6.7464166, 'Yes': -6.8727574}
{' No': -0.02687144, ' Not': -7.7283998, '\n': -4.929278, 'No': -4.0505624, ' Yes': -7.3199234}
{' No': -0.02235121, '\n': -5.125544, ' ': -9.259123, 'No': -4.1464887, ' Yes': -9.489818}
{' No': -0.019082472, 'No': -4.09332, ' Yes': -6.756721, '\n': -7.218198, ' Not': -8.754855}
{' No': -0.027291674, '\n': -6.892659, 'No': -3.775224, ' Yes': -5.9067907, 'Yes': -9.529335}
{' No': -0.021426696, 'No': -3.9232514, '\n': -6.786317, ' Yes': -8.77267, ' ': -9.67931}
{' No': -0.018288014, 'No': -4.1524124, '\n': -6.3356185, ' Yes': -7.6140194, ' ': -9.710147}
{' No': -0.20668788, ' Yes': -1.787796, 'No': -4.297907, '\n': -5.657266, 'Yes': -6.1982512}
{' No': -0.016584944, '\n': -5.503994, 'No': -4.520491, ' Yes': -7.8920174, ' Unfortunately': -7.88875}
{' No': -0.014605357, '\n': -5.479935, 'No': -4.6516085, ' Yes': -7.97682, ' Unfortunately': -8.475857}
{' No': -0.015468677, '\n': -7.1156917, 'No': -4.366312, ' Yes': -6.5438704, ' Unfortunately': -8.792634}
{' No': -0.019483218, '\n': -7.173785, 'No': -4.114034, ' Yes': -6.308879, ' Unfortunately': -8.75633}
{' No': -0.018076846, '\n': -5.9941964, ' ': -9.256752, 'No': -4.213761, ' Yes': -7.889024}
{' No': -0.14478007, '\n': -3.6017025, ' ': -7.190283, 'No': -2.2525566, ' Unfortunately': -7.0152707}
{' No': -0.187822, '\n': -3.3890054, 'No': -2.6286676, ' Yes': -2.8155344, 'Yes': -5.677036}
{' No': -0.16027005, '\n': -3.2882836, ' ': -6.9434233, 'No': -2.2418723, ' Unfortunately': -6.1407304}
{' No': -0.23474458, '\n': -2.5339293, 'No': -2.0951858, ' Yes': -6.3506684, ' Unfortunately': -5.8960576}
{' No': -0.12711076, '\n': -4.2477527, 'No': -2.2985146, ' Yes': -6.386005, ' Unfortunately': -6.2624598}
{' No': -0.086762644, '\n': -4.7819605, 'No': -2.6449978, ' Yes': -6.3332586, ' Unfortunately': -6.822482}
{' No': -0.20538639, '\n': -3.149232, ' ': -6.8312063, 'No': -1.9768057, ' Unfortunately': -6.3933973}
{' No': -0.42420858, '\n': -2.1225176, 'No': -2.366143, ' Yes': -2.248387, ' Unfortunately': -4.3084207}
{' Yes': -0.38665116, ' No': -1.4609615, 'Yes': -3.3621778, '\n': -3.6585226, 'No': -3.6992805}
{' No': -0.50528026, '\n': -1.3405865, 'No': -2.6368682, ' Unfortunately': -3.2489057, ' Yes': -4.216775}
{' No': -0.769233, '\n': -1.2616017, 'No': -2.695495, ' Yes': -1.948354, ' Unfortunately': -3.863412}
{' No': -0.5346027, '\n': -2.0947587, 'No': -2.3530173, ' Yes': -1.8555484, ' Unfortunately': -3.8495173}
{' No': -0.46768963, '\n': -2.3201923, 'No': -2.4228725, ' Yes': -1.8190614, 'Yes': -4.3501816}
{' No': -0.3480911, '\n': -2.2387235, 'No': -2.0452173, ' Yes': -3.2431276, ' Unfortunately': -4.5026474}
{' No': -0.22733273, '\n': -2.8622391, 'No': -2.9394698, ' Yes': -2.4447036, 'Yes': -5.3498125}
{' No': -2.980192, '\n': -4.5854225, 'No': -6.247482, ' Yes': -0.089412704, 'Yes': -3.8586175}
{' No': -0.08090284, '\n': -3.3345842, 'No': -3.9598413, ' Yes': -3.9961917, ' Unfortunately': -6.0969753}
{' No': -0.20886008, '\n': -2.2361941, ' Yes': -3.045818, 'No': -3.7208648, ' Unfortunately': -5.522718}
{' No': -0.06538265, '\n': -4.393801, 'No': -3.4518723, ' Yes': -4.170735, ' Unfortunately': -6.1335893}
{' No': -0.048412766, '\n': -4.7289815, 'No': -3.5259078, ' Yes': -4.9388795, ' Unfortunately': -7.0001926}
{' No': -0.065778516, 'No': -3.0074477, '\n': -4.504581, ' Yes': -6.102224, ' Unfortunately': -8.0324955}
{' No': -2.6813302, '\n': -3.4630911, 'No': -4.818436, ' Yes': -0.17059758, 'Yes': -3.050444}
{' No': -0.5542322, '\n': -1.1028543, 'No': -2.6923814, ' Unfortunately': -4.4586854, ' Not': -5.430151}
{' Yes': -0.55841094, '\n': -1.4537262, ' No': -1.8314401, 'Yes': -3.8505783, 'No': -4.71805}
{' No': -0.10004183, '\n': -3.6668599, 'No': -2.85819, ' Yes': -4.975871, ' Unfortunately': -5.962874}
{' No': -0.18478423, '\n': -2.5341914, 'No': -2.9854662, ' Yes': -3.3930302, 'Yes': -6.6780615}
{' No': -0.21062236, '\n': -2.4336162, 'No': -3.1528924, ' Yes': -2.9070354, 'Yes': -6.055589}
{' No': -1.2781794, '\n': -1.9621545, 'No': -3.7953625, ' Yes': -0.63154995, 'Yes': -3.7895222}
{' No': -0.318661, '\n': -1.6660368, ' ': -6.0420895, 'No': -3.1942809, ' Unfortunately': -3.3148823}
{' Yes': -0.8380903, '\n': -1.1447805, ' No': -1.5374006, 'Yes': -4.0734763, 'No': -4.617784}
{' No': -0.18454613, '\n': -2.6187825, 'No': -2.8843427, ' Unfortunately': -3.4366193, ' Yes': -5.874796}
{' No': -0.13597587, 'No': -2.9775898, '\n': -3.0018396, ' Yes': -3.9790084, ' Unfortunately': -5.3483744}
{' No': -0.40849075, '\n': -1.3558003, 'No': -3.1040263, ' Yes': -3.6687694, ' Unfortunately': -5.9374995}
{' No': -3.356809, '\n': -4.9196215, 'No': -6.2727923, ' Yes': -0.07542181, 'Yes': -3.5776362}
{' No': -3.819162, '\n': -5.130245, 'No': -6.7320266, ' Yes': -0.059032124, 'Yes': -3.6235878}
{' No': -2.2649128, '\n': -2.9415944, 'No': -5.271323, ' Yes': -0.21317026, 'Yes': -3.72009}
{' No': -0.055458736, ' Not': -8.31312, '\n': -5.5155473, 'No': -3.146256, ' Yes': -5.117373}
{' No': -0.775094, '\n': -5.043847, 'No': -4.5765524, ' Yes': -0.6649503, 'Yes': -4.931243}
{' No': -0.04987567, '\n': -4.539915, ' ': -8.339565, 'No': -3.3990023, ' Yes': -5.545761}
{' No': -0.23439112, ' Yes': -2.0551538, '\n': -3.0448806, 'No': -3.5752592, 'Yes': -5.5160685}
{' No': -0.1598123, '\n': -3.9163296, 'No': -3.261781, ' Yes': -2.4681065, 'Yes': -6.16446}
{' No': -0.12372286, ' Not': -6.1357145, '\n': -2.6958606, 'No': -3.3742375, ' Unfortunately': -4.871882}
{' No': -0.054122943, 'No': -3.3451653, '\n': -4.568229, ' Yes': -5.5067368, ' Unfortunately': -6.304782}
{' No': -0.24018678, '\n': -2.931505, 'No': -3.2705688, ' Yes': -2.1695652, 'Yes': -5.701147}
{' No': -0.050862204, 'No': -3.7246082, '\n': -4.044678, ' Yes': -4.974818, ' ': -7.8686643}
{' No': -0.046172824, '\n': -4.046079, ' ': -8.357787, 'No': -3.7489316, ' Yes': -5.616388}
{' No': -0.20845269, '\n': -4.4191175, 'No': -3.9348776, ' Yes': -1.960957, ' Doctor': -4.4033513}
{' No': -0.03136527, ' Not': -6.6473866, '\n': -4.595162, 'No': -4.138663, ' Yes': -6.584976}
{' No': -0.02135868, 'No': -4.3449306, '\n': -4.9030056, ' Yes': -7.77029, ' ': -8.644569}
{' No': -0.039513342, '\n': -5.219525, 'No': -3.6882405, ' Yes': -4.886864, 'Yes': -8.462194}
{' No': -0.014921906, '\n': -6.7529244, ' ': -9.649642, 'No': -4.3299246, ' Yes': -8.009762}
{' No': -0.47823235, '\n': -1.6234407, 'No': -3.039769, ' Yes': -2.104003, 'Yes': -5.1266985}
{' No': -1.720492, '\n': -2.558482, 'No': -4.4438233, ' Yes': -0.35538927, 'Yes': -3.6695924}
{' No': -0.7293205, ' Not': -5.045868, '\n': -0.8893205, 'No': -2.9813786, ' Unfortunately': -3.2037582}
{' No': -1.8280672, '\n': -0.62880635, 'No': -4.414958, ' Yes': -1.3153756, 'Yes': -4.1376567}
{' No': -0.23814364, '\n': -2.284147, 'No': -2.8739543, ' Unfortunately': -3.3563552, ' Yes': -4.624773}
{' No': -0.29452324, '\n': -1.8031406, 'No': -2.5656433, ' Unfortunately': -4.88817, ' Yes': -6.0932}
{' No': -0.039959684, '\n': -4.708808, ' ': -8.662505, 'No': -3.5446613, ' Yes': -7.060036}
{' No': -3.156716, '\n': -5.286608, 'No': -6.8818135, ' Yes': -0.06503941, 'Yes': -4.32277}
{' No': -0.048133027, 'No': -3.5373602, '\n': -4.250041, ' Unfortunately': -6.6892686, ' Not': -7.070995}
{' No': -0.033088263, '\n': -4.1081634, ' ': -8.20023, 'No': -4.206056, ' Yes': -7.4068213}
{' No': -0.02231732, '\n': -5.9351172, 'No': -3.9959557, ' Yes': -7.7949233, ' Unfortunately': -8.175094}
{' No': -0.028212434, 'No': -3.8363693, '\n': -5.517331, ' Yes': -6.350177, ' Not': -8.979659}
{' No': -0.07878248, '\n': -3.9163523, ' ': -7.997408, 'No': -2.90426, ' Yes': -8.180842}
{' No': -0.058102205, '\n': -4.4702497, ' ': -7.779336, 'No': -3.2503574, ' Yes': -5.2772546}
{' No': -0.047221042, 'No': -3.6420922, '\n': -4.0351815, ' ': -7.021203, ' Not': -7.573538}
{' No': -0.050507925, '\n': -3.7187095, ' ': -7.5537386, 'No': -3.7431903, ' Yes': -8.085373}
{' No': -0.055969942, '\n': -4.372277, ' ': -7.631833, 'No': -3.2462218, ' Yes': -6.2252083}
{' No': -0.019596271, 'No': -4.2329197, '\n': -5.8289547, ' Yes': -6.5759063, ' Not': -7.9423847}
{' No': -0.031041387, ' Not': -8.9702835, '\n': -5.719336, 'No': -3.6218464, ' Yes': -8.323989}
{' No': -0.036683984, '\n': -5.39122, 'No': -3.4887311, ' Yes': -7.7935534, ' Unfortunately': -8.324667}
{' No': -0.14280878, '\n': -4.5033717, 'No': -3.9099574, ' Yes': -2.3121202, 'Yes': -6.4802375}
{' No': -0.05575867, ' Not': -6.6748323, '\n': -3.2471952, ' ': -6.755044, 'No': -4.4784155}
{' No': -0.081442334, '\n': -2.744324, 'No': -4.4650745, ' ': -6.791348, ' Yes': -7.035465}
{' No': -0.029673466, 'No': -3.8668983, '\n': -4.965937, ' Yes': -7.0643244, ' ': -8.23507}
{' No': -0.014395327, 'No': -4.3586144, '\n': -6.8721714, ' Yes': -8.288595, ' Not': -9.308641}
{' No': -0.030660022, 'No': -3.6890557, '\n': -5.3982, ' Yes': -8.271928, ' Not': -8.750971}
{' No': -0.0149842845, '\n': -6.759597, ' ': -9.648375, 'No': -4.2990303, ' Yes': -10.370151}
{' No': -0.023580316, '\n': -6.1214747, ' ': -9.012598, 'No': -3.9596953, ' Yes': -6.3477263}
{' No': -0.020862537, 'No': -4.3199763, '\n': -5.168102, ' ': -7.508162, ' Yes': -7.685578}
{' No': -0.030525003, '\n': -4.323623, ' ': -7.608258, 'No': -4.1429043, ' no': -8.987555}
{' No': -0.023235759, '\n': -6.252373, ' ': -8.237681, 'No': -3.8959756, ' Yes': -8.234366}
{' No': -0.025100224, '\n': -5.4160056, ' ': -8.657714, 'No': -3.9894, ' Yes': -6.6022}
{' No': -0.027964402, 'No': -3.6160398, '\n': -7.4986367, ' ': -9.678646, ' Yes': -10.822124}
{' No': -0.016058099, '\n': -6.0061436, ' ': -9.246442, 'No': -4.336811, ' Yes': -8.479319}
{' No': -0.14802204, '\n': -4.293528, 'No': -4.425673, ' Yes': -2.22567, ' Doctor': -6.404873}
{' No': -0.027730158, '\n': -4.1957846, 'No': -4.722791, ' ': -6.618769, ' Yes': -7.4971924}
{' No': -0.046940703, '\n': -3.3523605, 'No': -4.858971, ' ': -6.723306, ' Yes': -6.7664604}
{' No': -0.012468225, '\n': -5.9476137, ' ': -8.4154625, 'No': -4.7153373, ' Yes': -7.8036246}
{' No': -0.012380961, 'No': -4.9200006, '\n': -5.5169086, ' Yes': -7.4668503, ' ': -8.72985}
{' No': -0.016157618, '\n': -6.7558284, ' ': -9.455394, 'No': -4.220391, ' Yes': -10.261296}
{' No': -0.13292603, '\n': -3.5599391, ' ': -6.8541775, 'No': -2.3725138, ' Unfortunately': -6.8997164}
{' No': -0.1561007, 'No': -2.3893409, '\n': -3.2657182, ' Yes': -4.4653673, ' ': -6.661603}
{' No': -0.15282875, '\n': -2.9239502, ' ': -6.4312944, 'No': -2.474484, ' Unfortunately': -6.656557}
{' No': -0.21724536, '\n': -2.1116793, 'No': -2.669247, ' ': -5.888927, ' Unfortunately': -6.8521423}
{' No': -0.15797132, '\n': -3.6472232, 'No': -2.1500998, ' Yes': -6.8223486, ' Unfortunately': -6.843814}
{' No': -0.09704943, '\n': -4.2875247, ' ': -7.524162, 'No': -2.5687327, ' Unfortunately': -7.337274}
{' No': -0.154493, 'No': -2.1353853, '\n': -3.790744, ' ': -7.0187755, ' Unfortunately': -7.170741}
{' No': -0.38270217, '\n': -2.0174181, 'No': -2.1704543, ' Yes': -3.2252257, ' Unfortunately': -3.8900473}
{' No': -1.4574968, '\n': -2.8618548, 'No': -3.5054474, ' Yes': -0.45282388, 'Yes': -3.2405}
{' No': -0.61382926, '\n': -1.2192847, 'No': -2.164185, ' Yes': -4.170033, ' Unfortunately': -3.877152}
{'\n': -0.86038333, ' No': -1.0202936, 'No': -2.4504886, ' Yes': -2.4911683, ' Unfortunately': -3.9408293}
{' No': -0.30997387, '\n': -2.2942667, 'No': -2.1827424, ' Yes': -4.4681044, ' Unfortunately': -3.3678977}
{' No': -0.46082708, '\n': -2.169388, 'No': -2.3698008, ' Yes': -1.9820596, 'Yes': -4.4552045}
{' No': -0.3158107, 'No': -1.9332136, '\n': -2.3463092, ' Yes': -4.1925693, ' Unfortunately': -4.6513476}
{' No': -0.06177106, '\n': -3.9782174, 'No': -3.4210505, ' Yes': -4.9366374, ' Unfortunately': -7.6793623}
{' No': -0.9108565, '\n': -2.973324, 'No': -4.067791, ' Yes': -0.66768664, 'Yes': -4.301384}
{' No': -0.040791113, '\n': -3.746899, ' ': -6.9687424, 'No': -4.7900434, ' Yes': -5.08178}
{' No': -0.073558606, '\n': -3.0719275, ' ': -6.6244507, 'No': -3.9061275, ' Yes': -6.2278233}
{' No': -0.04045665, '\n': -4.544307, ' ': -7.8143134, 'No': -3.7100465, ' Yes': -5.647676}
{' No': -0.027022317, 'No': -4.1822667, ' Yes': -5.135983, '\n': -5.2876477, ' ': -8.976316}
{' No': -0.07028216, '\n': -4.545246, ' ': -8.078331, 'No': -2.8895988, ' Yes': -6.9719796}
{' Yes': -0.6187061, ' No': -1.0734084, '\n': -2.926161, 'No': -3.3595965, 'Yes': -3.5435505}
{' No': -0.47479963, '\n': -1.2308211, 'No': -2.7679076, ' Unfortunately': -4.609775, ' Not': -5.199306}
{' No': -0.70315593, '\n': -1.0439248, 'No': -3.5272067, ' Yes': -2.1893163, 'Yes': -5.073088}
{' No': -0.16823924, ' Not': -5.410337, '\n': -2.644916, 'No': -2.6777682, ' Yes': -5.1709876}
{' No': -0.17740305, '\n': -2.3799005, ' ': -6.8988256, 'No': -2.9129376, ' Yes': -4.421553}
{' No': -0.21886893, '\n': -2.2755973, 'No': -2.9744515, ' Yes': -3.2642598, 'Yes': -6.270761}
